Method,eccentricity
FM2FM,0.97456217
FM2FM,0.971906258
FM2FM,0.987469918
FM2FM,0.99193822
FM2FM,0.966859339
FM2FM,0.969646627
FM2FM,0.978637401
FM2FM,0.973443714
FM2FM,0.994224384
FM2FM,0.985556243
FM2FM,0.982750822
FM2FM,0.97664876
FM2FM,0.987817318
FM2FM,0.990308129
FM2FM,0.988666475
FM2FM,0.989427256
FM2FM,0.991049377
FM2FM,0.990419377
FM2FM,0.991773527
FM2FM,0.984424076
FM2FM,0.988566784
FM2FM,0.974140494
FM2FM,0.958959282
FM2FM,0.984135141
FM2FM,0.922176467
FM2FM,0.988653255
FM2FM,0.960410072
FM2FM,0.987692712
FM2FM,0.984253585
FM2FM,0.993754982
FM2FM,0.993453997
FM2FM,0.989732965
FM2FM,0.994020149
FM2FM,0.980142891
FM2FM,0.956966815
FM2FM,0.974374919
FM2FM,0.988010346
FM2FM,0.985607901
FM2FM,0.995154426
FM2FM,0.980714516
FM2FM,0.988386924
FM2FM,0.975952701
FM2FM,0.994399938
FM2FM,0.984301256
FM2FM,0.973169284
FM2FM,0.986936674
FM2FM,0.996932938
FM2FM,0.979964422
FM2FM,0.982544506
FM2FM,0.989706449
FM2FM,0.980480878
FM2FM,0.990708068
FM2FM,0.983739248
FM2FM,0.97914918
FM2FM,0.974840564
FM2FM,0.983028633
FM2FM,0.986903447
FM2FM,0.979540898
FM2FM,0.987861173
FM2FM,0.981658643
FM2FM,0.970949885
FM2FM,0.960298397
FM2FM,0.990594639
FM2FM,0.982973083
FM2FM,0.971768985
FM2FM,0.973658586
FM2FM,0.96999109
FM2FM,0.980526113
FM2FM,0.981065602
FM2FM,0.964263576
FM2FM,0.975558929
FM2FM,0.889808377
FM2FM,0.987625881
FM2FM,0.989810116
FM2FM,0.988604519
FM2FM,0.992081423
FM2FM,0.963799136
FM2FM,0.95011261
FM2FM,0.985762684
FM2FM,0.977345224
FM2FM,0.989388878
FM2FM,0.940463201
FM2FM,0.928843055
FM2FM,0.989401953
FM2FM,0.985682248
FM2FM,0.974628326
FM2FM,0.977093065
FM2FM,0.976685454
FM2FM,0.988824416
FM2FM,0.979049435
FM2FM,0.985070454
FM2FM,0.984459394
FM2FM,0.977374634
FM2FM,0.967914305
FM2FM,0.98492026
FM2FM,0.978013812
FM2FM,0.986881163
FM2FM,0.98021733
FM2FM,0.99121354
FM2FM,0.990602742
FM2FM,0.975239357
FM2FM,0.955396144
FM2FM,0.893676925
FM2FM,0.988993923
FM2FM,0.985114793
FM2FM,0.983863681
FM2FM,0.981349918
FM2FM,0.994739055
FM2FM,0.98099488
FM2FM,0.978592178
FM2FM,0.987167592
FM2FM,0.989016985
FM2FM,0.987176447
FM2FM,0.973551969
FM2FM,0.980770133
FM2FM,0.98360976
FM2FM,0.98910152
FM2FM,0.993068
FM2FM,0.985878772
FM2FM,0.984283716
FM2FM,0.976450962
FM2FM,0.988843442
FM2FM,0.982522851
FM2FM,0.982397649
FM2FM,0.98963285
FM2FM,0.984558289
FM2FM,0.984219024
FM2FM,0.989005523
FM2FM,0.97993219
FM2FM,0.989947507
FM2FM,0.988257102
FM2FM,0.993485991
FM2FM,0.98866202
FM2FM,0.989088982
FM2FM,0.989111935
FM2FM,0.945208643
FM2FM,0.973473009
FM2FM,0.948774162
FM2FM,0.972279274
FM2FM,0.976993713
FM2FM,0.993221364
FM2FM,0.983231382
FM2FM,0.897334968
FM2FM,0.984164261
FM2FM,0.978408929
FM2FM,0.973096227
FM2FM,0.99294267
FM2FM,0.982207415
FM2FM,0.985017107
FM2FM,0.980975093
FM2FM,0.988962058
FM2FM,0.977559631
FM2FM,0.989108559
FM2FM,0.981053095
FM2FM,0.984198688
FM2FM,0.984096319
FM2FM,0.984731476
FM2FM,0.9764159
FM2FM,0.987135612
FM2FM,0.990179016
FM2FM,0.980077768
FM2FM,0.981309852
FM2FM,0.98073036
FM2FM,0.991675282
FM2FM,0.979682529
FM2FM,0.986399179
FM2FM,0.981661942
FM2FM,0.989962316
FM2FM,0.989375954
FM2FM,0.986887562
FM2FM,0.987702737
FM2FM,0.983011255
FM2FM,0.991301562
FM2FM,0.985237179
FM2FM,0.979966844
FM2FM,0.993105122
FM2FM,0.981215786
FM2FM,0.980553528
FM2FM,0.982232518
FM2FM,0.992705689
FM2FM,0.991329211
FM2FM,0.983292465
FM2FM,0.981613682
FM2FM,0.972436706
FM2FM,0.984439292
FM2FM,0.988363308
FM2FM,0.995152673
FM2FM,0.978618449
FM2FM,0.984001363
FM2FM,0.993710512
FM2FM,0.985240172
FM2FM,0.979212515
FM2FM,0.98201162
FM2FM,0.988583584
FM2FM,0.989564103
FM2FM,0.984398183
FM2FM,0.979005392
FM2FM,0.98758765
FM2FM,0.987834906
FM2FM,0.983287755
FM2FM,0.977371641
FM2FM,0.983050015
FM2FM,0.982800212
FM2FM,0.991090141
FM2FM,0.988067932
FM2FM,0.987283254
FM2FM,0.985884449
FM2FM,0.984038776
FM2FM,0.987832635
FM2FM,0.988402102
FM2FM,0.982766953
FM2FM,0.979741346
FM2FM,0.985502946
FM2FM,0.991348301
FM2FM,0.981549854
FM2FM,0.992325531
FM2FM,0.988754148
FM2FM,0.980371985
FM2FM,0.977234664
FM2FM,0.98023045
FM2FM,0.986665246
FM2FM,0.990437076
FM2FM,0.98655005
FM2FM,0.987543965
FM2FM,0.989644934
FM2FM,0.983180412
FM2FM,0.98777771
FM2FM,0.979443578
FM2FM,0.989913611
FM2FM,0.982102256
FM2FM,0.977585714
FM2FM,0.990085425
FM2FM,0.981312785
FM2FM,0.9916121
FM2FM,0.991873653
FM2FM,0.975220272
FM2FM,0.990645003
FM2FM,0.984689047
FM2FM,0.986076687
FM2FM,0.98526962
FM2FM,0.916002942
FM2FM,0.993357138
FM2FM,0.990544296
FM2FM,0.987311628
FM2FM,0.985799564
FM2FM,0.983987585
FM2FM,0.984997947
FM2FM,0.983184588
FM2FM,0.94515608
FM2FM,0.981603354
FM2FM,0.991950992
FM2FM,0.990627017
FM2FM,0.990041131
FM2FM,0.98897148
FM2FM,0.984950986
FM2FM,0.988433168
FM2FM,0.978005667
FM2FM,0.984647547
FM2FM,0.98444506
FM2FM,0.990010061
FM2FM,0.982146878
FM2FM,0.979631847
FM2FM,0.980368803
FM2FM,0.980729641
FM2FM,0.977991833
FM2FM,0.98871045
FM2FM,0.976607551
FM2FM,0.987644368
FM2FM,0.980049573
FM2FM,0.986643307
FM2FM,0.981015264
FM2FM,0.985799505
FM2FM,0.97493219
FM2FM,0.992320269
FM2FM,0.987059564
FM2FM,0.990995382
FM2FM,0.980221761
FM2FM,0.992186165
FM2FM,0.991763618
FM2FM,0.964531517
FM2FM,0.990340071
FM2FM,0.922218683
FM2FM,0.976055945
FM2FM,0.971861304
FM2FM,0.946243921
FM2FM,0.968823766
FM2FM,0.966416584
FM2FM,0.981491948
FM2FM,0.975420816
FM2FM,0.98402784
FM2FM,0.990470865
FM2FM,0.990549969
FM2FM,0.980451921
FM2FM,0.981756956
FM2FM,0.963328373
FM2FM,0.988799638
FM2FM,0.994628532
FM2FM,0.977913317
FM2FM,0.993648171
FM2FM,0.991480812
FM2FM,0.989027259
FM2FM,0.991496768
FM2FM,0.997478352
FM2FM,0.984575671
FM2FM,0.993112966
FM2FM,0.983761353
FM2FM,0.982094628
FM2FM,0.978791953
FM2FM,0.993450133
FM2FM,0.96250135
FM2FM,0.97486459
FM2FM,0.976231253
FM2FM,0.973263821
FM2FM,0.983651875
FM2FM,0.979209479
FM2FM,0.987819259
FM2FM,0.979162812
FM2FM,0.975343447
FM2FM,0.976821932
FM2FM,0.994415431
FM2FM,0.981123377
FM2FM,0.99772948
FM2FM,0.984247189
FM2FM,0.984008006
FM2FM,0.982989651
FM2FM,0.979613582
FM2FM,0.976837169
FM2FM,0.977227917
FM2FM,0.978772264
FM2FM,0.986148569
FM2FM,0.970107909
FM2FM,0.993648033
FM2FM,0.978156041
FM2FM,0.974894558
FM2FM,0.978001274
FM2FM,0.993649408
FM2FM,0.983664395
FM2FM,0.996831238
FM2FM,0.978744258
FM2FM,0.993844524
FM2FM,0.984825768
FM2FM,0.99350537
FM2FM,0.994268486
FM2FM,0.993506897
FM2FM,0.964505261
FM2FM,0.967463016
FM2FM,0.97538817
FM2FM,0.991220058
FM2FM,0.987981332
FM2FM,0.99327989
FM2FM,0.98398752
FM2FM,0.988437171
FM2FM,0.992360508
FM2FM,0.985380227
FM2FM,0.984804635
FM2FM,0.987726556
FM2FM,0.988497527
FM2FM,0.981191853
FM2FM,0.971462496
FM2FM,0.983828174
FM2FM,0.991617551
FM2FM,0.988745105
FM2FM,0.964922697
FM2FM,0.983180675
FM2FM,0.969682266
FM2FM,0.974117657
FM2FM,0.973342362
FM2FM,0.926041898
FM2FM,0.938814526
FM2FM,0.978093005
FM2FM,0.961481677
FM2FM,0.940778711
FM2FM,0.983927601
FM2FM,0.969224466
FM2FM,0.99321335
FM2FM,0.920228048
FM2FM,0.924500256
FM2FM,0.988742315
FM2FM,0.98102847
FM2FM,0.99214403
FM2FM,0.984293733
FM2FM,0.979476812
FM2FM,0.987366186
FM2FM,0.972069255
FM2FM,0.982887543
FM2FM,0.985448605
FM2FM,0.983735338
FM2FM,0.990595364
FM2FM,0.982422024
FM2FM,0.98421452
FM2FM,0.98836992
FM2FM,0.983681439
FM2FM,0.982343469
FM2FM,0.993231343
FM2FM,0.977108641
FM2FM,0.974155963
FM2FM,0.993088207
FM2FM,0.9599073
FM2FM,0.983400654
FM2FM,0.981309063
FM2FM,0.978809218
FM2FM,0.982338594
FM2FM,0.981455345
FM2FM,0.974045346
FM2FM,0.992579744
FM2FM,0.984957521
FM2FM,0.983367097
FM2FM,0.982128444
FM2FM,0.987294437
FM2FM,0.976215321
FM2FM,0.978914267
FM2FM,0.980188401
FM2FM,0.97854487
FM2FM,0.972892267
FM2FM,0.980752185
FM2FM,0.979178641
FM2FM,0.991275932
FM2FM,0.983540873
FM2FM,0.982523502
FM2FM,0.986938805
FM2FM,0.990940131
FM2FM,0.987472994
FM2FM,0.918311808
FM2FM,0.979409869
FM2FM,0.989230698
FM2FM,0.979833561
FM2FM,0.986098864
FM2FM,0.985106025
FM2FM,0.968754116
FM2FM,0.976632489
FM2FM,0.957915897
FM2FM,0.979144149
FM2FM,0.925254349
FM2FM,0.966555264
FM2FM,0.913042696
FM2FM,0.989628832
FM2FM,0.922532268
FM2FM,0.978057583
FM2FM,0.98259008
FM2FM,0.994078047
FM2FM,0.986617349
FM2FM,0.957296631
FM2FM,0.986465796
FM2FM,0.91929031
FM2FM,0.966177421
FM2FM,0.944409335
FM2FM,0.984675832
FM2FM,0.961866761
FM2FM,0.982398588
FM2FM,0.956578157
FM2FM,0.959490411
FM2FM,0.896228549
FM2FM,0.964737612
FM2FM,0.992792596
FM2FM,0.992512908
FM2FM,0.989693331
FM2FM,0.988170731
FM2FM,0.98784234
FM2FM,0.986436427
FM2FM,0.990783445
FM2FM,0.96441817
FM2FM,0.981581526
FM2FM,0.988919424
FM2FM,0.981521525
FM2FM,0.972795755
FM2FM,0.984721329
FM2FM,0.982826865
FM2FM,0.981015363
FM2FM,0.982161129
FM2FM,0.974336878
FM2FM,0.984537717
FM2FM,0.978794497
FM2FM,0.976510801
FM2FM,0.974582012
FM2FM,0.976474722
FM2FM,0.983866649
FM2FM,0.980618742
FM2FM,0.987197442
FM2FM,0.980660933
FM2FM,0.993423111
FM2FM,0.989166602
FM2FM,0.991612557
FM2FM,0.99433855
FM2FM,0.994824058
FM2FM,0.948996197
FM2FM,0.982468488
FM2FM,0.977637357
FM2FM,0.98023286
FM2FM,0.984933852
FM2FM,0.977463836
FM2FM,0.978151118
FM2FM,0.986473096
FM2FM,0.987321514
FM2FM,0.98737181
FM2FM,0.984085231
FM2FM,0.982554474
FM2FM,0.983407966
FM2FM,0.968777246
FM2FM,0.976865998
FM2FM,0.972400794
FM2FM,0.971778537
FM2FM,0.967648015
FM2FM,0.972187101
FM2FM,0.976369131
FM2FM,0.966545328
FM2FM,0.970484216
FM2FM,0.992546583
FM2FM,0.974790019
FM2FM,0.980609865
FM2FM,0.970645813
FM2FM,0.983043079
FM2FM,0.980587712
FM2FM,0.979565713
FM2FM,0.988305562
FM2FM,0.978768904
FM2FM,0.977908208
FM2FM,0.990991783
FM2FM,0.991597703
FM2FM,0.992853932
FM2FM,0.989411319
FM2FM,0.978434474
FM2FM,0.982240149
FM2FM,0.9897346
FM2FM,0.977627556
FM2FM,0.984439931
FM2FM,0.9756705
FM2FM,0.978129503
FM2FM,0.974821777
FM2FM,0.985180694
FM2FM,0.970648866
FM2FM,0.987895623
FM2FM,0.971644549
FM2FM,0.977334677
FM2FM,0.977047902
FM2FM,0.983826995
FM2FM,0.98326734
FM2FM,0.979532693
FM2FM,0.981380899
FM2FM,0.97771511
FM2FM,0.976602745
FM2FM,0.976362905
FM2FM,0.987325883
FM2FM,0.988724477
FM2FM,0.98276858
FM2FM,0.979538871
FM2FM,0.980936655
FM2FM,0.984195011
FM2FM,0.985203053
FM2FM,0.983880958
FM2FM,0.978538212
FM2FM,0.986089926
FM2FM,0.978481508
FM2FM,0.979639392
FM2FM,0.97644993
FM2FM,0.988571595
FM2FM,0.9798061
FM2FM,0.977637443
FM2FM,0.980517668
FM2FM,0.980686855
FM2FM,0.972412422
FM2FM,0.978109512
FM2FM,0.979131884
FM2FM,0.981758032
FM2FM,0.970134668
FM2FM,0.978430648
FM2FM,0.987893679
FM2FM,0.986907358
FM2FM,0.976369728
FM2FM,0.986884328
FM2FM,0.98013672
FM2FM,0.977867432
FM2FM,0.983186309
FM2FM,0.987319322
FM2FM,0.980112788
FM2FM,0.984729705
FM2FM,0.971785299
FM2FM,0.983154274
FM2FM,0.975694701
FM2FM,0.975285038
FM2FM,0.982401056
FM2FM,0.975321928
FM2FM,0.980012366
FM2FM,0.97196742
FM2FM,0.974986223
FM2FM,0.98585228
FM2FM,0.982609931
FM2FM,0.956111092
FM2FM,0.969330561
FM2FM,0.966381579
FM2FM,0.986388935
FM2FM,0.973156503
FM2FM,0.979238704
FM2FM,0.979394156
FM2FM,0.987542668
FM2FM,0.974153208
FM2FM,0.984280459
FM2FM,0.986578453
FM2FM,0.974771743
FM2FM,0.92869747
FM2FM,0.976295783
FM2FM,0.982959079
FM2FM,0.981866865
FM2FM,0.984962428
FM2FM,0.976995067
FM2FM,0.979786623
FM2FM,0.981821361
FM2FM,0.982215238
FM2FM,0.984642073
FM2FM,0.978320435
FM2FM,0.977547118
FM2FM,0.985892045
FM2FM,0.980823787
FM2FM,0.976186335
FM2FM,0.989182034
FM2FM,0.982373902
FM2FM,0.981524656
FM2FM,0.970153044
FM2FM,0.981640907
FM2FM,0.973011314
FM2FM,0.971817923
FM2FM,0.982545651
FM2FM,0.98119935
FM2FM,0.983428289
FM2FM,0.981334527
FM2FM,0.986033886
FM2FM,0.984884097
FM2FM,0.983679356
FM2FM,0.98007536
FM2FM,0.982351246
FM2FM,0.971274723
FM2FM,0.985491702
FM2FM,0.975186136
FM2FM,0.971680525
FM2FM,0.991073871
FM2FM,0.980196431
FM2FM,0.965174944
FM2FM,0.989193518
FM2FM,0.988188653
FM2FM,0.972071846
FM2FM,0.946161671
FM2FM,0.985499171
FM2FM,0.979985815
FM2FM,0.971883045
FM2FM,0.971793051
FM2FM,0.981218722
FM2FM,0.987713544
