,Image type,Model,Threshold,F1,Image
4,Raw,Omnipose,0.7,0.8148148,2
5,Raw,Omnipose,0.75,0.8148148,2
6,Raw,Omnipose,0.8,0.7407407,2
7,Raw,Omnipose,0.85,0.7407407,2
8,Raw,Omnipose,0.9,0.7407407,2
9,Raw,Omnipose,0.95,0.6666667,2
10,Raw,Omnipose,1.0,0.0,2
0,Raw,Cellpose-SAM,0.5,0.8148148,2
1,Raw,Cellpose-SAM,0.55,0.7407407,2
2,Raw,Cellpose-SAM,0.6,0.7407407,2
3,Raw,Cellpose-SAM,0.65,0.7407407,2
4,Raw,Cellpose-SAM,0.7,0.7407407,2
5,Raw,Cellpose-SAM,0.75,0.7407407,2
6,Raw,Cellpose-SAM,0.8,0.7407407,2
7,Raw,Cellpose-SAM,0.85,0.7407407,2
8,Raw,Cellpose-SAM,0.9,0.7407407,2
9,Raw,Cellpose-SAM,0.95,0.7407407,2
10,Raw,Cellpose-SAM,1.0,0.0,2
0,Raw,microSAM,0.5,0.10619469,2
1,Raw,microSAM,0.55,0.10619469,2
2,Raw,microSAM,0.6,0.10619469,2
3,Raw,microSAM,0.65,0.10619469,2
4,Raw,microSAM,0.7,0.088495575,2
5,Raw,microSAM,0.75,0.07079646,2
6,Raw,microSAM,0.8,0.07079646,2
7,Raw,microSAM,0.85,0.07079646,2
8,Raw,microSAM,0.9,0.03539823,2
9,Raw,microSAM,0.95,0.0,2
10,Raw,microSAM,1.0,0.0,2
0,Raw,Cellpose3,0.5,0.45,2
1,Raw,Cellpose3,0.55,0.4,2
2,Raw,Cellpose3,0.6,0.4,2
3,Raw,Cellpose3,0.65,0.4,2
4,Raw,Cellpose3,0.7,0.4,2
5,Raw,Cellpose3,0.75,0.4,2
6,Raw,Cellpose3,0.8,0.4,2
7,Raw,Cellpose3,0.85,0.4,2
8,Raw,Cellpose3,0.9,0.3,2
9,Raw,Cellpose3,0.95,0.0,2
10,Raw,Cellpose3,1.0,0.0,2
0,Raw,Morphometrics,0.5,0.7407407,2
1,Raw,Morphometrics,0.55,0.7407407,2
2,Raw,Morphometrics,0.6,0.7407407,2
3,Raw,Morphometrics,0.65,0.6666667,2
4,Raw,Morphometrics,0.7,0.6666667,2
5,Raw,Morphometrics,0.75,0.6666667,2
6,Raw,Morphometrics,0.8,0.5925926,2
7,Raw,Morphometrics,0.85,0.5185185,2
8,Raw,Morphometrics,0.9,0.5185185,2
9,Raw,Morphometrics,0.95,0.0,2
10,Raw,Morphometrics,1.0,0.0,2
0,Raw,Omnipose,0.5,0.98507464,3
1,Raw,Omnipose,0.55,0.98507464,3
2,Raw,Omnipose,0.6,0.98507464,3
3,Raw,Omnipose,0.65,0.98507464,3
4,Raw,Omnipose,0.7,0.98507464,3
5,Raw,Omnipose,0.75,0.98507464,3
6,Raw,Omnipose,0.8,0.98507464,3
7,Raw,Omnipose,0.85,0.98507464,3
8,Raw,Omnipose,0.9,0.98507464,3
9,Raw,Omnipose,0.95,0.8358209,3
10,Raw,Omnipose,1.0,0.0,3
0,Raw,Cellpose-SAM,0.5,0.67368424,3
1,Raw,Cellpose-SAM,0.55,0.6526316,3
2,Raw,Cellpose-SAM,0.6,0.6315789,3
3,Raw,Cellpose-SAM,0.65,0.6105263,3
4,Raw,Cellpose-SAM,0.7,0.6105263,3
5,Raw,Cellpose-SAM,0.75,0.6105263,3
6,Raw,Cellpose-SAM,0.8,0.6105263,3
7,Raw,Cellpose-SAM,0.85,0.6105263,3
8,Raw,Cellpose-SAM,0.9,0.6105263,3
9,Raw,Cellpose-SAM,0.95,0.50526315,3
10,Raw,Cellpose-SAM,1.0,0.0,3
0,Raw,microSAM,0.5,0.13545817,3
1,Raw,microSAM,0.55,0.11155379,3
2,Raw,microSAM,0.6,0.11155379,3
3,Raw,microSAM,0.65,0.07968128,3
4,Raw,microSAM,0.7,0.07171315,3
5,Raw,microSAM,0.75,0.055776894,3
6,Raw,microSAM,0.8,0.055776894,3
7,Raw,microSAM,0.85,0.03187251,3
8,Raw,microSAM,0.9,0.007968128,3
9,Raw,microSAM,0.95,0.0,3
10,Raw,microSAM,1.0,0.0,3
0,Raw,Cellpose3,0.5,0.47244096,3
1,Raw,Cellpose3,0.55,0.39370078,3
2,Raw,Cellpose3,0.6,0.39370078,3
3,Raw,Cellpose3,0.65,0.3464567,3
4,Raw,Cellpose3,0.7,0.3464567,3
5,Raw,Cellpose3,0.75,0.3464567,3
6,Raw,Cellpose3,0.8,0.3464567,3
7,Raw,Cellpose3,0.85,0.3464567,3
8,Raw,Cellpose3,0.9,0.28346458,3
9,Raw,Cellpose3,0.95,0.047244094,3
10,Raw,Cellpose3,1.0,0.0,3
0,Raw,Morphometrics,0.5,0.0,3
1,Raw,Morphometrics,0.55,0.0,3
2,Raw,Morphometrics,0.6,0.0,3
3,Raw,Morphometrics,0.65,0.0,3
