,Projection,Cell,L,w
0,Maximum intensity,1,5.044303408890754,0.7318435077115402
1,Maximum intensity,7,5.783707246051007,0.7342525495183401
2,Maximum intensity,14,5.996686392889158,0.6854356359457547
3,Sum of intensities,1,5.044303408890754,0.7318435077115402
4,Sum of intensities,7,5.783707246051007,0.7342525495183401
5,Sum of intensities,14,5.996686392889158,0.6854356359457547
6,Average intensity,1,5.044303408890754,0.7318435077115402
7,Average intensity,7,5.783707246051007,0.7342525495183401
8,Average intensity,14,5.996686392889158,0.6854356359457547
