,Illumination,Exposure time,Light transmission,F1 score,SNR
99,i6,0.100s,10%,0.9268293,11.34799761189234
100,i7,0.100s,50%,0.9166667,29.054062227803477
101,i7,0.100s,50%,0.9166667,26.525332045800106
102,i7,0.100s,50%,0.86614174,12.3281955312251
103,i7,0.100s,50%,0.93333334,21.9008956317893
104,i7,0.100s,50%,0.94505495,11.728795169942106
105,i7,0.100s,50%,0.8923077,11.568550514988738
106,i7,0.100s,50%,0.98039216,10.558813471205802
107,i7,0.100s,50%,0.9166667,20.830709423869337
108,i7,0.100s,50%,0.82828283,17.040527696103478
109,i7,0.100s,50%,0.8915663,18.3371278331934
110,i8,0.100s,100%,0.8447205,16.34899852247112
111,i8,0.100s,100%,0.7234042,11.262482737064751
112,i8,0.100s,100%,1.0,9.20104493242119
113,i8,0.100s,100%,0.7755102,11.220218273479068
114,i8,0.100s,100%,0.85365856,10.371084281567033
115,i8,0.100s,100%,0.9622642,7.902941906065097
116,i8,0.100s,100%,0.8,8.372460802602308
117,i8,0.100s,100%,0.7741935,17.557747517287364
118,i8,0.100s,100%,0.875,15.144278683901055
119,i8,0.100s,100%,0.83116883,14.76726485628909
120,i9,0.200s,10%,0.8447205,19.436122621666687
121,i9,0.200s,10%,0.7062937,8.069818949208912
122,i9,0.200s,10%,1.0,12.277238481204597
123,i9,0.200s,10%,0.64705884,12.775154770073748
124,i9,0.200s,10%,0.83950615,9.04620288067993
125,i9,0.200s,10%,0.9622642,4.536777393133962
126,i9,0.200s,10%,0.8,6.080714253560166
127,i9,0.200s,10%,0.7741935,13.337507809546166
128,i9,0.200s,10%,0.890625,11.16847450503475
129,i9,0.200s,10%,0.82251084,10.54717963253541
130,i10,0.200s,50%,0.8447205,16.006457696281853
131,i10,0.200s,50%,0.71378094,11.05095547570787
132,i10,0.200s,50%,1.0,13.389306965844545
133,i10,0.200s,50%,0.7326733,11.090423526690422
134,i10,0.200s,50%,0.8433735,10.090633599894975
135,i10,0.200s,50%,0.9622642,7.6789644827111685
136,i10,0.200s,50%,0.8,6.757377688050759
137,i10,0.200s,50%,0.7741935,17.608500822340403
138,i10,0.200s,50%,0.875,14.837217634346601
139,i10,0.200s,50%,0.8471616,15.032935763895004
140,Target,0.200s,100%,0.9237288,11.624208660803399
141,Target,0.200s,100%,0.7058824,9.70671274079658
142,Target,0.200s,100%,0.8598131,13.82870334079869
143,Target,0.200s,100%,0.85106385,9.10450679396789
144,Target,0.200s,100%,0.93333334,11.075239628302308
145,Target,0.200s,100%,0.96,12.48701939088974
146,Target,0.200s,100%,0.92753625,10.823458221367938
147,Target,0.200s,100%,0.9589041,8.894582698921944
148,Target,0.200s,100%,0.85106385,11.208203252648744
149,Target,0.200s,100%,0.7746479,9.672635799164825
150,Target,0.200s,100%,0.9047619,6.816301835436534
151,Target,0.200s,100%,0.94623655,7.9073385048879645
152,Target,0.200s,100%,0.96385545,7.989129194685937
153,Target,0.200s,100%,0.91803277,7.490556866618
154,Target,0.200s,100%,0.96666664,6.581204728424814
155,Target,0.200s,100%,0.921466,5.507479139134947
156,Target,0.200s,100%,0.85714287,6.7973932749752
157,Target,0.200s,100%,0.90140843,7.0537024544576825
158,Target,0.200s,100%,0.53968257,8.611657617685422
159,Target,0.200s,100%,0.78125,8.019156430436933
160,Target,0.200s,100%,0.9166667,12.812731291301816
161,Target,0.200s,100%,0.93793106,10.555928514236406
162,Target,0.200s,100%,0.86614174,9.535966954285318
163,Target,0.200s,100%,0.93333334,9.946781036829671
164,Target,0.200s,100%,0.94505495,13.85281539337686
165,Target,0.200s,100%,0.8787879,9.112299470986393
166,Target,0.200s,100%,0.96153843,10.218580235519413
167,Target,0.200s,100%,0.9166667,9.995067614128759
168,Target,0.200s,100%,0.8367347,9.282245813215559
169,Target,0.200s,100%,0.8915663,8.86770201452841
170,Target,0.200s,100%,0.8447205,8.485115770318764
171,Target,0.200s,100%,0.71378094,5.774127699416757
172,Target,0.200s,100%,1.0,7.361482876885318
173,Target,0.200s,100%,0.81632656,5.947468849823145
174,Target,0.200s,100%,0.8433735,8.061416983363655
175,Target,0.200s,100%,0.9622642,5.354175158777425
176,Target,0.200s,100%,0.8,3.766997951401009
177,Target,0.200s,100%,0.7741935,10.135509325658944
178,Target,0.200s,100%,0.86153847,8.663424048143343
179,Target,0.200s,100%,0.8189655,12.144435116064143
