,Target,Image_full_path,Image,label,Width,Length,SurfaceArea,Volume
19,FM 4-64,/Users/reyesmatte/Desktop/copypasta/20260227/processed_masks/C1 - JLG3576_002_R3D_D3D_cp_masks_FM.tif,C1 - JLG3576_002_R3D_D3D_cp_masks_FM.tif,34,0.6369349256987664,1.9092726372872044,3.6268620745408624,0.5127623187752101
20,FM 4-64,/Users/reyesmatte/Desktop/copypasta/20260227/processed_masks/C1 - JLG3576_003_R3D_D3D_cp_masks_FM.tif,C1 - JLG3576_003_R3D_D3D_cp_masks_FM.tif,2,0.7180552968399021,5.10650503933183,10.197376119787199,1.7466696075402928
21,FM 4-64,/Users/reyesmatte/Desktop/copypasta/20260227/processed_masks/C1 - JLG3576_003_R3D_D3D_cp_masks_FM.tif,C1 - JLG3576_003_R3D_D3D_cp_masks_FM.tif,3,0.7363707444963379,4.918436792738065,9.696663063485882,1.6851734620454644
22,FM 4-64,/Users/reyesmatte/Desktop/copypasta/20260227/processed_masks/C1 - JLG3576_003_R3D_D3D_cp_masks_FM.tif,C1 - JLG3576_003_R3D_D3D_cp_masks_FM.tif,4,0.7480465318802617,4.849352918872743,9.528733495592688,1.7174777024812344
23,FM 4-64,/Users/reyesmatte/Desktop/copypasta/20260227/processed_masks/C1 - JLG3576_003_R3D_D3D_cp_masks_FM.tif,C1 - JLG3576_003_R3D_D3D_cp_masks_FM.tif,5,0.7523523715846941,3.6779577362637914,8.02781448322206,1.430908902144006
24,FM 4-64,/Users/reyesmatte/Desktop/copypasta/20260227/processed_masks/C1 - JLG3576_003_R3D_D3D_cp_masks_FM.tif,C1 - JLG3576_003_R3D_D3D_cp_masks_FM.tif,6,0.7626451480482768,4.115034846822904,9.349800680360184,1.6680324051326116
25,FM 4-64,/Users/reyesmatte/Desktop/copypasta/20260227/processed_masks/C1 - JLG3576_003_R3D_D3D_cp_masks_FM.tif,C1 - JLG3576_003_R3D_D3D_cp_masks_FM.tif,7,0.709516186202197,4.3112450759753385,8.600099523523651,1.4360101839611408
26,FM 4-64,/Users/reyesmatte/Desktop/copypasta/20260227/processed_masks/C1 - JLG3576_003_R3D_D3D_cp_masks_FM.tif,C1 - JLG3576_003_R3D_D3D_cp_masks_FM.tif,9,0.675458309133266,3.676404182038187,7.492268841698167,1.1892378217174244
27,FM 4-64,/Users/reyesmatte/Desktop/copypasta/20260227/processed_masks/C1 - JLG3576_004_R3D_D3D_cp_masks_FM.tif,C1 - JLG3576_004_R3D_D3D_cp_masks_FM.tif,3,0.7138012206892892,5.458468396369032,11.1964885983916,1.922046381703475
28,FM 4-64,/Users/reyesmatte/Desktop/copypasta/20260227/processed_masks/C1 - JLG3576_004_R3D_D3D_cp_masks_FM.tif,C1 - JLG3576_004_R3D_D3D_cp_masks_FM.tif,4,0.7186098639110131,4.8117325413172,9.397855029050532,1.6314238539192094
