,Representation,label,Width,Length,SurfaceArea,Volume
0,Medial axis,1,0.8311505921345118,1.9142114135049162,4.422100644581499,0.771416489354884
1,Medial axis,1,0.5333867428976804,2.884601536066477,4.4428011119126705,0.589325761007109
2,Medial axis,1,0.6854856606127467,4.039790547807594,6.894938860830806,1.178746903690267
3,Medial axis,1,0.6085529583759312,4.37453406281614,7.16935146290402,1.0735235402837653
4,Medial axis,1,0.6591941787210868,2.2636469502090626,3.847160729154572,0.5620463934963051
5,Medial axis,1,0.6288311261123531,4.487537102659178,6.040311811181438,0.8915729101222899
6,Medial axis,1,0.7949061054521575,2.4379023701611473,5.590104675933311,0.98245587528211
7,Medial axis,1,0.6499711047997774,3.1074764831994317,4.973974288631944,0.8044198504997424
8,Medial axis,1,0.5756174010380278,3.142570286066477,5.183757578002872,0.7941010135210188
9,Medial axis,1,0.595699796747611,2.2709765184441295,3.461607254174175,0.5202246469900695
10,Medial axis,1,0.6702652050690059,3.71461970942904,6.2473153480916945,1.0373594067679954
11,Medial axis,1,0.6412952845066829,2.221284982790628,3.9814934682114775,0.5734888258248992
12,Medial axis,1,0.6906101147157223,3.4383176848368686,6.976012240429226,1.2008425301741619
13,Medial axis,1,0.6776990211996887,3.9790702508217795,7.36190085305779,1.2476782160236788
14,Medial axis,1,0.6440017219238104,3.442864654776441,5.22087861018632,0.8022148995311374
15,Medial axis,1,0.6514515411126409,5.587601723469964,6.377174679296338,0.9758946937348503
16,Medial axis,1,0.6578242661409857,4.177130131969823,6.8547963553252425,1.0914984623916708
17,Medial axis,1,0.7255769890646236,2.4736447732154234,4.939385688198737,0.799252574271485
18,Medial axis,1,0.6138934438633299,2.884601536066478,5.027459975077005,0.8337077496039559
19,Medial axis,1,0.5687054002465378,4.82072891440742,7.038188163708372,1.0250519902916873
20,Medial axis,1,0.6361289954004842,2.167857905331411,3.8249706636767384,0.5626797737444468
21,Medial axis,1,0.6018060172722489,2.3747049144114203,3.3967389766593032,0.5051082421390852
22,Medial axis,1,0.6720081278322423,3.4249302136302253,5.973021314903839,0.9370785217920476
23,Medial axis,1,0.7318098704884002,2.459869762296086,5.013431183470404,0.8213482007553801
24,Medial axis,1,0.7101301646691701,3.184836447128957,5.936899602280776,0.963805769409386
25,Medial axis,1,0.6912315094148075,2.3244035959033464,4.1076476849365715,0.6258426098779023
26,Medial axis,1,0.7323515760677097,2.8780239383177832,5.1906887445784395,0.8525698297722007
27,Medial axis,1,0.706020781365528,3.098309845903346,5.884123282665426,0.9502807671530266
28,Medial axis,1,0.7427488203788266,2.1789230153721935,4.820131804876109,0.7982931787173072
29,Medial axis,1,0.729884976936859,2.7399687323776525,6.003793524056838,1.0089142041761843
30,Medial axis,1,0.6170337877932884,2.6689947534849123,4.554964456582625,0.7044942843688415
31,Medial axis,1,0.6300566674759711,3.5920213194658244,5.684129637811947,0.89667094725462
32,Medial axis,1,0.7190989850600589,2.348432288729609,5.150934355675883,0.846909994964935
33,Medial axis,1,0.6970070056175713,2.3257033285062505,4.769300557862822,0.762944807720604
34,Medial axis,1,0.6697570315493878,2.6625129620921726,4.7976479536900944,0.7949545729441386
35,Medial axis,1,0.6127357463498891,3.4566509594290395,5.161786410493038,0.7856740483969897
36,Medial axis,1,0.609183146186984,3.0371736908449423,5.160567837520997,0.792467752868481
37,Medial axis,1,0.6805181140254898,3.5125862924875264,6.344194712487976,1.009851272791992
