,Sampling iteration,Image_full_path,Image,label,Width,Length,SurfaceArea,Volume
27,0,/Users/reyesmatte/Desktop/copypasta/20260226/processed_masks/PY79_46_cp_masks.tif,PY79_46_cp_masks.tif,93,0.785246458365722,3.47436068880919,7.269368975080773,1.309130360346259
28,0,/Users/reyesmatte/Desktop/copypasta/20260226/processed_masks/PY79_46_cp_masks.tif,PY79_46_cp_masks.tif,95,0.7438634932032246,7.19529936168434,14.404721257415044,2.5814603163276133
29,0,/Users/reyesmatte/Desktop/copypasta/20260226/processed_masks/PY79_46_cp_masks.tif,PY79_46_cp_masks.tif,166,0.6971897628788816,5.437762401741373,9.531302534525379,1.5989451584751702
30,0,/Users/reyesmatte/Desktop/copypasta/20260226/processed_masks/PY79_46_cp_masks.tif,PY79_46_cp_masks.tif,171,0.7482779670053344,5.023847429923581,9.817610656072144,1.7435069038851998
31,0,/Users/reyesmatte/Desktop/copypasta/20260226/processed_masks/PY79_46_cp_masks.tif,PY79_46_cp_masks.tif,173,0.7459855388964249,4.545150513623509,9.867384505086353,1.8042822086640147
32,0,/Users/reyesmatte/Desktop/copypasta/20260226/processed_masks/PY79_46_cp_masks.tif,PY79_46_cp_masks.tif,174,0.764654138268687,4.24224912695103,10.040365098861479,1.8139711962877088
33,0,/Users/reyesmatte/Desktop/copypasta/20260226/processed_masks/PY79_48_cp_masks.tif,PY79_48_cp_masks.tif,1,0.7792044344084174,2.2164302411893475,5.040134204499675,0.8613661688194796
34,0,/Users/reyesmatte/Desktop/copypasta/20260226/processed_masks/PY79_48_cp_masks.tif,PY79_48_cp_masks.tif,4,0.7658552332278799,4.644411756080483,10.335835319203264,1.8651245413707669
35,0,/Users/reyesmatte/Desktop/copypasta/20260226/processed_masks/PY79_48_cp_masks.tif,PY79_48_cp_masks.tif,7,0.7573826659316706,7.492414820021001,12.524744891336931,2.335488316382009
36,0,/Users/reyesmatte/Desktop/copypasta/20260226/processed_masks/PY79_48_cp_masks.tif,PY79_48_cp_masks.tif,8,0.7652692496835235,4.305266730127496,9.060905004881814,1.6303046723857406
37,0,/Users/reyesmatte/Desktop/copypasta/20260226/processed_masks/PY79_48_cp_masks.tif,PY79_48_cp_masks.tif,9,0.7799140328937776,4.135818860453759,9.838363356144308,1.809799029527562
38,0,/Users/reyesmatte/Desktop/copypasta/20260226/processed_masks/PY79_48_cp_masks.tif,PY79_48_cp_masks.tif,10,0.7970368796797714,4.139789957961307,9.362228347327422,1.736648398171971
39,0,/Users/reyesmatte/Desktop/copypasta/20260226/processed_masks/PY79_48_cp_masks.tif,PY79_48_cp_masks.tif,11,0.7570978941009122,4.081341087092171,8.274182589046791,1.530898664198639
40,0,/Users/reyesmatte/Desktop/copypasta/20260226/processed_masks/PY79_48_cp_masks.tif,PY79_48_cp_masks.tif,13,0.8231926164064934,6.431834676513103,16.17288843014498,3.198175042316139
41,0,/Users/reyesmatte/Desktop/copypasta/20260226/processed_masks/PY79_48_cp_masks.tif,PY79_48_cp_masks.tif,15,0.8462553761353958,3.7106631982622047,10.000692840791261,1.9659374673577017
