,Method,Width_mu,Width_sigma,Length_mu,Length_sigma,SurfaceArea_mu,SurfaceArea_sigma,Volume_mu,Volume_sigma
0,Automatic,0.6721737532968971,0.0008441163991831985,5.128550400297433,0.03365099634077519,11.5023048274204,0.018752064422997858,1.8899535456040466,0.0034703395213195967
1,Automatic,0.750424441150698,0.0006520144857676755,5.627253199710611,0.04107282634814775,13.256167644505219,0.023031993148002843,2.4067848771442106,0.004618350385347971
2,Automatic,0.7815823371786533,0.0006756919160868083,5.452374181545947,0.03973602295533563,12.81861385782131,0.021542406896459223,2.4007987401290567,0.004582714759333741
3,Automatic,0.7982157376880956,0.0007258453815787476,5.890558382890745,0.04624009600569278,14.30153216793148,0.027895754564930472,2.758205294856403,0.0062843526826362114
4,Automatic,0.8041166662750612,0.000755552897619868,5.316911447140874,0.036094623478912534,12.910545813825767,0.02333385509967195,2.4949812393087036,0.004926332110469059
5,Automatic,0.7599550351884651,0.0006700582954379492,3.9503462038987953,0.01871070662636478,8.811282396410649,0.0117639065819283,1.5789707927773196,0.0028791148491553635
6,Automatic,0.8304762643198748,0.0008257109585404919,4.6955530137996195,0.02708406222008585,11.899272059476786,0.019324303117803265,2.3520099343920133,0.004710696384110358
7,Automatic,0.7593185608988402,0.0006985985348055197,4.080118107881795,0.019362256451470033,9.062988250647686,0.013062681191143151,1.6211580371914456,0.0027587941401707077
8,Automatic,0.7942967945198913,0.0007771805641854165,5.743053552196198,0.03960111980035691,13.024627309125682,0.025168418481454947,2.5420240970091506,0.005273134702943507
9,Automatic,0.7837570201374113,0.0006901247733095966,3.8799891843935903,0.018410678230640992,7.804601846458423,0.009830875320926438,1.4111622913887831,0.0023572546693844242
10,Automatic,0.7941710412827444,0.0006819111221220433,5.326729953242446,0.035267310327181445,11.33172433706423,0.016411525940710932,2.1350183156699485,0.004046317725492881
11,Automatic,0.7676690400631145,0.0006792435107033936,4.700460530953475,0.027579326391896877,9.105723690987128,0.013177160074272248,1.6604785898165206,0.0027213393222625623
12,Automatic,0.8295029440550383,0.0008125313343669029,4.829258344749627,0.028015308121337255,10.310881724549054,0.015949348527414194,2.047764036331227,0.003712769118240771
13,Automatic,0.9054264476722133,0.0010267696250133634,4.8723368234841855,0.030399106601051773,11.618128743021314,0.02039501333568644,2.4609227831746847,0.0051663309194048355
14,Automatic,0.8241343919129902,0.0007563633370123182,6.1926048044876145,0.05079294885405045,13.55617266627338,0.024422361889962028,2.6753540299295704,0.005587121122742402
