,Method,SurfaceArea
1072,FP2FM,8.011207424869681
1073,FP2FM,9.351608091591606
1074,FP2FM,8.40956897566767
1075,FP2FM,9.149925985247766
1076,FP2FM,9.23938860188407
1077,FP2FM,9.183357036575805
1078,FP2FM,16.12546356974908
1079,FP2FM,11.706205779285856
1080,FP2FM,10.141077488496649
1081,FP2FM,19.04310739433005
1082,FP2FM,7.3747242035164495
1083,FP2FM,9.95268161734554
1084,FP2FM,22.989929117422133
1085,FP2FM,9.391335743422985
1086,FP2FM,10.522333345819881
1087,FP2FM,9.507394962071887
1088,FP2FM,7.071814618797103
1089,FP2FM,9.0423332153005
1090,FP2FM,8.886634503096364
1091,FP2FM,0.6314398039587319
1092,FP2FM,9.92066564214432
1093,FP2FM,8.179621433451931
1094,FP2FM,9.022366337187389
1095,FP2FM,5.688269677270045
1096,FP2FM,9.658228124842317
1097,FP2FM,9.097042578292921
1098,FP2FM,10.140248255084916
1099,FP2FM,10.871100376294304
1100,FP2FM,8.608577167680345
1101,FP2FM,13.259767966622544
1102,FP2FM,10.560367904887691
1103,FP2FM,10.214324673973536
1104,FP2FM,21.267225916466792
1105,FP2FM,10.520932163113885
1106,FP2FM,11.255372066025549
1107,FP2FM,11.07125968499015
1108,FP2FM,12.563961900405808
1109,FP2FM,21.421756852049565
1110,FP2FM,9.82447986620435
1111,FP2FM,10.486812276016694
1112,FP2FM,15.3688506459762
1113,FP2FM,8.508789451436737
1114,FP2FM,6.583504559225522
1115,FP2FM,7.795121024097502
1116,FP2FM,8.074028445816902
1117,FP2FM,9.563056693033644
1118,FP2FM,9.866609737421028
1119,FP2FM,7.1251333213858405
1120,FP2FM,15.711235089212941
1121,FP2FM,8.727736091152497
1122,FP2FM,10.414886982620486
1123,FP2FM,9.017024993125753
1124,FP2FM,8.201470210135682
1125,FP2FM,9.347598609812046
1126,FP2FM,13.171362609515471
1127,FP2FM,18.206815068271553
1128,FP2FM,11.071862861637667
1130,FP2FM,8.568078063963405
1132,FP2FM,6.602530381066419
1133,FP2FM,9.50660881099033
1134,FP2FM,10.681699695250636
1135,FP2FM,12.130281632734832
1136,FP2FM,8.253523817527464
1137,FP2FM,8.215205952390237
1138,FP2FM,9.801760580104945
1139,FP2FM,9.872862399430026
1140,FP2FM,12.818409012615481
1141,FP2FM,15.313704320623065
1142,FP2FM,11.127628276819141
1143,FP2FM,13.094835530372327
1144,FP2FM,12.954387053938078
1145,FP2FM,16.311355700133067
1146,FP2FM,10.161780654796306
1147,FP2FM,10.68506851616589
