,Target,SSIM
74,FP2FM,0.5573524202094049
75,FP2FM,0.5218570127560987
76,FP2FM,0.5964259936589322
77,FP2FM,0.7678190519592681
78,FP2FM,0.7059034596744287
79,FP2FM,0.6621795141810577
80,FP2FM,0.7050043739695214
81,FP2FM,0.8151244643444012
82,FP2FM,0.7436322658810091
83,FP2FM,0.835151534858535
84,FP2FM,0.6205186246499781
85,FP2FM,0.6117846174855309
86,FP2FM,0.6938553606099325
87,FP2FM,0.8108610315811564
88,FP2FM,0.8001804041123128
89,FP2FM,0.7805322786063157
90,FP2FM,0.545279488535916
91,FP2FM,0.7473695499685733
92,FP2FM,0.8964049599022785
93,FP2FM,0.7950650472964995
94,FP2FM,0.8086345129257505
95,FP2FM,0.9190234794713785
96,FP2FM,0.7649778344933983
97,FP2FM,0.6290309614052406
98,FP2FM,0.8261678769875216
99,FP2FM,0.7852112700624062
100,FP2FM,0.7967547240108431
101,FP2FM,0.8030399865453899
102,FP2FM,0.7983450857389097
103,FP2FM,0.8481053314995768
104,FP2FM,0.8537296869188975
105,FP2FM,0.8187475974377251
106,FP2FM,0.8517028732503658
107,FP2FM,0.8290974882872358
108,FP2FM,0.7869112141432159
109,FP2FM,0.7782967695600921
110,FP2FM,0.6162770305228737
111,FP2FM,0.8199726669938776
112,FP2FM,0.8249259996251296
113,FP2FM,0.8300944707073782
114,FP2FM,0.8499922034588836
115,FP2FM,0.8129245751107088
116,FP2FM,0.7923757482764011
117,FP2FM,0.8598078656331263
118,FP2FM,0.7911002545264026
119,FP2FM,0.8425433972571175
120,FP2FM,0.8267855331723222
121,FP2FM,0.7785163588636344
122,FP2FM,0.8022883292642469
123,FP2FM,0.8808867834340912
124,FP2FM,0.8124833310088063
125,FP2FM,0.8920809284136101
126,FP2FM,0.8182805835676957
127,FP2FM,0.8211136893365917
128,FP2FM,0.8897388210038253
129,FP2FM,0.8139871425555762
130,FP2FM,0.7695609169677853
131,FP2FM,0.7818551535308987
132,FP2FM,0.8829632415182619
133,FP2FM,0.8496805729819896
134,FP2FM,0.7825366754469595
135,FP2FM,0.7820452522428235
136,FP2FM,0.7607506865310143
137,FP2FM,0.8182304333647785
138,FP2FM,0.8181929843128292
139,FP2FM,0.8453784852675842
140,FP2FM,0.7719836044928515
141,FP2FM,0.7777724323472026
142,FP2FM,0.8531446108345259
143,FP2FM,0.8603731445895763
144,FP2FM,0.8016366530047233
145,FP2FM,0.7788609011960258
146,FP2FM,0.7772104407743394
147,FP2FM,0.7863888806502359
