,Target,SSIM
0,FM2FM,0.8547703791021102
1,FM2FM,0.8179145080040903
2,FM2FM,0.8400790914766842
3,FM2FM,0.6936707466936605
4,FM2FM,0.8869056750623096
5,FM2FM,0.7421243386295135
6,FM2FM,0.9161402519962518
7,FM2FM,0.8401885015754057
8,FM2FM,0.8967007405565955
9,FM2FM,0.6341903713741639
10,FM2FM,0.780700180730222
11,FM2FM,0.8346246383907848
12,FM2FM,0.8649224647686129
13,FM2FM,0.7651623028968197
14,FM2FM,0.8726793191906878
15,FM2FM,0.8399271513415496
16,FM2FM,0.5314125724810768
17,FM2FM,0.6444469150281275
18,FM2FM,0.5734876328159912
19,FM2FM,0.7046478690481743
20,FM2FM,0.8963023026746221
21,FM2FM,0.5590903966702804
22,FM2FM,0.7159751121247516
23,FM2FM,0.7080251031459187
24,FM2FM,0.6184555931048424
25,FM2FM,0.8722984246930651
26,FM2FM,0.8753717763745409
27,FM2FM,0.9158375526588991
28,FM2FM,0.9166295812960077
29,FM2FM,0.7990766740713073
30,FM2FM,0.8456744252838004
31,FM2FM,0.9165438386869192
32,FM2FM,0.9004683223543196
33,FM2FM,0.969525271408419
34,FM2FM,0.8935589106137778
35,FM2FM,0.8741684731269891
36,FM2FM,0.9180252704422518
37,FM2FM,0.9265757160430668
38,FM2FM,0.9226627752936393
39,FM2FM,0.9164089888801455
40,FM2FM,0.9090954893363736
41,FM2FM,0.9470665680942497
42,FM2FM,0.8959007239011889
43,FM2FM,0.7256608765219152
44,FM2FM,0.8993750509570975
45,FM2FM,0.9398292229611637
46,FM2FM,0.9366684765753392
47,FM2FM,0.9425970453739397
48,FM2FM,0.9089606542770708
49,FM2FM,0.8773755320958898
50,FM2FM,0.9317106139520581
51,FM2FM,0.8238435182963522
52,FM2FM,0.8373497491608036
53,FM2FM,0.8728162471818663
54,FM2FM,0.7336814565323574
55,FM2FM,0.587825911138572
56,FM2FM,0.8905677089327283
57,FM2FM,0.90265745772539
58,FM2FM,0.8407265110915147
59,FM2FM,0.7236636819849692
60,FM2FM,0.909373831177337
61,FM2FM,0.9027386565171449
62,FM2FM,0.8773701083526914
63,FM2FM,0.9069154537549938
64,FM2FM,0.8377391824505258
65,FM2FM,0.7972914190315614
66,FM2FM,0.8673074133288795
67,FM2FM,0.8939284478979039
68,FM2FM,0.8299395497987173
69,FM2FM,0.790335786096111
70,FM2FM,0.915431306141499
71,FM2FM,0.9093124576660749
72,FM2FM,0.8730182776286969
73,FM2FM,0.8565791547486348
