,Method,label,Width,Length,SurfaceArea,Volume
0,Automatic,1,0.7108543342165137,5.406278639959217,12.10794871649677,2.0749997123734576
1,Automatic,2,0.7898768495418985,5.962608883252207,13.92010094094465,2.6313166502933463
2,Automatic,3,0.8213047759696444,5.768004134624668,13.467941709322742,2.6247087444975934
3,Automatic,4,0.838066430524682,6.247361923362562,15.008260862423665,3.011235537653102
4,Automatic,5,0.8439634912971192,5.613505158403345,13.563704309518673,2.727246812973318
5,Automatic,6,0.7994444387296271,4.103634135120363,9.316615363486523,1.7397482781841513
6,Automatic,7,0.8705902402621634,4.92622131598491,12.517185819111225,2.573595148878519
7,Automatic,8,0.798800318546345,4.246393521039701,9.576727810376887,1.7850683726924896
8,Automatic,9,0.834024754702931,6.084037963469439,13.68053577666635,2.777634238920879
9,Automatic,10,0.8234274615670206,4.024979427326598,8.273522816491228,1.5588394340549547
10,Automatic,11,0.8339239754137409,5.624804294726106,11.928626171203735,2.338640382660021
11,Automatic,12,0.8072765177520779,4.928869813179786,9.622133427850574,1.827591037964073
12,Automatic,13,0.8696107740273132,5.078122284225124,10.873205021163251,2.2446626102039127
13,Automatic,14,0.9462304374101657,5.123958732974736,12.22537343614834,2.6902364480963343
14,Automatic,15,0.8641266445464753,6.578601988784218,14.233815144950434,2.921433298539471
15,Automatic,16,0.869522951768979,5.942035322946447,13.332807080978052,2.73904543425764
16,Automatic,17,0.9145336745793421,5.008010668515422,11.569047735736161,2.4613673988384828
17,Automatic,18,0.887086079401719,7.433985565452743,16.19499362284768,3.513415120528037
18,Automatic,19,0.9765404014474465,6.645823994029293,15.83765341486815,3.6350702646614983
19,Automatic,20,0.8993858234277325,7.964935897992527,18.67507984591468,4.02747553332822
20,Automatic,21,0.9072729168345873,5.067811392158267,12.151899981488418,2.568303023389845
21,Automatic,22,0.9291738584534033,4.8018202596329544,12.476324136727536,2.7202243420366274
22,Automatic,23,0.9046465689395553,5.704225592528109,13.453857066094406,2.8507688053807687
23,Automatic,24,0.8334935089845135,6.014371067294099,13.883624682270277,2.75717473040266
24,Automatic,25,0.8164593918231928,4.574688129880971,9.708667055436397,1.850864325672019
25,Automatic,26,0.8686302805732418,4.418161763390872,9.06254543152869,1.8736151980049853
26,Automatic,27,0.9589184258684708,4.212000832503312,10.059766586033854,2.2009421638232465
27,Automatic,28,0.8936035986582589,4.070841380848917,9.483874077622206,1.967590680106065
28,Automatic,29,0.8942653181887957,4.71329937930669,10.96525613450679,2.316883606144261
29,Automatic,30,0.8888351661709316,4.672932137943516,10.47342360629005,2.1607850224719973
30,Automatic,31,0.8360197561028864,4.6163113969207545,9.82911711384631,1.9145964833793996
31,Automatic,32,0.8224542366015285,5.20664642209549,10.432297304007317,2.005920483954156
32,Automatic,33,0.769636477047879,4.513503853360576,8.741856275577554,1.5664445583773337
33,Automatic,34,0.8329763771153785,3.632564980908635,7.68613485607517,1.4500055892027834
34,Automatic,35,0.7831579860782938,4.203407029891915,8.448878693046058,1.572682445500268
35,Automatic,36,0.8246840598974557,4.187050987239832,8.694946272050979,1.7200501158552135
36,Automatic,37,0.7728942438007178,3.37651335560442,6.656402387917039,1.2159070706034163
37,Automatic,38,0.821693526982943,3.6909265376818525,7.7539584625274065,1.469365421511644
38,Automatic,39,0.8582084481312665,3.8222634997753073,9.715252262461842,1.927596104371691
39,Automatic,40,0.8465127264697007,4.9002941504139494,10.65147276369793,2.1005915012941783
40,Automatic,41,0.8440713512717078,3.588972042788801,8.774493938131306,1.707605918563522
41,Automatic,42,0.8478399132809231,3.916547734401831,8.091785092912984,1.5629477775755278
42,Automatic,43,0.7731918593783822,4.051414432040428,7.7556526693419885,1.4208710785155474
43,Automatic,44,0.635630385414026,3.1296067032809978,5.084252005852855,0.7999034998654397
44,Automatic,1,1.0396489026294673,4.804408456290738,14.327695972073224,3.4571312546213777
45,Automatic,2,0.9959680229558115,3.246542700749934,9.549665159604256,2.1864716361061607
46,Automatic,3,0.9942899693711333,3.9074787685771653,10.559232126072413,2.439991282108157
47,Automatic,4,1.0247092013888888,3.3959557174184347,10.819181970988627,2.4915726883379676
48,Automatic,5,1.0292168097344643,5.153715014851651,12.831727161497879,3.0262738674412466
49,Automatic,6,1.02103341344808,3.7062146745245648,10.557171553226492,2.4186176818048066
50,Automatic,7,1.000652097607653,4.059210867010606,10.625563173630237,2.5452243662942875
51,Automatic,8,1.0905674388205275,5.719511536479452,17.712164832796663,4.61569751699182
52,Automatic,9,0.9749655266828008,7.001726992828385,17.789009489755415,4.136869032155013
