,Method,Length
1072,FP2FM,4.119931163996419
1073,FP2FM,5.208544164799447
1074,FP2FM,4.003412248574169
1075,FP2FM,4.477623677334882
1076,FP2FM,4.115290635188444
1077,FP2FM,4.517137970903345
1078,FP2FM,7.791444499463834
1079,FP2FM,5.252284145308807
1080,FP2FM,4.484642176017409
1081,FP2FM,8.661260655672653
1082,FP2FM,4.07358763043594
1083,FP2FM,5.455309303174895
1084,FP2FM,10.270207322242635
1085,FP2FM,4.72810003115319
1086,FP2FM,8.193631389876279
1087,FP2FM,4.938235627130967
1088,FP2FM,2.729233951889629
1089,FP2FM,4.5296889893391885
1090,FP2FM,4.318690580380873
1091,FP2FM,0.5426510387296086
1092,FP2FM,4.5676304660562055
1093,FP2FM,4.212295133172222
1094,FP2FM,4.005938797704573
1095,FP2FM,2.9739087895513903
1096,FP2FM,4.508038355197931
1097,FP2FM,4.546699183482924
1098,FP2FM,4.866914711918421
1099,FP2FM,5.149446030736071
1100,FP2FM,4.084942978916066
1101,FP2FM,6.130927037378552
1102,FP2FM,5.0809950130503045
1103,FP2FM,4.712263269745031
1104,FP2FM,8.877541918515423
1105,FP2FM,4.592096528302337
1106,FP2FM,4.688647141268405
1107,FP2FM,4.382115631108132
1108,FP2FM,5.09046508425781
1109,FP2FM,8.662648781337296
1110,FP2FM,4.685900891681382
1111,FP2FM,5.107489278550007
1112,FP2FM,6.340628950283494
1113,FP2FM,3.98194297964696
1114,FP2FM,3.1021779897280943
1115,FP2FM,3.1255359801977876
1116,FP2FM,3.1251862125795813
1117,FP2FM,3.369242178688826
1118,FP2FM,3.7797387044102466
1119,FP2FM,3.4046984662933566
1120,FP2FM,8.234509547826395
1121,FP2FM,4.461716614343475
1122,FP2FM,6.885738233583447
1123,FP2FM,5.134259262562895
1124,FP2FM,4.205646337088174
1125,FP2FM,4.32356560204739
1126,FP2FM,6.377832206757621
1127,FP2FM,9.099579557440547
1128,FP2FM,4.7125130061480425
1130,FP2FM,3.8252708098368684
1131,FP2FM,10.473303658958836
1132,FP2FM,3.4631304302928907
1133,FP2FM,3.981131551513104
1134,FP2FM,4.984394540038797
1135,FP2FM,6.68584365307708
1136,FP2FM,4.070438804998014
1137,FP2FM,3.949905892470805
1138,FP2FM,5.183077966398862
1139,FP2FM,4.76705211265916
1140,FP2FM,6.310929894198346
1141,FP2FM,7.641074310925456
1142,FP2FM,5.861099365165253
1143,FP2FM,6.73095748798953
1144,FP2FM,6.1023165553241
1145,FP2FM,7.842931137562894
1146,FP2FM,4.902355451105273
1147,FP2FM,5.011919506902261
1148,FP2FM,3.8479263426025456
1149,FP2FM,8.439198441908077
1150,FP2FM,5.189559757791601
1151,FP2FM,0.6716354137296087
1152,FP2FM,3.3811187168634658
1153,FP2FM,5.1355803334557155
1154,FP2FM,4.857495542187999
1155,FP2FM,4.218255867210511
1156,FP2FM,7.813578896290083
1157,FP2FM,7.707304425546994
1158,FP2FM,8.101200488480936
1159,FP2FM,6.314564011741115
1160,FP2FM,4.302285406295704
1161,FP2FM,4.386255123158648
1162,FP2FM,4.461975248646057
1163,FP2FM,4.2670641929359405
1164,FP2FM,10.035803285534318
1165,FP2FM,3.787006868961636
1166,FP2FM,4.550271897342014
1167,FP2FM,5.084143838488231
1168,FP2FM,5.492488483191144
1169,FP2FM,5.0703688275688945
1170,FP2FM,4.893676868373257
1171,FP2FM,5.885223864347472
1172,FP2FM,4.986916557995515
1173,FP2FM,1.6782100556398556
1174,FP2FM,7.497599750182823
1175,FP2FM,4.709766756561019
1176,FP2FM,4.80139637121179
1177,FP2FM,3.9135554347588237
1178,FP2FM,4.0942683211691815
1179,FP2FM,4.997358122824277
1180,FP2FM,7.372341122336868
1181,FP2FM,4.7583494548976555
1182,FP2FM,8.306691432661145
1183,FP2FM,4.005928906129369
1184,FP2FM,3.9075241419019617
1185,FP2FM,4.468050164130301
1186,FP2FM,4.17902860471452
1187,FP2FM,7.00830459057708
1188,FP2FM,4.163905488709805
1189,FP2FM,6.389309881148042
1190,FP2FM,4.864612235420625
1191,FP2FM,4.950464251942744
1192,FP2FM,4.468435727468535
1193,FP2FM,7.174607377217838
1194,FP2FM,4.050007881006049
1195,FP2FM,3.164422421046871
1196,FP2FM,3.996131860150461
1197,FP2FM,5.625519469549402
1198,FP2FM,6.07935883846544
1199,FP2FM,6.568735816251721
1200,FP2FM,3.21812758360726
1202,FP2FM,5.8981099658569125
1203,FP2FM,9.290877220187244
1204,FP2FM,5.885499511162722
1205,FP2FM,8.23458404161209
1206,FP2FM,7.358105874287896
1207,FP2FM,7.381093665863461
1208,FP2FM,8.666518454581897
1209,FP2FM,7.1594442406338565
1210,FP2FM,4.101960472106951
1211,FP2FM,4.603724029776441
1212,FP2FM,4.2167458498012325
1213,FP2FM,6.325167425999173
1214,FP2FM,7.933392457249316
1215,FP2FM,4.024304947065395
1216,FP2FM,3.5362392287411977
1217,FP2FM,6.432783877618376
1218,FP2FM,7.137988500813495
1219,FP2FM,4.284051308478928
1220,FP2FM,7.596027497603677
1221,FP2FM,5.56934614250316
1222,FP2FM,6.947951002190764
1223,FP2FM,5.660546697780383
1224,FP2FM,5.758076558408491
1225,FP2FM,7.914042889427052
1226,FP2FM,7.7066535430363
1227,FP2FM,6.545170622824277
1228,FP2FM,5.196229432106177
1229,FP2FM,5.195780488709803
1230,FP2FM,6.132754311787898
1231,FP2FM,5.3303087780687965
1232,FP2FM,7.890902064556531
1233,FP2FM,6.5114900005970835
1235,FP2FM,8.579870166926357
1236,FP2FM,9.369128332065092
1237,FP2FM,7.996484554211476
1238,FP2FM,5.010970305796989
1239,FP2FM,8.14546092864407
1240,FP2FM,4.96874611134997
1241,FP2FM,7.4897750951912405
1242,FP2FM,9.314476336151206
1243,FP2FM,5.060575382791601
1244,FP2FM,10.179129006505738
1245,FP2FM,4.424896135112078
1246,FP2FM,6.291809996542549
1247,FP2FM,9.449942502543944
1248,FP2FM,4.011146381148564
1249,FP2FM,2.9730610127090618
1250,FP2FM,4.134963733726806
1251,FP2FM,4.131598026543201
1252,FP2FM,8.554430577212093
1253,FP2FM,8.703712231565568
1254,FP2FM,8.40974864209018
1255,FP2FM,4.5837626574300225
1256,FP2FM,6.953841403556205
1257,FP2FM,4.507486041502418
1258,FP2FM,5.088401021107259
1259,FP2FM,11.47566695008104
1260,FP2FM,4.530172752024178
1261,FP2FM,5.3297399155942875
1262,FP2FM,4.77418250423913
1263,FP2FM,5.835181168028013
1264,FP2FM,7.691330770240725
