Method,area_convex
FM2FM,3.518718942
FM2FM,3.169342593
FM2FM,3.47712652
FM2FM,2.616163374
FM2FM,4.903746611
FM2FM,3.373145464
FM2FM,3.2192535
FM2FM,3.152705624
FM2FM,3.759954993
FM2FM,4.941179791
FM2FM,7.923356483
FM2FM,3.639336967
FM2FM,3.651814694
FM2FM,4.412956026
FM2FM,3.734999539
FM2FM,8.085566931
FM2FM,4.525255566
FM2FM,3.606063029
FM2FM,3.377304706
FM2FM,5.203212053
FM2FM,4.571007231
FM2FM,5.174097357
FM2FM,4.712421468
FM2FM,4.317293454
FM2FM,1.068925258
FM2FM,5.178256599
FM2FM,5.011886909
FM2FM,5.469403557
FM2FM,2.624481859
FM2FM,1.934047646
FM2FM,3.909687714
FM2FM,3.751636508
FM2FM,3.007132146
FM2FM,5.431970377
FM2FM,4.92038358
FM2FM,7.291151662
FM2FM,7.598935588
FM2FM,7.507432259
FM2FM,8.239458894
FM2FM,5.644091731
FM2FM,2.907310332
FM2FM,5.748072787
FM2FM,9.691034439
FM2FM,10.01545533
FM2FM,8.721930995
FM2FM,4.479503902
FM2FM,5.573384613
FM2FM,3.660133179
FM2FM,9.067148102
FM2FM,4.600121927
FM2FM,4.267382547
FM2FM,4.816402524
FM2FM,10.26916911
FM2FM,4.308974969
FM2FM,4.982772214
FM2FM,5.885327782
FM2FM,6.255500342
FM2FM,6.945934555
FM2FM,4.812243282
FM2FM,3.888891502
FM2FM,3.331553041
FM2FM,5.706480365
FM2FM,5.352944774
FM2FM,5.090912512
FM2FM,5.91860172
FM2FM,4.046942708
FM2FM,3.606063029
FM2FM,2.907310332
FM2FM,8.226981168
FM2FM,5.29055614
FM2FM,3.156864867
FM2FM,3.240049712
FM2FM,3.75579575
FM2FM,5.669047185
FM2FM,8.127159354
FM2FM,4.34640815
FM2FM,1.734404018
FM2FM,1.16458783
FM2FM,4.292338
FM2FM,4.296497243
FM2FM,4.379682088
FM2FM,5.232326749
FM2FM,2.51634156
FM2FM,2.387405051
FM2FM,5.136664177
FM2FM,4.096853615
FM2FM,4.808084039
FM2FM,1.726085533
FM2FM,1.468212514
FM2FM,4.912065096
FM2FM,4.870472673
FM2FM,3.169342593
FM2FM,4.820561766
FM2FM,4.662510561
FM2FM,5.190734326
FM2FM,3.639336967
FM2FM,4.38384133
FM2FM,5.103390239
FM2FM,3.352349252
FM2FM,2.878195636
FM2FM,4.895428127
FM2FM,4.620918138
FM2FM,5.115867966
FM2FM,3.780751204
FM2FM,5.960194142
FM2FM,5.090912512
FM2FM,4.525255566
FM2FM,2.229353845
FM2FM,0.931670264
FM2FM,5.103390239
FM2FM,3.955439378
FM2FM,4.209153156
FM2FM,3.165183351
FM2FM,11.2133171
FM2FM,3.606063029
FM2FM,3.71836257
FM2FM,7.095667276
FM2FM,7.611413315
FM2FM,4.21747164
FM2FM,2.761736853
FM2FM,4.529414809
FM2FM,4.816402524
FM2FM,5.228167506
FM2FM,4.284019516
