Method,Length
FM2FM,4.132083319
FM2FM,8.673154176
FM2FM,5.299245544
FM2FM,4.437068553
FM2FM,4.068981233
FM2FM,5.938675997
FM2FM,5.90406977
FM2FM,5.71647553
FM2FM,6.133610119
FM2FM,5.891444595
FM2FM,1.771386982
FM2FM,6.176484198
FM2FM,5.496372267
FM2FM,3.888944398
FM2FM,3.171086491
FM2FM,4.408845587
FM2FM,5.829923369
FM2FM,3.409916628
FM2FM,5.816775166
FM2FM,5.357434881
FM2FM,7.933350491
FM2FM,7.937263897
FM2FM,7.416540159
FM2FM,8.627151558
FM2FM,9.493148154
FM2FM,3.074281153
FM2FM,5.614742759
FM2FM,8.229072834
FM2FM,9.301564882
FM2FM,8.412706711
FM2FM,6.161688717
FM2FM,4.268498686
FM2FM,9.267893535
FM2FM,5.440518965
FM2FM,4.308175808
FM2FM,5.511234322
FM2FM,4.799921787
FM2FM,8.104075044
FM2FM,6.621029001
FM2FM,10.88251726
FM2FM,7.202730354
FM2FM,5.366279054
FM2FM,4.625992023
FM2FM,3.775226584
FM2FM,5.688026346
FM2FM,5.691175172
FM2FM,5.095669186
FM2FM,6.327042302
FM2FM,4.862042433
FM2FM,4.010932512
FM2FM,3.5244548
FM2FM,7.819739753
FM2FM,5.606399572
FM2FM,3.696449263
FM2FM,6.393958059
FM2FM,3.946440324
FM2FM,5.460031853
FM2FM,6.686031536
FM2FM,4.666516921
FM2FM,2.939865683
FM2FM,1.970645801
FM2FM,5.431256534
FM2FM,5.454930786
FM2FM,5.59785673
FM2FM,6.663738488
FM2FM,3.223279444
FM2FM,2.828203512
FM2FM,5.536676196
FM2FM,5.7784942
FM2FM,5.79214472
FM2FM,2.668279579
FM2FM,5.849669344
FM2FM,5.525738496
FM2FM,4.031553745
FM2FM,5.004225465
FM2FM,4.614340196
FM2FM,5.841799907
FM2FM,4.588323909
FM2FM,5.005585354
FM2FM,5.39366479
FM2FM,4.949694706
FM2FM,3.878697887
FM2FM,5.396066925
FM2FM,4.607858405
FM2FM,5.851343585
FM2FM,4.680129104
FM2FM,6.907446935
FM2FM,6.42399112
FM2FM,4.504898978
FM2FM,3.003978361
FM2FM,1.567444779
FM2FM,6.26943074
FM2FM,4.977064972
FM2FM,4.812956568
FM2FM,4.223227641
FM2FM,11.0617332
FM2FM,4.586376305
FM2FM,4.359785826
FM2FM,7.36079072
FM2FM,7.304051989
FM2FM,5.195442809
FM2FM,3.820246578
FM2FM,4.708447686
FM2FM,5.41424634
FM2FM,5.951964257
FM2FM,5.277044529
FM2FM,5.310525028
FM2FM,6.416809793
FM2FM,6.198268428
FM2FM,5.016445615
FM2FM,5.132755571
FM2FM,8.051244701
FM2FM,5.020642889
FM2FM,5.813463512
FM2FM,6.366694369
FM2FM,5.194574237
FM2FM,7.184861059
FM2FM,8.399469905
FM2FM,6.558899266
FM2FM,6.984463781
FM2FM,8.146282805
FM2FM,2.997841676
FM2FM,4.45739193
FM2FM,2.871326181
FM2FM,4.502902723
FM2FM,3.751199421
FM2FM,7.202770445
FM2FM,5.592186366
FM2FM,5.295790367
FM2FM,4.733070409
FM2FM,4.823235305
FM2FM,7.289944152
FM2FM,4.860457463
FM2FM,6.025273349
FM2FM,5.867676963
FM2FM,4.814783842
FM2FM,4.547022198
FM2FM,5.82159404
FM2FM,5.075799923
FM2FM,5.3609061
FM2FM,4.802769461
FM2FM,5.608436548
FM2FM,5.01447451
FM2FM,4.943931045
FM2FM,6.330375268
FM2FM,5.462390563
FM2FM,4.974742611
FM2FM,4.272132804
FM2FM,6.997145922
FM2FM,5.070817771
FM2FM,5.289081456
FM2FM,4.470355513
FM2FM,6.895007687
FM2FM,6.459598661
FM2FM,5.643601549
FM2FM,5.576426045
FM2FM,5.95416388
FM2FM,7.569202066
FM2FM,5.275395792
FM2FM,5.086502548
FM2FM,7.440208723
FM2FM,5.530618293
FM2FM,5.440260343
FM2FM,4.739130739
FM2FM,7.197360662
FM2FM,8.102255858
FM2FM,5.922565872
FM2FM,4.561398411
FM2FM,4.513205535
FM2FM,5.646771687
FM2FM,5.673414027
FM2FM,9.080434855
FM2FM,6.088493872
FM2FM,6.945649472
FM2FM,9.667004968
FM2FM,5.190671857
FM2FM,5.132600058
FM2FM,6.31643743
FM2FM,6.10272912
FM2FM,6.65327513
FM2FM,7.700585222
FM2FM,4.841056468
FM2FM,6.344125224
FM2FM,5.787326701
FM2FM,5.033100526
FM2FM,4.8540484
FM2FM,5.353676979
FM2FM,4.98062265
FM2FM,6.50998519
FM2FM,6.721263112
FM2FM,5.753554643
FM2FM,5.712758322
FM2FM,5.096368721
FM2FM,6.178286417
FM2FM,6.520979102
FM2FM,7.155122838
FM2FM,4.740792191
FM2FM,6.614773868
FM2FM,7.255112424
FM2FM,5.100117014
FM2FM,7.81230876
FM2FM,6.711285527
FM2FM,6.509981014
FM2FM,7.132269006
FM2FM,4.99605104
FM2FM,5.86830377
FM2FM,6.512500605
FM2FM,5.607048422
FM2FM,5.52799478
FM2FM,6.583735645
FM2FM,6.857377878
FM2FM,5.941074727
FM2FM,6.677626217
FM2FM,7.702095279
FM2FM,5.231465682
FM2FM,6.050251243
FM2FM,6.568710761
FM2FM,4.975219824
FM2FM,7.292545966
FM2FM,6.931452549
FM2FM,5.598668158
FM2FM,6.652648323
FM2FM,7.18764116
FM2FM,5.801357256
FM2FM,5.62822937
FM2FM,1.895842721
FM2FM,7.35122427
FM2FM,7.475465353
FM2FM,6.364020847
FM2FM,5.940549415
FM2FM,6.157105398
FM2FM,5.724656567
FM2FM,5.600541576
FM2FM,1.670315084
FM2FM,2.907765427
FM2FM,4.174608114
FM2FM,6.286114828
FM2FM,6.634640704
FM2FM,5.859372689
FM2FM,5.476792382
FM2FM,5.4640393
FM2FM,5.966064016
FM2FM,6.657188223
FM2FM,4.86267833
FM2FM,4.746657537
FM2FM,7.237930255
FM2FM,5.046727194
FM2FM,4.538830527
FM2FM,8.422620595
FM2FM,4.681647295
FM2FM,4.194677033
FM2FM,8.717963969
FM2FM,4.390863497
FM2FM,5.816959786
FM2FM,4.402954248
FM2FM,5.762650529
FM2FM,5.406620294
FM2FM,4.15575413
FM2FM,8.895175658
FM2FM,5.802398402
FM2FM,7.950549873
FM2FM,4.17663073
FM2FM,7.824735636
FM2FM,7.38768888
FM2FM,3.874477053
FM2FM,6.910172353
FM2FM,4.156683547
FM2FM,4.368808288
FM2FM,4.565659266
FM2FM,3.295654552
FM2FM,4.21778151
FM2FM,3.414288992
FM2FM,4.937313513
FM2FM,4.402330453
FM2FM,5.167592366
FM2FM,9.220689614
FM2FM,7.801560408
FM2FM,4.93048217
FM2FM,5.209280779
FM2FM,5.564920022
FM2FM,10.22081275
FM2FM,5.064370008
FM2FM,8.817882716
FM2FM,6.419335073
FM2FM,10.81830655
FM2FM,7.430075902
FM2FM,4.849602029
FM2FM,7.655497536
FM2FM,4.636705972
FM2FM,5.779032881
FM2FM,4.757722647
FM2FM,7.926843644
FM2FM,4.207711815
FM2FM,3.707351545
FM2FM,3.502809872
FM2FM,7.954667101
FM2FM,3.96048724
