,Fluorophore,label,Normalized_width,IPTG,Width,Length,SurfaceArea,Volume
0,FM 4-64,2,0.8317195047626313,0 µM,0.5301613741833848,4.986916557995515,6.674337807625869,0.8638355077861999
1,FM 4-64,3,0.8993642314369562,0 µM,0.5732800230121803,4.648807191806692,7.096813278045072,0.9706375422730062
2,FM 4-64,4,0.8821969997496076,0 µM,0.5623371473309291,4.80555580143867,7.795646769845686,1.0640841986241845
3,FM 4-64,5,0.8954901558876119,0 µM,0.5708105784396176,4.416704203693972,6.629927699250676,0.9107134333668532
4,FM 4-64,6,0.9766290682348661,0 µM,0.6225308002493035,3.7194059471371257,6.847303953851077,1.0072388706060722
5,FM 4-64,7,1.0266879479584814,0 µM,0.6544397362696591,3.5589217956994306,5.947484081671887,0.9005616729212544
6,FM 4-64,8,1.0047901577994647,0 µM,0.6404814697437383,4.668615050722394,7.275936667633844,1.0969099603111352
7,FM 4-64,9,0.9625776678335181,0 µM,0.6135740429491298,1.1114161474346835,1.909186115666659,0.2438891665312741
8,FM 4-64,10,0.9086597595834704,0 µM,0.5792052537512655,2.851406205944129,4.51312056332031,0.630056092439917
9,FM 4-64,11,0.980380890985314,0 µM,0.6249223174539381,4.862932326119511,9.044118427171426,1.3664027791098772
10,FM 4-64,12,0.983950234370732,0 µM,0.6271975171857103,2.8689531073776515,5.283902488221034,0.772190904198543
11,FM 4-64,13,0.9815757106992475,0 µM,0.6256839291004285,4.270234330944128,7.771867356518351,1.1550560196669366
12,FM 4-64,14,0.9797117667508044,0 µM,0.6244957988720897,3.3619126104537584,6.381500659190895,0.9398553298902811
13,FM 4-64,15,0.988190712781382,0 µM,0.6299005172338176,2.980390580944129,5.155400846939638,0.7516852890634051
14,FM 4-64,16,0.9801537113721139,0 µM,0.624777506787324,5.860835699147932,10.73603130027814,1.6263002721436384
15,FM 4-64,17,1.0024113652589677,0 µM,0.6389651605614414,3.177602685249845,5.707082984694413,0.8451924216636865
16,FM 4-64,18,0.9786730611953581,0 µM,0.6238336987752494,3.518017387977896,5.394987774502516,0.7820744958821786
17,FM 4-64,19,1.009955262931848,0 µM,0.643773852835761,2.880018217418435,5.584150461360799,0.8463481972899998
18,FM 4-64,20,0.8677254318334997,0 µM,0.5531125634549244,3.8252094061531894,5.240470650947721,0.6915407575688871
19,FM 4-64,21,0.9721700757215367,0 µM,0.6196885131743902,2.3263020686480433,4.278488863087015,0.6154493528915997
20,FM 4-64,13,0.9773758074685539,0 µM,0.6230067928117259,5.193356703280997,9.023720140303837,1.3508425093818819
21,FM 4-64,14,1.0267893211887082,0 µM,0.6545043544140393,4.591751685245846,8.628175839213206,1.3415825255269191
22,FM 4-64,15,1.081761057946293,0 µM,0.6895448835031893,5.440223994531743,9.802684769471965,1.6093326412517164
23,FM 4-64,16,1.0898856372257557,0 µM,0.6947237185440858,2.506815048362564,4.40331210768352,0.6797751866716892
24,FM 4-64,17,1.0118558667673416,0 µM,0.6449853511058312,2.7804322270513895,4.469126933473674,0.6556178866494722
25,FM 4-64,18,0.9785687073160497,0 µM,0.6237671806814225,3.400477632382799,5.02866349576946,0.7404887378614633
26,FM 4-64,19,1.0075887093218698,0 µM,0.6422653450915513,2.758302006969824,4.376936816469146,0.6364423456940936
27,FM 4-64,20,1.0141180604112967,0 µM,0.646427336876371,3.4299374206994315,5.628722927294116,0.8390448275158413
28,FM 4-64,21,0.9381685575093608,0 µM,0.5980149904104469,1.9785851521153337,3.0932164216431484,0.43488353277217506
29,FM 4-64,22,0.8790740436664713,0 µM,0.5603464874040317,1.2781791712050752,1.972432689633695,0.24445096420620935
30,FM 4-64,23,1.0140783071716548,0 µM,0.6464019970448098,3.9752983603075935,6.597884304149436,1.0019871149155422
31,FM 4-64,24,1.0116052296166604,0 µM,0.6448255879459369,4.38082402766828,7.969638940083024,1.2185069766581802
32,FM 4-64,1,0.8067801390481516,0 µM,0.5142643219647718,3.2631743969290397,4.221727960546496,0.5226783165196991
33,FM 4-64,2,0.854959028867873,0 µM,0.5449748996140756,2.9407134594290407,3.9076736672738437,0.49627382579774104
34,FM 4-64,3,1.0339264569968845,0 µM,0.6590537652504197,4.07126526927008,6.9206377544295,1.0704411090362909
35,FM 4-64,4,1.0536192463624579,0 µM,0.6716065023351849,4.884645721725124,8.147259465177683,1.2977526291004975
36,FM 4-64,5,1.0810665337225134,0 µM,0.6891021742547296,4.756332533263376,9.33504477537398,1.5337597849455835
37,FM 4-64,6,1.079676479707261,0 µM,0.688216114780718,2.321622943644045,4.679314966829531,0.721951870349748
38,FM 4-64,7,1.0916314112212497,0 µM,0.6958365239251846,2.36570110506196,4.716369940742937,0.7423286387088288
39,FM 4-64,8,1.2023511868718277,0 µM,0.7664124188898447,2.5934625109193377,6.201825225087519,1.0728480419649662
40,FM 4-64,9,1.2063248015515087,0 µM,0.7689453125000001,2.348432288729609,5.644790593559284,0.971067281125632
41,FM 4-64,10,1.1558751729398382,0 µM,0.7367873021628036,2.4066055127834955,5.154268136905084,0.8790742401833016
42,FM 4-64,11,1.186705827373277,0 µM,0.7564396272890128,2.891083327459217,6.939205179467643,1.2016852266865645
43,FM 4-64,12,1.1303851751018221,0 µM,0.7205392615621555,2.119861923362564,3.9713790707880587,0.6193927995268634
44,FM 4-64,13,1.1400901765634257,0 µM,0.7267255020938165,1.715386951904249,3.3610170744378274,0.5104994322654677
45,FM 4-64,14,1.1000538682435317,0 µM,0.7012052346063269,2.82003859718573,5.531225273805597,0.8843649220241798
46,FM 4-64,15,1.010085322076956,0 µM,0.643856756188034,3.3203026135216964,5.637669134601464,0.8475136506977832
47,FM 4-64,14,0.919346507186605,0 µM,0.5860172868494262,7.495397915684157,7.48298733975935,1.0567414265532622
48,FM 4-64,18,0.8965763139675589,0 µM,0.5715029261084502,4.154576023467093,6.226183642737636,0.8661124304422297
49,FM 4-64,22,0.953469183901014,0 µM,0.6077680394458672,3.3341483758217803,5.377344710709996,0.7923412004886339
50,FM 4-64,23,0.975495382747985,0 µM,0.6218081572763121,3.0054529450461267,5.466835516716011,0.8045464028795898
51,FM 4-64,24,0.9570681776131293,0 µM,0.6100621391287128,3.1158567473368683,5.5332013586791975,0.7932583170086159
52,FM 4-64,26,0.9955646548829594,0 µM,0.6346008750531724,5.300820641054003,9.067177504771294,1.378109648712068
53,FM 4-64,27,0.9722417237984081,0 µM,0.6197341836710832,2.6506000752090624,4.26853223520662,0.637046383100165
54,FM 4-64,28,0.8118076077876457,0 µM,0.5174689717539515,3.2064386784494765,4.323163208032718,0.5320221642193617
55,FM 4-64,29,0.9814189022503104,0 µM,0.625583974990544,3.2331522171790854,5.175763272826014,0.7572314492952026
56,FM 4-64,30,1.1049928003632816,0 µM,0.7043534486672108,2.5289703234193373,5.549723037743207,0.891949190635806
57,FM 4-64,31,0.9489095648033462,0 µM,0.6048616101596354,1.8697537427228814,3.3836801243446146,0.4793565893072018
58,FM 4-64,32,1.0577806556779417,0 µM,0.6742591015210919,4.691840345763375,9.021002012969227,1.4520182232425003
60,FM 4-64,34,0.8666808880703697,0 µM,0.5524467419205193,2.7015662884902603,3.7947757638554696,0.49241542813642436
61,FM 4-64,35,1.017808184094386,0 µM,0.6487795253624299,4.954833327459217,6.433138066936205,0.9721908764755025
62,FM 4-64,36,1.06383532516431,0 µM,0.678118517918974,2.5953359286888267,5.28508738583232,0.8429774112403882
63,FM 4-64,37,1.0502021499317007,0 µM,0.6694283490887194,4.008074261501138,4.838052889989707,0.7381699645885156
64,FM 4-64,39,0.8223458905023352,0 µM,0.5241863691620443,2.2590636315610193,3.282310143047204,0.41288911080098817
65,FM 4-64,40,0.8894005078629506,0 µM,0.5669288657389289,4.773208248158647,7.106402696619828,0.9893972881342351
