,Representation,label,Width,Length,SurfaceArea,Volume
0,Skeleton,1,0.8231258880750771,1.9755547755669904,4.278644307208338,0.7384857003590694
1,Skeleton,1,0.5314988588951773,2.713255193648043,4.2916764180842,0.5528089121363158
2,Skeleton,1,0.6801232492202105,4.050855657848376,6.98493278546869,1.1863311723018934
3,Skeleton,1,0.6465687026167177,3.410756369264933,6.835803367645591,1.0418216078910345
4,Skeleton,1,0.6562284844628394,2.3400520245921723,3.915833931634513,0.5732401072638745
5,Skeleton,1,0.6210621976792409,4.338236289443545,5.978923920869953,0.8738762833618284
6,Skeleton,1,0.7708774925386104,2.517385518601436,5.341983129814913,0.9181146405782094
7,Skeleton,1,0.6615828581387281,2.9739087895513885,4.913170517305188,0.7800560716476369
8,Skeleton,1,0.6110280862721597,2.9816895849346836,5.32470481568168,0.7846194286564815
9,Skeleton,1,0.6600823856230701,2.210219872749845,3.749298373238406,0.5530576306973405
10,Skeleton,1,0.6834807328993987,3.752398358199431,6.330962595341412,1.0345504183933187
11,Skeleton,1,0.6404296142479697,2.2098403633857253,3.9522363340247915,0.5680295817318366
12,Skeleton,1,0.6836233598845914,3.419075229718692,6.747670447813579,1.12759706784816
13,Skeleton,1,0.6964379593069229,3.6630911047145194,7.233033712880687,1.181179611551427
14,Skeleton,1,0.6934341444091585,2.784167768857105,4.82887926341137,0.7558665913489768
15,Skeleton,1,0.6424430546110739,3.7263560060080736,6.434331175854331,0.9784227832720589
16,Skeleton,1,0.6908782450722106,3.4097056733625624,6.155413523562146,0.9971908730101227
17,Skeleton,1,0.7189588070424674,2.4231247848014306,4.630870754175051,0.7461303075970374
18,Skeleton,1,0.6601498836446048,2.7003166658377715,5.2762069095122826,0.841387399891631
19,Skeleton,1,0.5924560786699004,4.225973890780996,6.644524709439898,0.9632021136765382
20,Skeleton,1,0.6454679680044335,2.0499386403721935,3.79153987704621,0.5451924632482467
21,Skeleton,1,0.622363479979738,2.321277836952203,3.4490055562292965,0.5081981293512293
22,Skeleton,1,0.6640835806355813,3.2623266200867134,5.467072258450016,0.8567092739998596
23,Skeleton,1,0.7280614370709608,2.296842280331411,4.568755743526502,0.7415407506381272
24,Skeleton,1,0.6997974310799374,3.3531084578951584,5.99667735086212,0.96738341596211
25,Skeleton,1,0.6855762257737714,2.2678507594929855,3.8756652318600313,0.5882542980295068
26,Skeleton,1,0.7310037417247623,2.8780239383177832,5.183588605649777,0.850041740234992
27,Skeleton,1,0.6934719641305369,3.0605311971329545,5.567563896934738,0.8898875170974841
28,Skeleton,1,0.7390651710380933,2.0564204317649333,4.620033013932643,0.7609227704233943
29,Skeleton,1,0.7014819988652022,4.47814944129547,5.787755934071015,0.9396587437015247
30,Skeleton,1,0.6395055740067372,2.7596010109603784,4.566537395161738,0.6832149483306632
31,Skeleton,1,0.6477592798060294,3.600859874696702,5.667210969355182,0.8891461351145761
32,Skeleton,1,0.7165664611579886,2.2185043305313266,4.831687037855705,0.7803466482665742
33,Skeleton,1,0.6967324798929677,2.3133635408377713,4.705090575692467,0.7464435928275686
34,Skeleton,1,0.7066315378633393,2.566723917214521,4.79386750169772,0.7676965227990606
35,Skeleton,1,0.6370647809808009,3.266909938734756,5.017325137512976,0.7505295134370916
36,Skeleton,1,0.6515573392403505,4.723578116188826,5.427822874244199,0.8224717961052503
37,Skeleton,1,0.6829113007713365,3.409705673362563,6.190911326219276,0.9842695264866111
38,Skeleton,1,0.6784576958878611,5.782166654918433,8.219441074595334,1.3280897035470027
39,Skeleton,1,0.7165057339386486,2.8514312609193375,6.346975080651943,1.0486907419427491
40,Skeleton,1,0.7214177461769087,2.95551411127554,5.45155494262353,0.8918324915940316
41,Skeleton,1,0.6855969120244051,2.6612856758857255,5.0296248903494325,0.7966812354304956
