,Method,label,Width,Length,SurfaceArea,Volume
0,Manual,1,0.7134212413336513,4.386255123158648,8.05125956733648,1.4376402501593828
1,Manual,2,0.7479739217225669,3.264473400919595,6.370308067657609,1.1211362359427144
2,Manual,3,0.7887980181127013,3.978077595488313,9.184254434876678,1.7745734093017984
3,Manual,4,0.7866733436972637,3.6612176869450312,8.006069091640368,1.5043086563152617
4,Manual,5,0.7636474253542116,3.9421539652344273,8.829733968912855,1.5729370631663793
5,Manual,6,0.7588890200880353,4.296004286475455,9.043744707755415,1.6171442850826743
6,Manual,7,0.7443134508620916,4.0573123942659075,7.071495666657642,1.249157130218596
7,Manual,8,0.7550663482803891,4.777858588397361,8.911163169408788,1.5754643163234945
8,Manual,9,0.6744461782680375,5.5776249823776505,11.317882629242062,1.9028087250057941
9,Manual,10,0.7680805736373749,5.929509359485814,13.681358329835248,2.5121736851491545
10,Manual,11,0.7894476402759677,5.677015919079198,12.731965079914215,2.3875359488521752
11,Manual,12,0.7903732126163259,6.1373376304359395,14.159808450830678,2.680263211037911
12,Manual,13,0.7891294727383836,5.572763578628436,12.524683953052165,2.3687329076464656
13,Manual,14,0.7933471850002275,4.952934854714519,11.205876432790323,2.1882019438729174
14,Manual,15,0.8150957593179611,5.954661665601327,13.724952997911375,2.6613014786419327
15,Manual,16,0.7827785112037065,5.678783719061991,10.854030442793814,2.0632735437730236
16,Manual,17,0.8207005124105354,6.449617613784217,13.27656109766839,2.5868827831155112
17,Manual,18,0.8622102051482508,7.186919097546903,15.290174080533392,3.1550666053472516
18,Manual,19,0.914963751997365,6.3641690887357285,14.477594118504095,3.11157641205138
19,Manual,20,0.8403475133518764,7.922198921934184,16.957240918926157,3.445472960101632
20,Manual,21,0.7775205005675632,5.567346245495515,10.841378945942202,2.1415727368532886
21,Manual,22,0.8309025904216047,5.027020580295975,11.24464968972336,2.339074117604979
22,Manual,23,0.8453863425841256,5.690603047076698,12.175842350705452,2.4587424758219005
23,Manual,24,0.7836979259162236,5.827284225928395,12.792400075043055,2.4750666102678003
24,Manual,25,0.7853958586716274,4.621378478253787,9.36292324293748,1.7236110496963009
25,Manual,26,0.9001284879210891,4.147965773618848,9.072559213821146,1.8616741566399677
26,Manual,27,0.8796610533439764,4.240150747510494,8.882592287009922,1.8656260816660681
27,Manual,28,0.8920723700280353,3.978974444465825,9.396517645884447,1.9315322591965711
28,Manual,29,0.8919300930202853,4.695777532848377,10.627526735007995,2.2217242872076146
29,Manual,30,0.8896549685416263,4.646218599213907,10.481396342368742,2.1641558085216097
30,Manual,31,0.8257941208520748,4.542512539692658,9.609517298236698,1.8794380879732864
31,Manual,32,0.8201496745390429,5.214562706698347,10.287187071605464,1.9721469984459385
32,Manual,33,0.7398472830969006,4.404776280672653,8.241958242937118,1.4201807828220252
33,Manual,34,0.8162270559445227,3.711612399367479,7.687255422630237,1.429562465541565
34,Manual,35,0.8228247402100131,4.06192076788916,8.413060702602868,1.60571313664108
35,Manual,36,0.8229670520017707,3.6659387785644926,7.7274320366259275,1.450152439665731
36,Manual,37,0.8260687537964125,4.9094858426852435,9.946980377033729,1.9250951148417872
37,Manual,38,0.7869880287373922,4.114898901952004,7.663840715225933,1.450392875285638
38,Manual,39,0.76273647378298,4.522359421104122,8.522146666445234,1.528047502747484
39,Manual,40,0.5844627947746517,4.493109278077082,6.4974138846933425,0.952527957852768
40,Manual,41,0.8306061560474465,5.021569447814763,10.30430735047167,2.0239282563266157
41,Manual,42,0.886886702579472,5.169328010454732,11.41511417777134,2.5204088793547355
42,Manual,43,0.8503401014477113,5.8117769989311014,12.390065222029147,2.546793217767037
43,Manual,44,0.9036784343650337,4.971454023740098,11.507266803071728,2.460652452510485
44,Manual,1,1.0685761672731062,5.919118729706234,18.089523667998904,4.548023084638526
45,Manual,2,1.021418887115862,7.576215821571661,13.034883072444499,3.0913468684341874
46,Manual,3,0.9955528781484599,8.545365384276902,24.95626455464292,5.980891294033004
47,Manual,4,1.0041046548070869,3.481646605170524,9.916655675986087,2.2332664545589336
48,Manual,5,1.0549312021868007,6.605728091863465,20.445971533977087,5.15461904391841
49,Manual,6,1.042852016600659,4.916373739247102,14.473945994756328,3.506363579664268
50,Manual,7,1.0510542690638998,3.503938962841002,10.31492206086703,2.4228325595417752
51,Manual,8,1.0081525942811287,3.9953809200775563,10.821575088494578,2.5458746803839745
52,Manual,9,1.011081662892969,5.159676081053805,12.520480013601228,2.9089448594477343
53,Manual,10,1.064386734795063,4.703079269634317,12.147760732698313,2.937311913406715
54,Manual,11,1.0566521566617746,4.533758810453298,11.44313684934109,2.7475327468245476
55,Manual,12,1.0098390186855133,5.8416143066950355,14.327889503020717,3.357881963333827
56,Manual,13,0.9641707181100442,4.326229783303519,11.149311738932767,2.456181119061669
57,Manual,14,0.9951561901926095,4.200105352419799,11.141360141818659,2.523547925816881
58,Manual,15,1.0072204231057433,4.490622693206106,11.791533226456192,2.7334081629983893
59,Manual,16,0.9692283784472024,4.665306409702048,10.849823173703586,2.501051432294313
60,Manual,17,1.0389608374150547,3.932176378511856,10.040342643464701,2.4750558980712327
61,Manual,18,1.11273579130544,3.9016144805363004,10.99395682664537,2.7022132540530004
62,Manual,19,1.1290515968696828,5.361161428675697,15.345214258331822,4.040680419951262
63,Manual,20,1.1330081735994402,5.036521919198299,14.58769782290289,3.771988280723897
64,Manual,21,1.0826383353252689,6.259213406561992,17.8143643925259,4.4971568254712215
65,Manual,22,1.003806136438776,4.368084676513104,13.13678791512997,3.0602537131195278
66,Manual,23,0.9829815606951101,5.242200462092171,14.562935422979606,3.354213018201091
67,Manual,24,1.007364032132951,6.631923203357785,15.592375506814623,3.7314823739222702
68,Manual,25,1.0174324067099043,5.014256904206331,14.517189979726952,3.43174109734216
69,Manual,26,1.0061085432672692,4.865040781869463,14.232571722279593,3.412004682641114
70,Manual,27,1.0196482977663723,5.369535987321947,15.372063107345964,3.650107161603488
71,Manual,28,1.077466943480621,4.181613393055656,11.388503020609276,2.7551637601083017
72,Manual,29,1.0926923375187976,4.223360243213006,11.808598085582734,2.9151503558483327
73,Manual,30,0.9337967426277105,5.953511300626309,15.497365010847346,3.4530446514033657
74,Manual,31,1.0036480860058383,6.3991760536805415,19.18653288638313,4.619652288192774
75,Manual,32,1.0084007701963835,5.26639198286506,16.45415921157077,3.9122198871588796
76,Manual,33,1.0012523651598861,4.777219436779613,13.378735335826585,3.1119947314256384
77,Manual,34,1.0013071091475187,5.676098873158648,16.205820881163618,3.8051156417589835
78,Manual,35,1.0089982164528783,4.390679163158206,12.087146341810923,2.78481794039849
79,Manual,36,1.038135267323593,5.218207202351651,13.49339325592853,3.216378823309977
80,Manual,37,1.0461519335681873,5.554282605147826,13.89652685210151,3.3492648013523607
81,Manual,38,1.0086489706787742,4.940212149130062,12.783794917183592,2.9687043116344074
82,Manual,39,0.9526396896086831,4.1969379908855275,10.096764470847853,2.365479105026162
83,Manual,40,0.9199722669336505,4.431481152674987,10.42511179449561,2.342756698037573
84,Manual,41,1.0064796169337438,5.087316258819883,13.259197238702683,3.103780298461504
85,Manual,42,0.9642467005643429,4.038781942917002,10.271100097717216,2.251895147328684
86,Manual,43,1.0122086552525307,5.1677650587891115,13.300794973278581,3.1810277291662343
87,Manual,44,0.9598613707660937,8.768551856123484,12.792926031510893,2.8589411377532437
88,Manual,45,0.9178641181962123,4.416378098003223,10.543635689784852,2.2481187851295372
89,Manual,46,0.9914274717358326,3.8887535218446643,11.72274316186243,2.687178051479731
90,Manual,47,1.0139369154197202,4.035095336262106,12.578594084821027,2.9351019598993364
91,Manual,48,0.9897514098190041,4.698798483289658,14.427102592598326,3.328771920682731
92,Manual,49,0.9857485531609111,4.7880703036888255,14.736584386325415,3.3943815519589635
93,Manual,50,0.9915187028652374,3.8630494586072603,11.228664669664534,2.7497187199707294
94,Manual,51,1.0129190360712301,3.163501568639759,9.09831039195465,2.058135789325364
95,Manual,52,1.0209474350801726,3.498485552722106,10.606597001578615,2.437078313869246
96,Manual,53,1.0076865334375522,3.513874982377652,10.711352152964942,2.4387637068940515
