Method,Width
FM2FM,0.846843678
FM2FM,0.829159299
FM2FM,0.833960709
FM2FM,0.83123566
FM2FM,0.750364848
FM2FM,0.814697558
FM2FM,0.78395793
FM2FM,0.71477627
FM2FM,0.776501906
FM2FM,0.849172817
FM2FM,0.905641519
FM2FM,0.838684893
FM2FM,0.736602256
FM2FM,0.685224105
FM2FM,0.769866857
FM2FM,0.810397624
FM2FM,0.700017015
FM2FM,0.893507071
FM2FM,0.886773737
FM2FM,0.892288041
FM2FM,0.823263828
FM2FM,0.89298629
FM2FM,0.866821562
FM2FM,0.876118511
FM2FM,0.888312147
FM2FM,0.912779754
FM2FM,0.77209669
FM2FM,0.880424148
FM2FM,0.868129981
FM2FM,0.857075919
FM2FM,0.894191857
FM2FM,0.887045076
FM2FM,0.791666341
FM2FM,0.870504584
FM2FM,0.854619112
FM2FM,0.828619934
FM2FM,0.815567912
FM2FM,0.806726086
FM2FM,0.874779618
FM2FM,0.871824173
FM2FM,0.887799061
FM2FM,0.778188731
FM2FM,0.898104224
FM2FM,0.894189143
FM2FM,0.853958281
FM2FM,0.842684921
FM2FM,0.886170716
FM2FM,0.878862846
FM2FM,0.871148171
FM2FM,0.837436467
FM2FM,0.843751215
FM2FM,0.889298678
FM2FM,0.827975147
FM2FM,0.932256939
FM2FM,0.892356369
FM2FM,0.844265007
FM2FM,0.821317955
FM2FM,0.888525814
FM2FM,0.863738114
FM2FM,0.914786168
FM2FM,0.716144737
FM2FM,0.629004937
FM2FM,0.783524426
FM2FM,0.738431422
FM2FM,0.751585259
FM2FM,0.763300916
FM2FM,0.800925889
FM2FM,0.848137302
FM2FM,0.88169427
FM2FM,0.763344452
FM2FM,0.76797034
FM2FM,0.761471677
FM2FM,0.77464756
FM2FM,0.806042031
FM2FM,0.840596376
FM2FM,0.857354553
FM2FM,0.758422996
FM2FM,0.812089968
FM2FM,0.815688751
FM2FM,0.856259051
FM2FM,0.778262776
FM2FM,0.825746467
FM2FM,0.777322818
FM2FM,0.894078947
FM2FM,0.835215762
FM2FM,0.79674955
FM2FM,0.850388202
FM2FM,0.784425901
FM2FM,0.847956736
FM2FM,0.654618431
FM2FM,0.617795658
FM2FM,0.836193756
FM2FM,0.7761537
FM2FM,0.819007624
FM2FM,0.738599329
FM2FM,0.863885326
FM2FM,0.803842927
FM2FM,0.827776484
FM2FM,0.895324299
FM2FM,0.789322295
FM2FM,0.764037116
FM2FM,0.725710881
FM2FM,0.8961156
FM2FM,0.889843287
FM2FM,0.766143951
FM2FM,0.88573049
FM2FM,0.817881985
FM2FM,0.89117239
FM2FM,0.863269769
FM2FM,0.864370908
FM2FM,0.848798934
FM2FM,0.902120577
FM2FM,0.877196581
FM2FM,0.806911057
FM2FM,0.898872508
FM2FM,0.848717799
FM2FM,0.945401238
FM2FM,0.913526989
FM2FM,0.814750632
FM2FM,0.812210184
FM2FM,0.837135176
FM2FM,0.913752604
FM2FM,0.903730622
FM2FM,0.761944383
FM2FM,0.724032025
FM2FM,0.762298092
FM2FM,0.778405334
FM2FM,0.753436459
FM2FM,0.909336042
FM2FM,0.840144699
FM2FM,0.876145181
FM2FM,0.885718319
FM2FM,0.810425328
FM2FM,0.879746957
FM2FM,0.909201939
FM2FM,0.90993245
FM2FM,0.711663388
FM2FM,0.89744079
FM2FM,0.78470866
FM2FM,0.926253079
FM2FM,0.911610147
FM2FM,0.841083623
FM2FM,0.910681285
FM2FM,0.920874569
FM2FM,0.799017876
FM2FM,0.792040921
FM2FM,0.909920123
FM2FM,0.886859461
FM2FM,0.807555714
FM2FM,0.790937581
FM2FM,0.903630691
FM2FM,0.899005428
FM2FM,0.809480947
FM2FM,0.895199701
FM2FM,0.797048487
FM2FM,0.884527805
FM2FM,0.833806682
FM2FM,0.925764555
FM2FM,0.805790523
FM2FM,0.816846233
FM2FM,0.883477896
FM2FM,0.809626564
FM2FM,0.924923554
FM2FM,0.93108385
FM2FM,0.8275865
FM2FM,0.776437006
FM2FM,0.863100714
FM2FM,0.931631141
FM2FM,0.829420156
FM2FM,0.933688953
FM2FM,0.921451563
FM2FM,0.829874395
FM2FM,0.827912282
FM2FM,0.92059666
FM2FM,0.879589125
FM2FM,0.965016895
FM2FM,0.885848979
FM2FM,0.839856237
FM2FM,0.85613257
FM2FM,0.859924827
FM2FM,0.825943129
FM2FM,0.838488452
FM2FM,0.844761585
FM2FM,0.81720962
FM2FM,0.850852489
FM2FM,0.898345851
FM2FM,0.907182802
FM2FM,0.837431106
FM2FM,0.835353224
FM2FM,0.824626615
FM2FM,0.856615822
FM2FM,0.838417526
FM2FM,0.864622153
FM2FM,0.818702777
FM2FM,0.782513713
FM2FM,0.904829449
FM2FM,0.856635986
FM2FM,0.875109575
FM2FM,0.816763593
FM2FM,0.790186922
FM2FM,0.890025223
FM2FM,0.784340426
FM2FM,0.900612548
FM2FM,0.842250512
FM2FM,0.713650824
FM2FM,0.876839547
FM2FM,0.869510447
FM2FM,0.807398328
FM2FM,0.848066469
FM2FM,0.810914504
FM2FM,0.83353475
FM2FM,0.804321579
FM2FM,0.76095156
FM2FM,0.904626602
FM2FM,0.802791546
FM2FM,0.87909915
FM2FM,0.903599391
FM2FM,0.816250468
FM2FM,0.897742723
FM2FM,0.795522946
FM2FM,0.826454725
FM2FM,0.89845989
FM2FM,0.825945276
FM2FM,0.775583451
