,Metric,Chain,Slope,Intercept,Sigma
0,Width,0,0.9892752819298409,-0.031975567040326475,0.02067512868417015
1,Width,0,0.9926552326867352,-0.03345094148230872,0.020300951825827265
2,Width,0,0.9765006869296854,-0.020775406989960866,0.02149459537676532
3,Width,0,1.0044360423355616,-0.0437648154706961,0.019803936973544965
4,Width,0,0.9906135101338165,-0.032074447808043485,0.021718331403699654
5,Width,0,0.993522941637492,-0.034259065841854654,0.02154651359995605
6,Width,0,0.9956809928360911,-0.03594502605097153,0.021319256142427336
7,Width,0,0.9974009614114949,-0.037593855064149584,0.021343644721900323
8,Width,0,0.9877000274138875,-0.03000637882982716,0.019239816499448968
9,Width,0,0.9863630079596641,-0.028182658037623536,0.020269316622744973
10,Width,0,0.993640200034312,-0.034519185047646,0.019368874944245575
11,Width,0,0.9939353297048853,-0.03433512958622802,0.019565731334024786
12,Width,0,0.9866440704706908,-0.028713575138493867,0.02057046168995122
13,Width,0,0.985750739641781,-0.02766625530817181,0.020520423629783676
14,Width,0,0.985750739641781,-0.02766625530817181,0.020520423629783676
15,Width,0,0.9871125888066462,-0.03014604990835328,0.020111376752632266
16,Width,0,0.9893368760251334,-0.031083022660265087,0.01986390022974887
17,Width,0,0.9898581236322899,-0.03092917577433465,0.019884700337439037
18,Width,0,0.9891976755790465,-0.030525054606378665,0.020647102888043476
19,Width,0,0.9945027978911457,-0.035471693536245366,0.020517810205930968
20,Width,0,0.990299611207009,-0.031145645974831267,0.02068456945954321
21,Width,0,1.0007927756236286,-0.04070883420459669,0.02027273534916377
22,Width,0,1.0028262856146568,-0.04161383112057289,0.021231165435289787
23,Width,0,0.9880088819305167,-0.03076496932122054,0.02104865906834504
24,Width,0,0.9962194669513914,-0.035676061762592255,0.02049875851700184
25,Width,0,0.9855359463933872,-0.027798395691934215,0.019624983269939583
26,Width,0,0.9861657018177803,-0.028555905719466274,0.019527222310311326
27,Width,0,0.993966285119277,-0.0347437133566047,0.019777277611421656
28,Width,0,0.9873449087095867,-0.029458192087604567,0.020785414623122642
29,Width,0,0.9914346857135963,-0.033545991925447695,0.020581867716919118
30,Width,0,0.9875257925099242,-0.030563235434894555,0.020993553997893374
31,Width,0,0.9807887493734083,-0.024633945592614538,0.020840175069437705
32,Width,0,0.9880822240793867,-0.03078532205219672,0.01968806219229681
33,Width,0,0.9902329301435626,-0.030863149918836014,0.020766379590764706
34,Width,0,0.9874830998540295,-0.03002938361040463,0.020488542006607335
35,Width,0,0.989655420013191,-0.03060457597720236,0.020045121116912656
36,Width,0,0.9893542710120878,-0.031164491704978526,0.02021312518566861
37,Width,0,0.9911317702581722,-0.03178252175710625,0.02022337669264841
38,Width,0,0.9923412357772453,-0.033635213084308245,0.020540550907531527
39,Width,0,0.9937665372033383,-0.033658064225002664,0.02056076596523591
40,Width,0,0.9930687187631541,-0.03288834090199027,0.021125379122853206
41,Width,0,0.9924622343815611,-0.03316788691078954,0.02091567742719525
42,Width,0,0.9901207599995641,-0.03128036306591938,0.02031554868272689
43,Width,0,0.9891133139231625,-0.030197665306100196,0.0204793679323148
44,Width,0,0.9893961345230552,-0.03106617641610755,0.020610655565508933
45,Width,0,0.989964140317445,-0.030511505816913063,0.020708722280950234
46,Width,0,1.0034447566040776,-0.041543704060128375,0.020028945246690077
47,Width,0,0.9922385341865858,-0.034349364612148395,0.02021323039082472
48,Width,0,0.9932065816032905,-0.034401468071637374,0.020399940312174014
49,Width,0,0.9926396556977042,-0.03362071472731206,0.020549443166819607
50,Width,0,0.9923620712089953,-0.03362885803380077,0.020471462228647035
51,Width,0,0.9871353178650817,-0.029100000982331457,0.020266244554128864
52,Width,0,0.9874491677100441,-0.028617252598090528,0.020807246215637697
53,Width,0,0.984629434194997,-0.026959509833090912,0.019694340274472994
54,Width,0,0.9838706461389867,-0.026480500933947097,0.019526662455530974
55,Width,0,0.9845712594505706,-0.027005990963372785,0.01952089406946174
56,Width,0,0.985081083129619,-0.027596352992948603,0.019498232046760072
57,Width,0,0.9816413899427302,-0.02487874381737467,0.021151862230593833
58,Width,0,0.9820386814335088,-0.025510273194620188,0.020594827469321134
59,Width,0,0.9817662943003721,-0.024398627103179277,0.019457481731536424
60,Width,0,0.9798269240402795,-0.02299854173471673,0.020543309087873877
61,Width,0,0.9804203439944021,-0.022951664162965787,0.02041221134297019
62,Width,0,0.9869042006039853,-0.029996155685480974,0.019924636566563878
63,Width,0,0.9873147705619952,-0.029614524604846332,0.01991434452771126
64,Width,0,0.9854542241765294,-0.028694074020028437,0.020130439379597624
65,Width,0,0.9959028767126298,-0.03752004624598159,0.02086341559425182
66,Width,0,0.998210430193127,-0.03728494052526824,0.019933404821692716
67,Width,0,0.9980078902082838,-0.03917423480157477,0.019874777309757747
68,Width,0,0.9956228877067684,-0.03730289167282603,0.020228270512044472
69,Width,0,0.9963300313667948,-0.038215880565683334,0.020257299371825608
70,Width,0,0.9960558190536178,-0.03482945287913069,0.02016203315814858
71,Width,0,0.9852017908091497,-0.028964518489227143,0.02135761537887402
72,Width,0,0.9893835928009431,-0.031356721254523684,0.02087926273246048
73,Width,0,0.9895262556405147,-0.031038438942012934,0.020989516002516598
74,Width,0,0.9895262556405147,-0.031038438942012934,0.020989516002516598
75,Width,0,0.9843665876311997,-0.027390349812459514,0.020337370532875078
76,Width,0,0.9900988106985951,-0.03104427732139603,0.019626025786586867
77,Width,0,0.9895701826559044,-0.029891631204509543,0.020401829708624832
78,Width,0,0.9899840595028382,-0.030640903850044317,0.020707654586580203
79,Width,0,0.9941782218898778,-0.03403298200086762,0.02006656973880957
