,Strain,Method,Width_mu,Width_sigma
108,∆ponA,FM,0.585276794298695,0.0011913958384482336
109,∆ponA,FM,0.5670709554049056,0.0013294956709959944
110,∆ponA,FM,0.5892679173646458,0.0011867939556157916
111,∆ponA,FM,0.48172748765144113,0.0017420726892089734
112,∆ponA,FM,0.5668281142515739,0.0013551041492118317
113,∆ponA,FM,0.6135403159778531,0.0011467565356876879
114,∆ponA,FM,0.508399451568079,0.0016070925702058462
115,∆ponA,FM,0.523446774806835,0.0015529250691352873
116,∆ponA,FM,0.6804841113030871,0.0008961116534050636
117,∆ponA,FM,0.562369211909632,0.0014264070789762428
118,∆ponA,FM,0.5169331533654172,0.0016817729130845119
119,∆ponA,FM,0.5071143810500343,0.0017086120530862
120,∆ponA,FM,0.559623541116523,0.0012210504422182243
121,∆ponA,FM,0.6655730092352952,0.0008312564661450716
122,∆ponA,FM,0.5083635096958317,0.0016727097269696256
123,∆ponA,FM,0.5190680296893577,0.001684894514934357
124,∆ponA,FM,0.49468843607073176,0.001884801979207604
125,∆ponA,FM,0.5733640796505124,0.0012737969518308713
126,∆ponA,FM,0.6317456185229942,0.0011282055078183704
127,∆ponA,FM,0.6107321272498905,0.0010319360768102654
128,∆ponA,FM,0.5653333468808629,0.0013513048816701902
129,∆ponA,FM,0.5212609123004814,0.0017231900626285368
130,∆ponA,FM,0.507689859697666,0.0018134895584566552
131,∆ponA,FM,0.4626272208228913,0.0018539461578538899
132,∆ponA,FM,0.5332950804101897,0.0016241263600000045
133,∆ponA,FM,0.5633803584587781,0.001374826593850229
134,∆ponA,FM,0.6264144067661302,0.0010980466045626778
135,∆ponA,FM,0.5429215809837442,0.0015269281773890903
136,∆ponA,FM,0.5750931142812119,0.0013180131149299352
137,∆ponA,FM,0.5844332210794437,0.001214739420834612
138,∆ponA,FM,0.5599540273648909,0.0014084895631772908
139,∆ponA,FM,0.59663475509649,0.001123028011161146
140,∆ponA,FM,0.5170112563120285,0.0015309784457397367
141,∆ponA,FM,0.5615295538608247,0.0013239295812858432
142,∆ponA,FM,0.5812958819538742,0.001324097664503285
143,∆ponA,FM,0.5991081826079051,0.0011222378048678988
144,∆ponA,FM,0.6302458870260143,0.0010239701429708412
145,∆ponA,FM,0.6704828943543854,0.0008306395389232635
146,∆ponA,FM,0.6342888090458141,0.0010468081985206162
147,∆ponA,FM,0.587948977751687,0.0012807951451696662
148,∆ponA,FM,0.49939687771682556,0.0017065639667567347
149,∆ponA,FM,0.541161894455442,0.0014475523494431395
150,∆ponA,FM,0.49206179304110503,0.0015794124142693795
151,∆ponA,FM,0.594121399860999,0.0011920688001511278
152,∆ponA,FM,0.5356334794772004,0.0014064971843877195
153,∆ponA,FM,0.5462012215545013,0.0015987895500260642
154,∆ponA,FM,0.5237388388969706,0.0015926074006824623
155,∆ponA,FM,0.5031142122089334,0.0016447786912731591
156,∆ponA,FM,0.5016362901756107,0.0017826924021914407
157,∆ponA,FM,0.5695494452614285,0.0013129102535966509
158,∆ponA,FM,0.4968397385911182,0.0016891577962112056
159,∆ponA,FM,0.5669480108458397,0.001324479820462298
160,∆ponA,FM,0.5925269966984984,0.0012889407486285176
161,∆ponA,FM,0.5042933896011741,0.001774329355593432
162,∆ponA,FM,0.5658366972998402,0.0014312850876887363
163,∆ponA,FM,0.5761910112878627,0.0012549493711696523
164,∆ponA,FM,0.601279700204663,0.0012076446282073114
165,∆ponA,FM,0.570034778306272,0.001243394988329321
166,∆ponA,FM,0.5191741706560835,0.001679494235324253
167,∆ponA,FM,0.604740124771332,0.0012642505038033347
168,∆ponA,FM,0.5352019939390028,0.0015923545293524749
169,∆ponA,FM,0.6316810538596324,0.0010171032843905982
170,∆ponA,FM,0.506296935469985,0.0017911801177609944
171,∆ponA,FM,0.5538858951148415,0.0014397291330844474
172,∆ponA,FM,0.47931160303985965,0.0018150598217962332
173,∆ponA,FM,0.5108332294043335,0.0017563070972091074
174,∆ponA,FM,0.49699629122931216,0.0017373987073215833
175,∆ponA,FM,0.515448412438504,0.001622739627630853
176,∆ponA,FM,0.46795093667943916,0.001896621270061338
177,∆ponA,FM,0.4935412839641113,0.0018286858013162488
178,∆ponA,FM,0.5295182726065077,0.0015036555823203517
179,∆ponA,FM,0.5495077294312687,0.0013892916846599194
180,∆ponA,FM,0.5613207820851538,0.0013797900561662144
181,∆ponA,FM,0.5453217531575585,0.0014045723919118328
182,∆ponA,FM,0.6337720013787108,0.0011137223361446461
183,∆ponA,FM,0.575128240067337,0.0013304542813030195
184,∆ponA,FM,0.4933212113860336,0.0017481515559952913
185,∆ponA,FM,0.5944167463953347,0.0012535772911701644
186,∆ponA,FM,0.5386920542775385,0.0015663520583178365
187,∆ponA,FM,0.6309302593928994,0.0010718503586862047
188,∆ponA,FM,0.4968240506077308,0.0016816730365518022
189,∆ponA,FM,0.5862749226061228,0.0013136026990760341
190,∆ponA,FM,0.5517810222257008,0.0015233677182675618
191,∆ponA,FM,0.5081153957449901,0.0015607926937511072
192,∆ponA,FM,0.5474077346668823,0.0014350791660675659
193,∆ponA,FM,0.6162737860965255,0.001191645921046427
194,∆ponA,FM,0.5692762845799383,0.0013071443476992176
195,∆ponA,FM,0.5890779679525435,0.0012957527422801545
196,∆ponA,FM,0.5531475786750731,0.0013783458082238646
197,∆ponA,FM,0.46928760695704186,0.00198935404415139
198,∆ponA,FM,0.537241360404309,0.0015363872171979308
199,∆ponA,FM,0.48400011112810903,0.0018926174550340969
200,∆ponA,FM,0.556394862806907,0.0013302444632486649
201,∆ponA,FM,0.47964849599453613,0.0016952136136320056
202,∆ponA,FM,0.597960812594663,0.001207859230344857
203,∆ponA,FM,0.4725794686092957,0.002068783024296855
204,∆ponA,FM,0.595984071603664,0.001160078985295454
205,∆ponA,FM,0.46280965170884236,0.0018814275003609946
206,∆ponA,FM,0.445318761478846,0.0019005339947189281
207,∆ponA,FM,0.6029519030279554,0.0011430903503387357
208,∆ponA,FM,0.6352147361136726,0.0009618182346330389
209,∆ponA,FM,0.5247213038158436,0.00160043670604212
210,∆ponA,FM,0.5845155353098016,0.0012592845719040949
211,∆ponA,FM,0.5632900000865609,0.0013391559759648388
212,∆ponA,FM,0.4821199849453587,0.0018317611305750448
213,∆ponA,FM,0.549851015676881,0.0014857256855976336
214,∆ponA,FM,0.5841302201836686,0.0012974150434620771
215,∆ponA,FM,0.4165423243878674,0.002160843729267675
216,∆ponA,FM,0.6164371185176931,0.0010886218484089287
217,∆ponA,FM,0.5574999882564843,0.0013129893184085158
218,∆ponA,FM,0.44912246819682017,0.00201734879496153
219,∆ponA,FM,0.5743135371707313,0.0013488752306095812
220,∆ponA,FM,0.5001066987818874,0.0017157825499754973
221,∆ponA,FM,0.599411248093017,0.0012833705815687713
222,∆ponA,FM,0.461955724678735,0.0018596368664975302
223,∆ponA,FM,0.5604574865766206,0.0013486221568910842
224,∆ponA,FM,0.5335839920469181,0.001573075184443425
225,∆ponA,FM,0.5697114922786375,0.0013031563078837734
226,∆ponA,FM,0.4721784537836539,0.001794631735827153
227,∆ponA,FM,0.4593685366480237,0.0019175455522967243
228,∆ponA,FM,0.5551596606960523,0.001420712963530909
229,∆ponA,FM,0.5203376565193798,0.0015556537031591264
230,∆ponA,FM,0.489839581111455,0.0018786678387447647
231,∆ponA,FM,0.5312756802744022,0.0015666411724656716
232,∆ponA,FM,0.46577155056372743,0.001784346368539683
233,∆ponA,FM,0.5501181424685594,0.0014618307984673002
234,∆ponA,FM,0.44307821924104324,0.002117140878831868
235,∆ponA,FM,0.5599254885618209,0.0014224000814827779
236,∆ponA,FM,0.49651240701405036,0.0017884648396339433
237,∆ponA,FM,0.4206801758095338,0.0018629107492369556
238,∆ponA,FM,0.47010953906171044,0.0017983294837595138
239,∆ponA,FM,0.5739328505946202,0.0012988872368970268
240,∆ponA,FM,0.5799232815606533,0.0012593915867211544
241,∆ponA,FM,0.4966139064742149,0.0018134315410786735
242,∆ponA,FM,0.5639168874069835,0.0015057318211002576
243,∆ponA,FM,0.49912114023658943,0.001810543674484581
244,∆ponA,FM,0.46366973423203195,0.0018866104858656241
245,∆ponA,FM,0.46833388922092195,0.001962655512720958
246,∆ponA,FM,0.5879312227752782,0.0013385729120869649
247,∆ponA,FM,0.5540067475304903,0.0013436932238277514
248,∆ponA,FM,0.5856063243491872,0.001222931798923217
249,∆ponA,FM,0.5262543065320961,0.0015478113735680789
250,∆ponA,FM,0.5494215787171848,0.001471077135541623
251,∆ponA,FM,0.5682117825167272,0.0012818394447132483
252,∆ponA,FM,0.46146982335341885,0.001972364023300043
253,∆ponA,FM,0.5296742553088797,0.0014837574742668342
254,∆ponA,FM,0.5275871838841191,0.0017213635006693838
255,∆ponA,FM,0.5367010735926502,0.0015426802702914264
256,∆ponA,FM,0.5700894657313845,0.0014023527793213123
257,∆ponA,FM,0.4816071739759285,0.0016373273834858083
258,∆ponA,FM,0.5287172247345248,0.0014041651240769277
259,∆ponA,FM,0.5151256908864416,0.0015694054715046659
260,∆ponA,FM,0.5814699988151074,0.0013643028239046732
261,∆ponA,FM,0.5826177561232938,0.0011925828995786741
262,∆ponA,FM,0.542364559798127,0.0014456529113443164
263,∆ponA,FM,0.5941327040325025,0.0012125930411004098
264,∆ponA,FM,0.5299425436647291,0.0015650990225253992
265,∆ponA,FM,0.5965538871875926,0.0011767891718996383
266,∆ponA,FM,0.44499330341645904,0.0020023714257626194
267,∆ponA,FM,0.51056468130548,0.001691822020383189
268,∆ponA,FM,0.6045912362927156,0.0012158082937592976
269,∆ponA,FM,0.5753727525793916,0.001313278043231049
270,∆ponA,FM,0.5236803923552682,0.001514692295710167
271,∆ponA,FM,0.5177830785866928,0.0015182227778655299
272,∆ponA,FM,0.5802882154084243,0.001249184830202122
273,∆ponA,FM,0.5518935615800388,0.001358684261270911
274,∆ponA,FM,0.6703123419224678,0.0009026737682566351
275,∆ponA,FM,0.595672062480024,0.001230834196671843
276,∆ponA,FM,0.5534270729788022,0.001441010986611494
277,∆ponA,FM,0.4512807254952049,0.0018620090099698244
278,∆ponA,FM,0.5100967663020238,0.001604599610608071
279,∆ponA,FM,0.5281879200146172,0.0017338803099074928
280,∆ponA,FM,0.5537017383649635,0.0015698346284392303
281,∆ponA,FM,0.6187992391816226,0.0011044812204658073
282,∆ponA,FM,0.573840127127519,0.001380192939637255
283,∆ponA,FM,0.5041385128786304,0.0017184825898079819
284,∆ponA,FM,0.5731604237852789,0.00122541464807293
285,∆ponA,FM,0.5805942810278979,0.0012275129303416315
286,∆ponA,FM,0.531294172603434,0.001505264706102469
287,∆ponA,FM,0.5897262248891223,0.0012580851221899397
288,∆ponA,FM,0.4996151408953641,0.0018761068238210873
289,∆ponA,FM,0.5292167111969954,0.001534306114998998
290,∆ponA,FM,0.5485169616641974,0.0013928057432598263
291,∆ponA,FM,0.5458879573309228,0.001455790811345523
292,∆ponA,FM,0.5108603274834094,0.001644377921370349
293,∆ponA,FM,0.6075807726773825,0.001095710653168271
294,∆ponA,FM,0.4346343605506559,0.002050731979064294
295,∆ponA,FM,0.653293408687559,0.0008897935437394093
296,∆ponA,FM,0.5103233195349708,0.0015794981628239038
297,∆ponA,FM,0.5821215158826971,0.0012634562911264756
298,∆ponA,FM,0.5899472816706127,0.0012777050201831963
299,∆ponA,FM,0.5644509665873413,0.0013492908784408088
300,∆ponA,FM,0.5566105876016704,0.0015137308734338639
301,∆ponA,FM,0.5267657670405742,0.0015881655684925203
302,∆ponA,FM,0.5934079217942895,0.0011741376733740115
303,∆ponA,FM,0.44997089179050076,0.002022826344280373
304,∆ponA,FM,0.5509594207781829,0.0014734318509011348
305,∆ponA,FM,0.6392854362466864,0.0009741314264554531
306,∆ponA,FM,0.5327836850360363,0.0015733166217551798
307,∆ponA,FM,0.48161886265694676,0.0019215134964976847
308,∆ponA,FM,0.5802866648139718,0.0011459931862813609
309,∆ponA,FM,0.5133510256031822,0.0016330711169173463
310,∆ponA,FM,0.5789022331328292,0.0013011101122327232
311,∆ponA,FM,0.5227572975228257,0.0014565435187642894
312,∆ponA,FM,0.6099438155017688,0.0011876467016944182
313,∆ponA,FM,0.5805158194096464,0.0012649435851367068
314,∆ponA,FM,0.5383733970715343,0.0013836281115334895
315,∆ponA,FM,0.5231614722830639,0.0015183842896185752
316,∆ponA,FM,0.5167212426254071,0.0015384871008060782
317,∆ponA,FM,0.6418477146315685,0.001038055431666461
318,∆ponA,FM,0.5771804069474724,0.0012804436499016716
