,Day,Strain,Stage,Length_mu,Length_sigma,Width_mu,Width_sigma,SurfaceArea_mu,SurfaceArea_sigma,Volume_mu,Volume_sigma
0,Day1,1060,Exponential,4.30693659501997,0.021012568133073093,1.0496528771295142,0.0017258164808573746,12.339408356130953,0.019922597862829405,2.989026845623424,0.007210605980556005
1,Day1,1060,Exponential,4.064991211088085,0.01790723654969656,1.2191199576042142,0.0025506538425233483,13.735258611892924,0.024879725994109068,3.7161926039524853,0.00917326799972934
2,Day1,1060,Exponential,4.35862109223646,0.02252538366826781,0.9090962343331291,0.0009987063595604203,12.282470393747667,0.022295498239917957,2.616554595390049,0.0053859458209139476
3,Day1,1060,Exponential,6.144086616674155,0.048045962884456964,1.1049417257846796,0.0020197862996681297,18.965629435954217,0.042330792634667415,5.080224265262874,0.014751183678756427
4,Day1,1060,Exponential,3.6263805247239134,0.015643594686314766,1.0512810381644784,0.0018190956410025414,10.317471049071436,0.015365814698356418,2.406563515434102,0.0050200903376206195
5,Day1,1060,Exponential,5.046805400059711,0.03459280215996121,1.1753800097442058,0.0025002255569402166,15.819092680622907,0.034560683027341395,4.3708477682349915,0.010886152924195406
6,Day1,1060,Exponential,4.604666715570505,0.025554428807323917,1.0613551581238152,0.0017704169466240922,13.713096145906439,0.023824815847918072,3.382397464372473,0.008632402747651861
7,Day1,1060,Exponential,3.6559773863925566,0.014312393428228968,0.9592645120075957,0.0012801950014438535,10.788515652009828,0.016938795445537617,2.36958296006109,0.005037462929359256
8,Day1,1060,Exponential,5.466510321326415,0.039858532816901035,1.3629660583231056,0.003663343376686064,23.4516929917929,0.057754188456696144,7.5120840246506875,0.02240254540448119
9,Day1,1060,Exponential,3.4149146151375853,0.014079506743629771,0.7241492242183358,0.0006797075967845853,6.671024321201915,0.009235399517380023,1.1951953064253025,0.002218662495132689
10,Day1,1060,Exponential,4.519507400044094,0.02582211481673692,1.2334073308769014,0.0027890749240052125,17.333416125037147,0.03638730174327044,4.8736332554843536,0.013017519164701518
11,Day1,1060,Exponential,3.47598461103139,0.015084447869691885,0.9791721137829462,0.0014507369538263462,8.605853484896294,0.010625405765273434,1.8738447101486353,0.003497137625657326
12,Day1,1060,Exponential,6.789338868022189,0.054757292226077205,1.2698189803445623,0.0031548390171978586,25.252430841156073,0.06872854846882269,7.496146766929449,0.021302585926937224
13,Day1,1060,Exponential,5.066749446648138,0.0328593008044798,1.0321473030992472,0.0017957848730209445,10.759970420839185,0.017070416176654078,2.520664421128964,0.005404021195348951
14,Day1,1060,Exponential,3.8175679054194496,0.015800165965120294,0.9684935583223409,0.0013763328873815394,10.730853113346797,0.016444402768776765,2.5527936266947373,0.00504274279090333
15,Day1,1060,Exponential,4.116761696338082,0.021464246234391617,0.9661615682996755,0.0012872785198539045,11.155628038727173,0.017590110395510505,2.489272334454495,0.005214740680348257
16,Day1,1060,Exponential,3.8314258311580454,0.01798974915912803,1.064008434734166,0.001810668568571413,9.850715635071314,0.013972560455559979,2.523345174818158,0.00486337100616336
17,Day1,1060,Exponential,4.774836142584209,0.027897315623796028,1.2555150822082664,0.0030642213706718996,17.857688650887823,0.04297445375470372,5.115763017708534,0.01394641012653271
18,Day1,1060,Exponential,6.611991854941182,0.054332438162848856,1.0740549831804045,0.0019744365199742685,21.143348398675357,0.05547936682446037,5.538217974073297,0.01593266555251071
19,Day1,1060,Exponential,4.753487681185703,0.028160993901483942,0.9368824494622005,0.0012441415228753314,11.701107907634235,0.018886247637744408,2.655417365083601,0.005334002299996776
20,Day1,1060,Exponential,3.885757166715855,0.017369793134789056,1.1092172168783136,0.00204341929360446,11.336986669224121,0.01601765826451322,2.8012588259990245,0.005984267653988123
21,Day1,1060,Exponential,3.8105682999092907,0.01956872845116312,1.1102218995835047,0.0022855999602096246,12.089804104606358,0.020655123754486457,3.0221644398133516,0.006769396666541674
22,Day1,1060,Exponential,2.6113753128960724,0.013915346753800732,0.7278896158784994,0.0007068729270168833,4.45415804767433,0.010783827759535946,0.7337033937162671,0.0027570621818417203
23,Day1,1060,Exponential,2.9874592975486904,0.013176081480376505,1.0959626311958348,0.0020594437899935257,8.489398904864597,0.011391496649344475,2.0462424199826676,0.003978809295218915
24,Day1,1060,Exponential,5.692523462831966,0.0434424069840731,0.9578985157957647,0.0014053046422518396,16.009557904013423,0.032403203651366404,3.968469554608848,0.009876653484416069
25,Day1,1060,Exponential,5.655129374060486,0.039841426311933686,1.0688125430019293,0.001746963939135543,18.112890959679167,0.04168072696930554,4.640149746964478,0.012721876134377332
26,Day1,1060,Exponential,4.628753700348607,0.02295434045226324,1.0609953226835378,0.0019692091051629734,13.657581971080365,0.026316022016558974,3.3464711099911155,0.00851096521727951
27,Day1,1060,Exponential,6.221552823107592,0.04574782747908049,1.364185751804342,0.0036816918675469604,26.069608163051477,0.06817123898155965,8.245096174744932,0.02365837297569389
28,Day1,1060,Exponential,3.7919212157176205,0.018719144326116377,1.1368554980180339,0.002316349415780701,11.164199783160699,0.016944283979362804,2.9525567169525555,0.006333995341546927
29,Day1,1060,Exponential,4.943129127119341,0.03276930132556823,1.2332162623605445,0.002835875455398912,16.904087025476848,0.036124400543349755,4.771662399470277,0.013505869061714193
30,Day1,1060,Exponential,5.694607595568102,0.03832015557056465,1.1506400468261946,0.00224828919866408,17.362011602896605,0.039769165044136995,4.61076529033152,0.011808306078903038
31,Day1,1060,Exponential,4.743152757279186,0.027045534605642033,1.0706979889354657,0.0019554721395176897,13.742617970146057,0.02919029184748496,3.4353255077161293,0.007853233851270227
32,Day1,1060,Exponential,4.77304530038931,0.026763886090243362,1.1938830800885971,0.0024380187226142355,15.334582387358344,0.033523813922647146,4.122291405098041,0.010594530675365544
33,Day1,1060,Exponential,3.552627127037432,0.014339167710887592,0.9611053083895565,0.0012799928690362971,9.077016694260116,0.013152811762514368,1.971219945514776,0.003570450961065551
34,Day1,1060,Exponential,3.3045892147187588,0.013455314703834835,1.1195760090553195,0.002180666475575687,10.748041016199357,0.016758880514830148,2.649022870766889,0.005641697337751305
35,Day1,1060,Exponential,5.238473612635906,0.03430704076121089,1.0547980443940765,0.0017708903090574012,16.104271535286195,0.03152117609336318,3.949203804620588,0.010098290833077976
36,Day1,1060,Exponential,3.562380970509009,0.015243224155998433,0.9891331333729336,0.001425423754142131,9.041759082867491,0.012972050188051745,2.022404410254534,0.003868868100904201
37,Day1,1060,Exponential,3.88140044904135,0.016617715686808483,0.9785492168403664,0.0014692004076463803,9.975038376528758,0.014165086382541343,2.2015972420100516,0.004168752885292352
38,Day1,1060,Exponential,2.8689367011455262,0.011980234100084218,0.9005805937092611,0.001109795708881614,6.378125087579992,0.008909251777866585,1.2832835257048993,0.0023563818948501344
39,Day1,1060,Exponential,2.2681000835609284,0.01691816503523145,0.7252505361474141,0.0006892870280832366,4.897389286791682,0.010332488795659357,0.8034965058777496,0.002719815530024451
40,Day1,1060,Exponential,3.793524628151814,0.01621448870396699,1.0751971473996604,0.0019323697581293347,11.746699676628795,0.01969056979433591,2.919488776586306,0.006260471430175491
41,Day1,1060,Exponential,3.220357564645495,0.013170502920131572,0.8795144888448599,0.001002417838207951,7.771962638747574,0.010094586665808968,1.5462389137978618,0.002646970470086545
42,Day1,1060,Exponential,2.6326520604937302,0.013143482344251204,0.7965974405242132,0.0007082282601831179,5.333274008364244,0.009648253999449559,0.9686509949537617,0.0023274181430240656
43,Day1,1060,Exponential,1.8581653849730941,0.021080335091350762,0.8558790026073204,0.0008910366614103338,4.06731405644139,0.012011092142093562,0.7077134192398267,0.002879586454694984
44,Day1,1060,Exponential,2.3622711222434973,0.015308182806785045,0.949525785175663,0.0012699519432416192,5.670034445085121,0.009423758417458657,1.1420947516509723,0.0022801789557684365
45,Day1,1060,Exponential,4.02991199185015,0.020254110714700263,1.0916563126623722,0.0021417531533549214,12.083936650019902,0.02052008479597353,2.989000985356776,0.007047766842822022
46,Day1,1060,Exponential,2.2248029994463825,0.018405477544434737,0.6860342666834793,0.0008509528204916013,3.754908589999382,0.012091709556464575,0.6179239482837197,0.003043105776899238
47,Day1,1060,Exponential,2.4811918835772726,0.015542379688393082,0.7921833248403123,0.0007258914166099124,5.114130982451721,0.009897622106985408,0.8885287851023852,0.002794562002068844
48,Day1,1060,Exponential,2.435191464937861,0.01705087575420309,0.5311890044845134,0.001475599612924572,3.4778177736253513,0.013671370917844018,0.4302801126246559,0.0033512850503157506
49,Day1,1060,Exponential,3.25546790192659,0.014069551897796866,0.9819669726001863,0.0014353363451034338,8.198136455480341,0.010915299343334848,1.77251455949631,0.0031766386163545515
50,Day1,1060,Exponential,3.7209006123832062,0.01657825428483053,0.8991248602622868,0.001078727864690881,9.253951338091223,0.01237283592167207,1.9277578891896652,0.0035585633052022487
51,Day1,1060,Exponential,2.7808703496526386,0.014080469217453056,0.9270686088555865,0.0011559277711298977,7.02456718493005,0.008935636731356405,1.4715033067328307,0.002754056377555203
52,Day1,1060,Exponential,2.021287725523062,0.019062678013967493,0.6647832065010371,0.0009425975568223941,3.173183875598064,0.014683999413982568,0.5670466452758296,0.0033872750244046566
53,Day1,1060,Exponential,3.412588305997681,0.014694130679958527,0.8428516320286614,0.000804043320822604,7.388540894817421,0.010188316899969017,1.5150855037601387,0.002669033000820599
54,Day1,1060,Exponential,2.8574454762700108,0.014087920377484017,1.126319435551134,0.002097196229052965,8.970713625340059,0.012410236263278375,2.230254791777834,0.004312125321268529
55,Day1,1060,Exponential,2.4335973974460345,0.016041561283645946,0.7652385688750296,0.0007303107612281075,4.373383521423256,0.011443221709122792,0.7582133925581181,0.0028482546971778443
