,Image type,Model,Threshold,F1,Image
2,Deconvolved,Morphometrics,0.6,0.0,1
3,Deconvolved,Morphometrics,0.65,0.0,1
4,Deconvolved,Morphometrics,0.7,0.0,1
5,Deconvolved,Morphometrics,0.75,0.0,1
6,Deconvolved,Morphometrics,0.8,0.0,1
7,Deconvolved,Morphometrics,0.85,0.0,1
8,Deconvolved,Morphometrics,0.9,0.0,1
9,Deconvolved,Morphometrics,0.95,0.0,1
10,Deconvolved,Morphometrics,1.0,0.0,1
0,Deconvolved,Omnipose,0.5,0.9230769,2
1,Deconvolved,Omnipose,0.55,0.84615386,2
2,Deconvolved,Omnipose,0.6,0.84615386,2
3,Deconvolved,Omnipose,0.65,0.84615386,2
4,Deconvolved,Omnipose,0.7,0.84615386,2
5,Deconvolved,Omnipose,0.75,0.84615386,2
6,Deconvolved,Omnipose,0.8,0.7692308,2
7,Deconvolved,Omnipose,0.85,0.7692308,2
8,Deconvolved,Omnipose,0.9,0.7692308,2
9,Deconvolved,Omnipose,0.95,0.7692308,2
10,Deconvolved,Omnipose,1.0,0.0,2
0,Deconvolved,Cellpose-SAM,0.5,0.8148148,2
1,Deconvolved,Cellpose-SAM,0.55,0.7407407,2
2,Deconvolved,Cellpose-SAM,0.6,0.7407407,2
3,Deconvolved,Cellpose-SAM,0.65,0.7407407,2
4,Deconvolved,Cellpose-SAM,0.7,0.7407407,2
5,Deconvolved,Cellpose-SAM,0.75,0.7407407,2
6,Deconvolved,Cellpose-SAM,0.8,0.7407407,2
7,Deconvolved,Cellpose-SAM,0.85,0.7407407,2
8,Deconvolved,Cellpose-SAM,0.9,0.7407407,2
9,Deconvolved,Cellpose-SAM,0.95,0.6666667,2
10,Deconvolved,Cellpose-SAM,1.0,0.0,2
0,Deconvolved,microSAM,0.5,0.84615386,2
1,Deconvolved,microSAM,0.55,0.84615386,2
2,Deconvolved,microSAM,0.6,0.84615386,2
3,Deconvolved,microSAM,0.65,0.84615386,2
4,Deconvolved,microSAM,0.7,0.84615386,2
5,Deconvolved,microSAM,0.75,0.84615386,2
6,Deconvolved,microSAM,0.8,0.7692308,2
7,Deconvolved,microSAM,0.85,0.7692308,2
8,Deconvolved,microSAM,0.9,0.07692308,2
9,Deconvolved,microSAM,0.95,0.0,2
10,Deconvolved,microSAM,1.0,0.0,2
0,Deconvolved,Cellpose3,0.5,0.3529412,2
1,Deconvolved,Cellpose3,0.55,0.29411766,2
2,Deconvolved,Cellpose3,0.6,0.29411766,2
3,Deconvolved,Cellpose3,0.65,0.23529412,2
4,Deconvolved,Cellpose3,0.7,0.1764706,2
5,Deconvolved,Cellpose3,0.75,0.1764706,2
6,Deconvolved,Cellpose3,0.8,0.1764706,2
7,Deconvolved,Cellpose3,0.85,0.1764706,2
8,Deconvolved,Cellpose3,0.9,0.11764706,2
9,Deconvolved,Cellpose3,0.95,0.0,2
10,Deconvolved,Cellpose3,1.0,0.0,2
0,Deconvolved,Morphometrics,0.5,0.7096774,2
1,Deconvolved,Morphometrics,0.55,0.58064514,2
2,Deconvolved,Morphometrics,0.6,0.58064514,2
3,Deconvolved,Morphometrics,0.65,0.58064514,2
4,Deconvolved,Morphometrics,0.7,0.58064514,2
5,Deconvolved,Morphometrics,0.75,0.58064514,2
6,Deconvolved,Morphometrics,0.8,0.516129,2
7,Deconvolved,Morphometrics,0.85,0.516129,2
8,Deconvolved,Morphometrics,0.9,0.516129,2
9,Deconvolved,Morphometrics,0.95,0.516129,2
10,Deconvolved,Morphometrics,1.0,0.0,2
0,Deconvolved,Omnipose,0.5,1.0,3
1,Deconvolved,Omnipose,0.55,1.0,3
2,Deconvolved,Omnipose,0.6,1.0,3
3,Deconvolved,Omnipose,0.65,1.0,3
4,Deconvolved,Omnipose,0.7,1.0,3
5,Deconvolved,Omnipose,0.75,1.0,3
6,Deconvolved,Omnipose,0.8,1.0,3
7,Deconvolved,Omnipose,0.85,1.0,3
8,Deconvolved,Omnipose,0.9,1.0,3
9,Deconvolved,Omnipose,0.95,0.8484849,3
10,Deconvolved,Omnipose,1.0,0.0,3
0,Deconvolved,Cellpose-SAM,0.5,0.5344828,3
1,Deconvolved,Cellpose-SAM,0.55,0.51724136,3
2,Deconvolved,Cellpose-SAM,0.6,0.51724136,3
3,Deconvolved,Cellpose-SAM,0.65,0.51724136,3
4,Deconvolved,Cellpose-SAM,0.7,0.51724136,3
5,Deconvolved,Cellpose-SAM,0.75,0.51724136,3
6,Deconvolved,Cellpose-SAM,0.8,0.51724136,3
7,Deconvolved,Cellpose-SAM,0.85,0.51724136,3
8,Deconvolved,Cellpose-SAM,0.9,0.5,3
9,Deconvolved,Cellpose-SAM,0.95,0.15517241,3
10,Deconvolved,Cellpose-SAM,1.0,0.0,3
0,Deconvolved,microSAM,0.5,0.7894737,3
1,Deconvolved,microSAM,0.55,0.7894737,3
2,Deconvolved,microSAM,0.6,0.7894737,3
3,Deconvolved,microSAM,0.65,0.7894737,3
4,Deconvolved,microSAM,0.7,0.7894737,3
5,Deconvolved,microSAM,0.75,0.7894737,3
6,Deconvolved,microSAM,0.8,0.7894737,3
7,Deconvolved,microSAM,0.85,0.7894737,3
8,Deconvolved,microSAM,0.9,0.7105263,3
9,Deconvolved,microSAM,0.95,0.13157895,3
10,Deconvolved,microSAM,1.0,0.0,3
0,Deconvolved,Cellpose3,0.5,0.42201835,3
1,Deconvolved,Cellpose3,0.55,0.36697248,3
2,Deconvolved,Cellpose3,0.6,0.34862384,3
3,Deconvolved,Cellpose3,0.65,0.33027524,3
4,Deconvolved,Cellpose3,0.7,0.33027524,3
5,Deconvolved,Cellpose3,0.75,0.33027524,3
6,Deconvolved,Cellpose3,0.8,0.3119266,3
7,Deconvolved,Cellpose3,0.85,0.3119266,3
8,Deconvolved,Cellpose3,0.9,0.27522936,3
9,Deconvolved,Cellpose3,0.95,0.036697246,3
10,Deconvolved,Cellpose3,1.0,0.0,3
0,Deconvolved,Morphometrics,0.5,0.0,3
1,Deconvolved,Morphometrics,0.55,0.0,3
2,Deconvolved,Morphometrics,0.6,0.0,3
3,Deconvolved,Morphometrics,0.65,0.0,3
4,Deconvolved,Morphometrics,0.7,0.0,3
5,Deconvolved,Morphometrics,0.75,0.0,3
6,Deconvolved,Morphometrics,0.8,0.0,3
7,Deconvolved,Morphometrics,0.85,0.0,3
8,Deconvolved,Morphometrics,0.9,0.0,3
9,Deconvolved,Morphometrics,0.95,0.0,3
10,Deconvolved,Morphometrics,1.0,0.0,3
0,Deconvolved,Omnipose,0.5,0.94545454,4
1,Deconvolved,Omnipose,0.55,0.94545454,4
2,Deconvolved,Omnipose,0.6,0.94545454,4
3,Deconvolved,Omnipose,0.65,0.94545454,4
4,Deconvolved,Omnipose,0.7,0.94545454,4
5,Deconvolved,Omnipose,0.75,0.94545454,4
6,Deconvolved,Omnipose,0.8,0.94545454,4
7,Deconvolved,Omnipose,0.85,0.94545454,4
8,Deconvolved,Omnipose,0.9,0.94545454,4
9,Deconvolved,Omnipose,0.95,0.94545454,4
10,Deconvolved,Omnipose,1.0,0.0,4
0,Deconvolved,Cellpose-SAM,0.5,0.8333333,4
1,Deconvolved,Cellpose-SAM,0.55,0.8,4
2,Deconvolved,Cellpose-SAM,0.6,0.8,4
3,Deconvolved,Cellpose-SAM,0.65,0.76666665,4
4,Deconvolved,Cellpose-SAM,0.7,0.73333335,4
5,Deconvolved,Cellpose-SAM,0.75,0.73333335,4
6,Deconvolved,Cellpose-SAM,0.8,0.73333335,4
7,Deconvolved,Cellpose-SAM,0.85,0.73333335,4
8,Deconvolved,Cellpose-SAM,0.9,0.7,4
9,Deconvolved,Cellpose-SAM,0.95,0.33333334,4
10,Deconvolved,Cellpose-SAM,1.0,0.0,4
0,Deconvolved,microSAM,0.5,0.83870965,4
1,Deconvolved,microSAM,0.55,0.7096774,4
2,Deconvolved,microSAM,0.6,0.67741936,4
3,Deconvolved,microSAM,0.65,0.67741936,4
4,Deconvolved,microSAM,0.7,0.67741936,4
5,Deconvolved,microSAM,0.75,0.67741936,4
6,Deconvolved,microSAM,0.8,0.67741936,4
7,Deconvolved,microSAM,0.85,0.67741936,4
8,Deconvolved,microSAM,0.9,0.61290324,4
9,Deconvolved,microSAM,0.95,0.06451613,4
10,Deconvolved,microSAM,1.0,0.0,4
0,Deconvolved,Cellpose3,0.5,0.57894737,4
1,Deconvolved,Cellpose3,0.55,0.5263158,4
2,Deconvolved,Cellpose3,0.6,0.42105263,4
3,Deconvolved,Cellpose3,0.65,0.42105263,4
4,Deconvolved,Cellpose3,0.7,0.42105263,4
5,Deconvolved,Cellpose3,0.75,0.42105263,4
6,Deconvolved,Cellpose3,0.8,0.42105263,4
7,Deconvolved,Cellpose3,0.85,0.42105263,4
8,Deconvolved,Cellpose3,0.9,0.42105263,4
