,Image type,Model,Threshold,F1,Image
6,Deconvolved,Omnipose,0.8,1.0,9
7,Deconvolved,Omnipose,0.85,1.0,9
8,Deconvolved,Omnipose,0.9,1.0,9
9,Deconvolved,Omnipose,0.95,0.0,9
10,Deconvolved,Omnipose,1.0,0.0,9
0,Deconvolved,Cellpose-SAM,0.5,1.0,9
1,Deconvolved,Cellpose-SAM,0.55,1.0,9
2,Deconvolved,Cellpose-SAM,0.6,1.0,9
3,Deconvolved,Cellpose-SAM,0.65,1.0,9
4,Deconvolved,Cellpose-SAM,0.7,1.0,9
5,Deconvolved,Cellpose-SAM,0.75,1.0,9
6,Deconvolved,Cellpose-SAM,0.8,1.0,9
7,Deconvolved,Cellpose-SAM,0.85,1.0,9
8,Deconvolved,Cellpose-SAM,0.9,1.0,9
9,Deconvolved,Cellpose-SAM,0.95,1.0,9
10,Deconvolved,Cellpose-SAM,1.0,0.0,9
0,Deconvolved,microSAM,0.5,0.90909094,9
1,Deconvolved,microSAM,0.55,0.90909094,9
2,Deconvolved,microSAM,0.6,0.90909094,9
3,Deconvolved,microSAM,0.65,0.72727275,9
4,Deconvolved,microSAM,0.7,0.72727275,9
5,Deconvolved,microSAM,0.75,0.72727275,9
6,Deconvolved,microSAM,0.8,0.72727275,9
7,Deconvolved,microSAM,0.85,0.72727275,9
8,Deconvolved,microSAM,0.9,0.72727275,9
9,Deconvolved,microSAM,0.95,0.0,9
10,Deconvolved,microSAM,1.0,0.0,9
0,Deconvolved,Cellpose3,0.5,1.0,9
1,Deconvolved,Cellpose3,0.55,1.0,9
2,Deconvolved,Cellpose3,0.6,1.0,9
3,Deconvolved,Cellpose3,0.65,1.0,9
4,Deconvolved,Cellpose3,0.7,1.0,9
5,Deconvolved,Cellpose3,0.75,1.0,9
6,Deconvolved,Cellpose3,0.8,1.0,9
7,Deconvolved,Cellpose3,0.85,1.0,9
8,Deconvolved,Cellpose3,0.9,0.6,9
9,Deconvolved,Cellpose3,0.95,0.0,9
10,Deconvolved,Cellpose3,1.0,0.0,9
0,Deconvolved,Morphometrics,0.5,0.72727275,9
1,Deconvolved,Morphometrics,0.55,0.72727275,9
2,Deconvolved,Morphometrics,0.6,0.72727275,9
3,Deconvolved,Morphometrics,0.65,0.72727275,9
4,Deconvolved,Morphometrics,0.7,0.54545456,9
5,Deconvolved,Morphometrics,0.75,0.54545456,9
6,Deconvolved,Morphometrics,0.8,0.54545456,9
7,Deconvolved,Morphometrics,0.85,0.54545456,9
8,Deconvolved,Morphometrics,0.9,0.54545456,9
9,Deconvolved,Morphometrics,0.95,0.54545456,9
10,Deconvolved,Morphometrics,1.0,0.0,9
0,Deconvolved,Omnipose,0.5,0.90909094,10
1,Deconvolved,Omnipose,0.55,0.90909094,10
2,Deconvolved,Omnipose,0.6,0.90909094,10
3,Deconvolved,Omnipose,0.65,0.90909094,10
4,Deconvolved,Omnipose,0.7,0.90909094,10
5,Deconvolved,Omnipose,0.75,0.90909094,10
6,Deconvolved,Omnipose,0.8,0.90909094,10
7,Deconvolved,Omnipose,0.85,0.72727275,10
8,Deconvolved,Omnipose,0.9,0.72727275,10
9,Deconvolved,Omnipose,0.95,0.54545456,10
10,Deconvolved,Omnipose,1.0,0.0,10
0,Deconvolved,Cellpose-SAM,0.5,0.75,10
1,Deconvolved,Cellpose-SAM,0.55,0.75,10
2,Deconvolved,Cellpose-SAM,0.6,0.75,10
3,Deconvolved,Cellpose-SAM,0.65,0.75,10
4,Deconvolved,Cellpose-SAM,0.7,0.75,10
5,Deconvolved,Cellpose-SAM,0.75,0.75,10
6,Deconvolved,Cellpose-SAM,0.8,0.75,10
7,Deconvolved,Cellpose-SAM,0.85,0.75,10
8,Deconvolved,Cellpose-SAM,0.9,0.75,10
9,Deconvolved,Cellpose-SAM,0.95,0.75,10
10,Deconvolved,Cellpose-SAM,1.0,0.0,10
0,Deconvolved,microSAM,0.5,0.61538464,10
1,Deconvolved,microSAM,0.55,0.61538464,10
2,Deconvolved,microSAM,0.6,0.61538464,10
3,Deconvolved,microSAM,0.65,0.46153846,10
4,Deconvolved,microSAM,0.7,0.46153846,10
5,Deconvolved,microSAM,0.75,0.46153846,10
6,Deconvolved,microSAM,0.8,0.46153846,10
7,Deconvolved,microSAM,0.85,0.46153846,10
8,Deconvolved,microSAM,0.9,0.46153846,10
9,Deconvolved,microSAM,0.95,0.30769232,10
10,Deconvolved,microSAM,1.0,0.0,10
0,Deconvolved,Cellpose3,0.5,0.14285715,10
1,Deconvolved,Cellpose3,0.55,0.14285715,10
2,Deconvolved,Cellpose3,0.6,0.14285715,10
3,Deconvolved,Cellpose3,0.65,0.14285715,10
4,Deconvolved,Cellpose3,0.7,0.14285715,10
5,Deconvolved,Cellpose3,0.75,0.14285715,10
6,Deconvolved,Cellpose3,0.8,0.14285715,10
7,Deconvolved,Cellpose3,0.85,0.14285715,10
8,Deconvolved,Cellpose3,0.9,0.0,10
9,Deconvolved,Cellpose3,0.95,0.0,10
10,Deconvolved,Cellpose3,1.0,0.0,10
0,Deconvolved,Morphometrics,0.5,0.5,10
1,Deconvolved,Morphometrics,0.55,0.5,10
2,Deconvolved,Morphometrics,0.6,0.5,10
3,Deconvolved,Morphometrics,0.65,0.5,10
4,Deconvolved,Morphometrics,0.7,0.5,10
5,Deconvolved,Morphometrics,0.75,0.5,10
6,Deconvolved,Morphometrics,0.8,0.5,10
7,Deconvolved,Morphometrics,0.85,0.5,10
8,Deconvolved,Morphometrics,0.9,0.5,10
9,Deconvolved,Morphometrics,0.95,0.16666667,10
10,Deconvolved,Morphometrics,1.0,0.0,10
0,Deconvolved,Omnipose,0.5,0.8333333,11
1,Deconvolved,Omnipose,0.55,0.8333333,11
2,Deconvolved,Omnipose,0.6,0.8333333,11
3,Deconvolved,Omnipose,0.65,0.8333333,11
4,Deconvolved,Omnipose,0.7,0.8333333,11
5,Deconvolved,Omnipose,0.75,0.8333333,11
6,Deconvolved,Omnipose,0.8,0.8333333,11
7,Deconvolved,Omnipose,0.85,0.8333333,11
8,Deconvolved,Omnipose,0.9,0.8333333,11
9,Deconvolved,Omnipose,0.95,0.0,11
10,Deconvolved,Omnipose,1.0,0.0,11
0,Deconvolved,Cellpose-SAM,0.5,1.0,11
1,Deconvolved,Cellpose-SAM,0.55,1.0,11
2,Deconvolved,Cellpose-SAM,0.6,1.0,11
3,Deconvolved,Cellpose-SAM,0.65,1.0,11
4,Deconvolved,Cellpose-SAM,0.7,1.0,11
5,Deconvolved,Cellpose-SAM,0.75,0.8,11
6,Deconvolved,Cellpose-SAM,0.8,0.8,11
7,Deconvolved,Cellpose-SAM,0.85,0.8,11
8,Deconvolved,Cellpose-SAM,0.9,0.4,11
9,Deconvolved,Cellpose-SAM,0.95,0.4,11
10,Deconvolved,Cellpose-SAM,1.0,0.0,11
0,Deconvolved,microSAM,0.5,1.0,11
1,Deconvolved,microSAM,0.55,1.0,11
2,Deconvolved,microSAM,0.6,1.0,11
3,Deconvolved,microSAM,0.65,1.0,11
4,Deconvolved,microSAM,0.7,1.0,11
5,Deconvolved,microSAM,0.75,1.0,11
6,Deconvolved,microSAM,0.8,1.0,11
7,Deconvolved,microSAM,0.85,1.0,11
8,Deconvolved,microSAM,0.9,0.6,11
9,Deconvolved,microSAM,0.95,0.0,11
10,Deconvolved,microSAM,1.0,0.0,11
0,Deconvolved,Cellpose3,0.5,0.90909094,11
1,Deconvolved,Cellpose3,0.55,0.90909094,11
2,Deconvolved,Cellpose3,0.6,0.90909094,11
3,Deconvolved,Cellpose3,0.65,0.90909094,11
4,Deconvolved,Cellpose3,0.7,0.90909094,11
5,Deconvolved,Cellpose3,0.75,0.90909094,11
6,Deconvolved,Cellpose3,0.8,0.90909094,11
7,Deconvolved,Cellpose3,0.85,0.36363637,11
8,Deconvolved,Cellpose3,0.9,0.18181819,11
9,Deconvolved,Cellpose3,0.95,0.0,11
10,Deconvolved,Cellpose3,1.0,0.0,11
0,Deconvolved,Morphometrics,0.5,1.0,11
1,Deconvolved,Morphometrics,0.55,1.0,11
2,Deconvolved,Morphometrics,0.6,1.0,11
3,Deconvolved,Morphometrics,0.65,1.0,11
4,Deconvolved,Morphometrics,0.7,1.0,11
5,Deconvolved,Morphometrics,0.75,1.0,11
6,Deconvolved,Morphometrics,0.8,1.0,11
7,Deconvolved,Morphometrics,0.85,1.0,11
8,Deconvolved,Morphometrics,0.9,1.0,11
9,Deconvolved,Morphometrics,0.95,0.2,11
10,Deconvolved,Morphometrics,1.0,0.0,11
0,Deconvolved,Omnipose,0.5,1.0,12
1,Deconvolved,Omnipose,0.55,1.0,12
2,Deconvolved,Omnipose,0.6,1.0,12
3,Deconvolved,Omnipose,0.65,1.0,12
4,Deconvolved,Omnipose,0.7,1.0,12
5,Deconvolved,Omnipose,0.75,1.0,12
6,Deconvolved,Omnipose,0.8,1.0,12
7,Deconvolved,Omnipose,0.85,0.5714286,12
8,Deconvolved,Omnipose,0.9,0.14285715,12
9,Deconvolved,Omnipose,0.95,0.0,12
10,Deconvolved,Omnipose,1.0,0.0,12
0,Deconvolved,Cellpose-SAM,0.5,0.9230769,12
1,Deconvolved,Cellpose-SAM,0.55,0.9230769,12
2,Deconvolved,Cellpose-SAM,0.6,0.9230769,12
3,Deconvolved,Cellpose-SAM,0.65,0.9230769,12
4,Deconvolved,Cellpose-SAM,0.7,0.9230769,12
5,Deconvolved,Cellpose-SAM,0.75,0.9230769,12
6,Deconvolved,Cellpose-SAM,0.8,0.9230769,12
7,Deconvolved,Cellpose-SAM,0.85,0.9230769,12
8,Deconvolved,Cellpose-SAM,0.9,0.61538464,12
9,Deconvolved,Cellpose-SAM,0.95,0.15384616,12
10,Deconvolved,Cellpose-SAM,1.0,0.0,12
0,Deconvolved,microSAM,0.5,0.08163265,12
1,Deconvolved,microSAM,0.55,0.08163265,12
2,Deconvolved,microSAM,0.6,0.08163265,12
3,Deconvolved,microSAM,0.65,0.08163265,12
4,Deconvolved,microSAM,0.7,0.08163265,12
5,Deconvolved,microSAM,0.75,0.08163265,12
6,Deconvolved,microSAM,0.8,0.08163265,12
7,Deconvolved,microSAM,0.85,0.08163265,12
8,Deconvolved,microSAM,0.9,0.027210884,12
9,Deconvolved,microSAM,0.95,0.0,12
10,Deconvolved,microSAM,1.0,0.0,12
0,Deconvolved,Cellpose3,0.5,0.8235294,12
1,Deconvolved,Cellpose3,0.55,0.8235294,12
2,Deconvolved,Cellpose3,0.6,0.8235294,12
3,Deconvolved,Cellpose3,0.65,0.8235294,12
4,Deconvolved,Cellpose3,0.7,0.8235294,12
5,Deconvolved,Cellpose3,0.75,0.7058824,12
6,Deconvolved,Cellpose3,0.8,0.7058824,12
7,Deconvolved,Cellpose3,0.85,0.5882353,12
8,Deconvolved,Cellpose3,0.9,0.47058824,12
9,Deconvolved,Cellpose3,0.95,0.0,12
10,Deconvolved,Cellpose3,1.0,0.0,12
0,Deconvolved,Morphometrics,0.5,0.85714287,12
1,Deconvolved,Morphometrics,0.55,0.85714287,12
2,Deconvolved,Morphometrics,0.6,0.85714287,12
3,Deconvolved,Morphometrics,0.65,0.85714287,12
4,Deconvolved,Morphometrics,0.7,0.85714287,12
5,Deconvolved,Morphometrics,0.75,0.85714287,12
6,Deconvolved,Morphometrics,0.8,0.85714287,12
7,Deconvolved,Morphometrics,0.85,0.85714287,12
8,Deconvolved,Morphometrics,0.9,0.5714286,12
9,Deconvolved,Morphometrics,0.95,0.42857143,12
10,Deconvolved,Morphometrics,1.0,0.0,12
0,Deconvolved,Omnipose,0.5,0.98571426,13
1,Deconvolved,Omnipose,0.55,0.98571426,13
2,Deconvolved,Omnipose,0.6,0.98571426,13
3,Deconvolved,Omnipose,0.65,0.98571426,13
4,Deconvolved,Omnipose,0.7,0.98571426,13
5,Deconvolved,Omnipose,0.75,0.98571426,13
6,Deconvolved,Omnipose,0.8,0.9714286,13
7,Deconvolved,Omnipose,0.85,0.94285715,13
8,Deconvolved,Omnipose,0.9,0.87142855,13
9,Deconvolved,Omnipose,0.95,0.55714285,13
10,Deconvolved,Omnipose,1.0,0.0,13
0,Deconvolved,Cellpose-SAM,0.5,0.98571426,13
1,Deconvolved,Cellpose-SAM,0.55,0.9714286,13
2,Deconvolved,Cellpose-SAM,0.6,0.9714286,13
3,Deconvolved,Cellpose-SAM,0.65,0.9714286,13
4,Deconvolved,Cellpose-SAM,0.7,0.9714286,13
5,Deconvolved,Cellpose-SAM,0.75,0.9714286,13
6,Deconvolved,Cellpose-SAM,0.8,0.95714283,13
7,Deconvolved,Cellpose-SAM,0.85,0.94285715,13
8,Deconvolved,Cellpose-SAM,0.9,0.87142855,13
9,Deconvolved,Cellpose-SAM,0.95,0.41428572,13
10,Deconvolved,Cellpose-SAM,1.0,0.0,13
0,Deconvolved,microSAM,0.5,0.9315069,13
1,Deconvolved,microSAM,0.55,0.91780823,13
2,Deconvolved,microSAM,0.6,0.91780823,13
3,Deconvolved,microSAM,0.65,0.91780823,13
4,Deconvolved,microSAM,0.7,0.91780823,13
5,Deconvolved,microSAM,0.75,0.91780823,13
6,Deconvolved,microSAM,0.8,0.9041096,13
7,Deconvolved,microSAM,0.85,0.84931505,13
8,Deconvolved,microSAM,0.9,0.5890411,13
9,Deconvolved,microSAM,0.95,0.05479452,13
10,Deconvolved,microSAM,1.0,0.0,13
0,Deconvolved,Cellpose3,0.5,0.84615386,13
1,Deconvolved,Cellpose3,0.55,0.8076923,13
2,Deconvolved,Cellpose3,0.6,0.8076923,13
3,Deconvolved,Cellpose3,0.65,0.7948718,13
4,Deconvolved,Cellpose3,0.7,0.7948718,13
5,Deconvolved,Cellpose3,0.75,0.7692308,13
6,Deconvolved,Cellpose3,0.8,0.74358976,13
7,Deconvolved,Cellpose3,0.85,0.67948717,13
8,Deconvolved,Cellpose3,0.9,0.5,13
9,Deconvolved,Cellpose3,0.95,0.051282052,13
10,Deconvolved,Cellpose3,1.0,0.0,13
0,Deconvolved,Morphometrics,0.5,0.79012346,13
1,Deconvolved,Morphometrics,0.55,0.72839504,13
2,Deconvolved,Morphometrics,0.6,0.7160494,13
3,Deconvolved,Morphometrics,0.65,0.7160494,13
4,Deconvolved,Morphometrics,0.7,0.7160494,13
5,Deconvolved,Morphometrics,0.75,0.69135803,13
6,Deconvolved,Morphometrics,0.8,0.67901236,13
7,Deconvolved,Morphometrics,0.85,0.6296296,13
8,Deconvolved,Morphometrics,0.9,0.5308642,13
9,Deconvolved,Morphometrics,0.95,0.2962963,13
10,Deconvolved,Morphometrics,1.0,0.0,13
0,Deconvolved,Omnipose,0.5,0.89017344,14
1,Deconvolved,Omnipose,0.55,0.89017344,14
2,Deconvolved,Omnipose,0.6,0.89017344,14
3,Deconvolved,Omnipose,0.65,0.89017344,14
4,Deconvolved,Omnipose,0.7,0.89017344,14
5,Deconvolved,Omnipose,0.75,0.89017344,14
6,Deconvolved,Omnipose,0.8,0.867052,14
7,Deconvolved,Omnipose,0.85,0.8323699,14
8,Deconvolved,Omnipose,0.9,0.7283237,14
9,Deconvolved,Omnipose,0.95,0.046242774,14
10,Deconvolved,Omnipose,1.0,0.0,14
0,Deconvolved,Cellpose-SAM,0.5,0.6571429,14
1,Deconvolved,Cellpose-SAM,0.55,0.6571429,14
2,Deconvolved,Cellpose-SAM,0.6,0.6571429,14
3,Deconvolved,Cellpose-SAM,0.65,0.6571429,14
4,Deconvolved,Cellpose-SAM,0.7,0.64285713,14
5,Deconvolved,Cellpose-SAM,0.75,0.62857145,14
6,Deconvolved,Cellpose-SAM,0.8,0.6142857,14
7,Deconvolved,Cellpose-SAM,0.85,0.5857143,14
8,Deconvolved,Cellpose-SAM,0.9,0.5,14
9,Deconvolved,Cellpose-SAM,0.95,0.24285714,14
10,Deconvolved,Cellpose-SAM,1.0,0.0,14
0,Deconvolved,microSAM,0.5,0.8087432,14
1,Deconvolved,microSAM,0.55,0.8087432,14
2,Deconvolved,microSAM,0.6,0.8087432,14
3,Deconvolved,microSAM,0.65,0.7978142,14
4,Deconvolved,microSAM,0.7,0.7978142,14
5,Deconvolved,microSAM,0.75,0.7978142,14
6,Deconvolved,microSAM,0.8,0.78688526,14
7,Deconvolved,microSAM,0.85,0.7431694,14
8,Deconvolved,microSAM,0.9,0.48087433,14
9,Deconvolved,microSAM,0.95,0.032786883,14
10,Deconvolved,microSAM,1.0,0.0,14
0,Deconvolved,Cellpose3,0.5,0.48062015,14
1,Deconvolved,Cellpose3,0.55,0.41860464,14
2,Deconvolved,Cellpose3,0.6,0.37209302,14
3,Deconvolved,Cellpose3,0.65,0.34108528,14
4,Deconvolved,Cellpose3,0.7,0.27906978,14
5,Deconvolved,Cellpose3,0.75,0.12403101,14
6,Deconvolved,Cellpose3,0.8,0.062015504,14
7,Deconvolved,Cellpose3,0.85,0.031007752,14
8,Deconvolved,Cellpose3,0.9,0.0,14
9,Deconvolved,Cellpose3,0.95,0.0,14
10,Deconvolved,Cellpose3,1.0,0.0,14
0,Deconvolved,Morphometrics,0.5,0.85714287,14
1,Deconvolved,Morphometrics,0.55,0.8333333,14
2,Deconvolved,Morphometrics,0.6,0.8333333,14
3,Deconvolved,Morphometrics,0.65,0.8333333,14
4,Deconvolved,Morphometrics,0.7,0.8214286,14
5,Deconvolved,Morphometrics,0.75,0.8095238,14
6,Deconvolved,Morphometrics,0.8,0.78571427,14
7,Deconvolved,Morphometrics,0.85,0.7619048,14
8,Deconvolved,Morphometrics,0.9,0.5714286,14
9,Deconvolved,Morphometrics,0.95,0.3690476,14
10,Deconvolved,Morphometrics,1.0,0.0,14
0,Deconvolved,Omnipose,0.5,0.9191919,15
1,Deconvolved,Omnipose,0.55,0.9141414,15
2,Deconvolved,Omnipose,0.6,0.90909094,15
3,Deconvolved,Omnipose,0.65,0.90909094,15
4,Deconvolved,Omnipose,0.7,0.9040404,15
5,Deconvolved,Omnipose,0.75,0.8989899,15
6,Deconvolved,Omnipose,0.8,0.8989899,15
7,Deconvolved,Omnipose,0.85,0.8787879,15
8,Deconvolved,Omnipose,0.9,0.7878788,15
9,Deconvolved,Omnipose,0.95,0.46464646,15
10,Deconvolved,Omnipose,1.0,0.0,15
0,Deconvolved,Cellpose-SAM,0.5,0.79581153,15
1,Deconvolved,Cellpose-SAM,0.55,0.7853403,15
2,Deconvolved,Cellpose-SAM,0.6,0.7853403,15
3,Deconvolved,Cellpose-SAM,0.65,0.76963353,15
4,Deconvolved,Cellpose-SAM,0.7,0.76963353,15
5,Deconvolved,Cellpose-SAM,0.75,0.76963353,15
6,Deconvolved,Cellpose-SAM,0.8,0.7591623,15
7,Deconvolved,Cellpose-SAM,0.85,0.7277487,15
8,Deconvolved,Cellpose-SAM,0.9,0.58115184,15
9,Deconvolved,Cellpose-SAM,0.95,0.18324608,15
10,Deconvolved,Cellpose-SAM,1.0,0.0,15
0,Deconvolved,microSAM,0.5,0.8977556,15
1,Deconvolved,microSAM,0.55,0.8927681,15
2,Deconvolved,microSAM,0.6,0.8927681,15
3,Deconvolved,microSAM,0.65,0.8927681,15
4,Deconvolved,microSAM,0.7,0.8927681,15
5,Deconvolved,microSAM,0.75,0.88778055,15
6,Deconvolved,microSAM,0.8,0.8329177,15
7,Deconvolved,microSAM,0.85,0.6832918,15
8,Deconvolved,microSAM,0.9,0.3640898,15
9,Deconvolved,microSAM,0.95,0.024937656,15
10,Deconvolved,microSAM,1.0,0.0,15
0,Deconvolved,Cellpose3,0.5,0.67848104,15
1,Deconvolved,Cellpose3,0.55,0.66835445,15
2,Deconvolved,Cellpose3,0.6,0.66835445,15
3,Deconvolved,Cellpose3,0.65,0.66329116,15
4,Deconvolved,Cellpose3,0.7,0.66329116,15
5,Deconvolved,Cellpose3,0.75,0.6329114,15
6,Deconvolved,Cellpose3,0.8,0.5822785,15
7,Deconvolved,Cellpose3,0.85,0.4658228,15
8,Deconvolved,Cellpose3,0.9,0.2278481,15
9,Deconvolved,Cellpose3,0.95,0.0,15
10,Deconvolved,Cellpose3,1.0,0.0,15
0,Deconvolved,Morphometrics,0.5,0.6532258,15
1,Deconvolved,Morphometrics,0.55,0.58870965,15
2,Deconvolved,Morphometrics,0.6,0.53629035,15
3,Deconvolved,Morphometrics,0.65,0.48387095,15
4,Deconvolved,Morphometrics,0.7,0.44758064,15
5,Deconvolved,Morphometrics,0.75,0.4032258,15
6,Deconvolved,Morphometrics,0.8,0.35887095,15
7,Deconvolved,Morphometrics,0.85,0.30241936,15
8,Deconvolved,Morphometrics,0.9,0.24193548,15
9,Deconvolved,Morphometrics,0.95,0.13306452,15
10,Deconvolved,Morphometrics,1.0,0.0,15
0,Deconvolved,Omnipose,0.5,0.94067794,16
1,Deconvolved,Omnipose,0.55,0.9322034,16
2,Deconvolved,Omnipose,0.6,0.9237288,16
3,Deconvolved,Omnipose,0.65,0.9237288,16
4,Deconvolved,Omnipose,0.7,0.9237288,16
5,Deconvolved,Omnipose,0.75,0.9237288,16
6,Deconvolved,Omnipose,0.8,0.9237288,16
7,Deconvolved,Omnipose,0.85,0.9237288,16
8,Deconvolved,Omnipose,0.9,0.8559322,16
9,Deconvolved,Omnipose,0.95,0.26271185,16
10,Deconvolved,Omnipose,1.0,0.0,16
0,Deconvolved,Cellpose-SAM,0.5,0.59534883,16
1,Deconvolved,Cellpose-SAM,0.55,0.5767442,16
2,Deconvolved,Cellpose-SAM,0.6,0.5767442,16
3,Deconvolved,Cellpose-SAM,0.65,0.5674419,16
4,Deconvolved,Cellpose-SAM,0.7,0.53023255,16
5,Deconvolved,Cellpose-SAM,0.75,0.53023255,16
6,Deconvolved,Cellpose-SAM,0.8,0.53023255,16
7,Deconvolved,Cellpose-SAM,0.85,0.53023255,16
8,Deconvolved,Cellpose-SAM,0.9,0.5023256,16
9,Deconvolved,Cellpose-SAM,0.95,0.33488372,16
10,Deconvolved,Cellpose-SAM,1.0,0.0,16
0,Deconvolved,microSAM,0.5,0.8449612,16
1,Deconvolved,microSAM,0.55,0.79844964,16
2,Deconvolved,microSAM,0.6,0.78294575,16
3,Deconvolved,microSAM,0.65,0.78294575,16
4,Deconvolved,microSAM,0.7,0.7751938,16
5,Deconvolved,microSAM,0.75,0.76744187,16
6,Deconvolved,microSAM,0.8,0.7596899,16
7,Deconvolved,microSAM,0.85,0.751938,16
8,Deconvolved,microSAM,0.9,0.65891474,16
9,Deconvolved,microSAM,0.95,0.18604651,16
10,Deconvolved,microSAM,1.0,0.0,16
0,Deconvolved,Cellpose3,0.5,0.43333334,16
1,Deconvolved,Cellpose3,0.55,0.43333334,16
2,Deconvolved,Cellpose3,0.6,0.43333334,16
3,Deconvolved,Cellpose3,0.65,0.425,16
4,Deconvolved,Cellpose3,0.7,0.4,16
5,Deconvolved,Cellpose3,0.75,0.31666666,16
6,Deconvolved,Cellpose3,0.8,0.15833333,16
7,Deconvolved,Cellpose3,0.85,0.05,16
8,Deconvolved,Cellpose3,0.9,0.0,16
9,Deconvolved,Cellpose3,0.95,0.0,16
10,Deconvolved,Cellpose3,1.0,0.0,16
0,Deconvolved,Morphometrics,0.5,0.88429755,16
1,Deconvolved,Morphometrics,0.55,0.8595041,16
2,Deconvolved,Morphometrics,0.6,0.8595041,16
3,Deconvolved,Morphometrics,0.65,0.8429752,16
4,Deconvolved,Morphometrics,0.7,0.8429752,16
5,Deconvolved,Morphometrics,0.75,0.8347107,16
6,Deconvolved,Morphometrics,0.8,0.8264463,16
7,Deconvolved,Morphometrics,0.85,0.7933884,16
8,Deconvolved,Morphometrics,0.9,0.72727275,16
9,Deconvolved,Morphometrics,0.95,0.4876033,16
10,Deconvolved,Morphometrics,1.0,0.0,16
0,Deconvolved,Omnipose,0.5,0.7647059,17
1,Deconvolved,Omnipose,0.55,0.7058824,17
2,Deconvolved,Omnipose,0.6,0.7058824,17
3,Deconvolved,Omnipose,0.65,0.7058824,17
4,Deconvolved,Omnipose,0.7,0.7058824,17
5,Deconvolved,Omnipose,0.75,0.7058824,17
6,Deconvolved,Omnipose,0.8,0.7058824,17
7,Deconvolved,Omnipose,0.85,0.7058824,17
8,Deconvolved,Omnipose,0.9,0.7058824,17
9,Deconvolved,Omnipose,0.95,0.11764706,17
10,Deconvolved,Omnipose,1.0,0.0,17
0,Deconvolved,Cellpose-SAM,0.5,0.8666667,17
1,Deconvolved,Cellpose-SAM,0.55,0.8666667,17
2,Deconvolved,Cellpose-SAM,0.6,0.8666667,17
3,Deconvolved,Cellpose-SAM,0.65,0.8666667,17
4,Deconvolved,Cellpose-SAM,0.7,0.8666667,17
5,Deconvolved,Cellpose-SAM,0.75,0.8666667,17
6,Deconvolved,Cellpose-SAM,0.8,0.8666667,17
7,Deconvolved,Cellpose-SAM,0.85,0.8666667,17
8,Deconvolved,Cellpose-SAM,0.9,0.8666667,17
9,Deconvolved,Cellpose-SAM,0.95,0.8,17
10,Deconvolved,Cellpose-SAM,1.0,0.0,17
0,Deconvolved,microSAM,0.5,0.875,17
1,Deconvolved,microSAM,0.55,0.75,17
2,Deconvolved,microSAM,0.6,0.75,17
3,Deconvolved,microSAM,0.65,0.75,17
4,Deconvolved,microSAM,0.7,0.75,17
5,Deconvolved,microSAM,0.75,0.75,17
6,Deconvolved,microSAM,0.8,0.75,17
7,Deconvolved,microSAM,0.85,0.75,17
8,Deconvolved,microSAM,0.9,0.75,17
9,Deconvolved,microSAM,0.95,0.6875,17
10,Deconvolved,microSAM,1.0,0.0,17
0,Deconvolved,Cellpose3,0.5,0.16216215,17
1,Deconvolved,Cellpose3,0.55,0.16216215,17
2,Deconvolved,Cellpose3,0.6,0.16216215,17
3,Deconvolved,Cellpose3,0.65,0.16216215,17
4,Deconvolved,Cellpose3,0.7,0.16216215,17
5,Deconvolved,Cellpose3,0.75,0.16216215,17
6,Deconvolved,Cellpose3,0.8,0.16216215,17
7,Deconvolved,Cellpose3,0.85,0.054054055,17
8,Deconvolved,Cellpose3,0.9,0.0,17
9,Deconvolved,Cellpose3,0.95,0.0,17
10,Deconvolved,Cellpose3,1.0,0.0,17
0,Deconvolved,Morphometrics,0.5,0.83870965,17
1,Deconvolved,Morphometrics,0.55,0.7741935,17
2,Deconvolved,Morphometrics,0.6,0.7741935,17
3,Deconvolved,Morphometrics,0.65,0.7741935,17
4,Deconvolved,Morphometrics,0.7,0.7741935,17
5,Deconvolved,Morphometrics,0.75,0.7741935,17
6,Deconvolved,Morphometrics,0.8,0.7741935,17
7,Deconvolved,Morphometrics,0.85,0.7741935,17
8,Deconvolved,Morphometrics,0.9,0.7741935,17
9,Deconvolved,Morphometrics,0.95,0.7741935,17
10,Deconvolved,Morphometrics,1.0,0.0,17
0,Deconvolved,Omnipose,0.5,0.91588783,18
1,Deconvolved,Omnipose,0.55,0.8785047,18
2,Deconvolved,Omnipose,0.6,0.8785047,18
3,Deconvolved,Omnipose,0.65,0.8785047,18
4,Deconvolved,Omnipose,0.7,0.8785047,18
5,Deconvolved,Omnipose,0.75,0.8598131,18
6,Deconvolved,Omnipose,0.8,0.8598131,18
7,Deconvolved,Omnipose,0.85,0.8598131,18
8,Deconvolved,Omnipose,0.9,0.8037383,18
9,Deconvolved,Omnipose,0.95,0.056074765,18
10,Deconvolved,Omnipose,1.0,0.0,18
0,Deconvolved,Cellpose-SAM,0.5,0.7254902,18
1,Deconvolved,Cellpose-SAM,0.55,0.6862745,18
2,Deconvolved,Cellpose-SAM,0.6,0.6862745,18
3,Deconvolved,Cellpose-SAM,0.65,0.6666667,18
4,Deconvolved,Cellpose-SAM,0.7,0.64705884,18
5,Deconvolved,Cellpose-SAM,0.75,0.64705884,18
6,Deconvolved,Cellpose-SAM,0.8,0.627451,18
7,Deconvolved,Cellpose-SAM,0.85,0.60784316,18
8,Deconvolved,Cellpose-SAM,0.9,0.5686275,18
