Method,Volume
FM2FM,2.934962839
FM2FM,4.019943263
FM2FM,2.770505234
FM2FM,3.963062577
FM2FM,2.901684991
FM2FM,3.607017451
FM2FM,3.334972776
FM2FM,4.095159331
FM2FM,3.135564596
FM2FM,3.153199048
FM2FM,3.384565876
FM2FM,3.57809935
FM2FM,3.194363155
FM2FM,2.705664803
FM2FM,2.589744099
FM2FM,2.838905429
FM2FM,1.62612337
FM2FM,2.041641726
FM2FM,3.80558527
FM2FM,4.017156492
FM2FM,2.16011206
FM2FM,1.910673892
FM2FM,2.087911066
FM2FM,1.755023756
FM2FM,2.079074074
FM2FM,1.374438012
FM2FM,2.781506066
FM2FM,1.81938177
FM2FM,1.566990955
FM2FM,1.701218741
FM2FM,2.020533156
FM2FM,2.560269565
FM2FM,4.269264582
FM2FM,2.083696213
FM2FM,2.146378012
FM2FM,2.574748739
FM2FM,2.313482825
FM2FM,4.710715362
FM2FM,2.592573296
FM2FM,1.715475846
FM2FM,1.59357097
FM2FM,2.761892752
FM2FM,2.288482829
FM2FM,2.760382883
FM2FM,2.372566963
FM2FM,2.045085315
FM2FM,0.445214665
FM2FM,2.315841181
FM2FM,2.684018387
FM2FM,2.659852978
FM2FM,1.324159776
FM2FM,0.959592287
FM2FM,1.80453599
FM2FM,1.760207497
FM2FM,1.540225236
FM2FM,3.324645144
FM2FM,3.091853504
FM2FM,3.901499335
FM2FM,4.746481563
FM2FM,3.830866165
FM2FM,4.642393619
FM2FM,2.765729954
FM2FM,1.452306979
FM2FM,2.137676948
FM2FM,4.397190402
FM2FM,4.417415118
FM2FM,4.331764811
FM2FM,2.14827057
FM2FM,2.779635774
FM2FM,1.721208955
FM2FM,4.280404767
FM2FM,2.375884507
FM2FM,2.011658353
FM2FM,2.608175701
FM2FM,4.590544184
FM2FM,2.21320194
FM2FM,2.7185739
FM2FM,3.08124763
FM2FM,2.339748195
FM2FM,3.461688147
FM2FM,2.633775782
FM2FM,2.016401453
FM2FM,1.541515107
FM2FM,3.043670689
FM2FM,3.053848672
FM2FM,2.546097058
FM2FM,2.926987772
FM2FM,2.157109257
FM2FM,1.832759238
FM2FM,1.452877922
FM2FM,3.972322246
FM2FM,2.718467132
FM2FM,1.82879321
FM2FM,1.784659912
FM2FM,1.789781716
FM2FM,2.418841775
FM2FM,3.8564164
FM2FM,1.690310083
FM2FM,0.595754254
FM2FM,0.475842631
FM2FM,2.330478533
FM2FM,2.088847472
FM2FM,2.219100816
FM2FM,2.64138715
FM2FM,1.249627498
FM2FM,1.233807727
FM2FM,3.053296867
FM2FM,1.808635798
FM2FM,2.217229906
FM2FM,0.676139285
FM2FM,2.369946148
FM2FM,2.146663867
FM2FM,1.580065639
FM2FM,2.264304165
FM2FM,2.044589142
FM2FM,2.017606214
FM2FM,1.864209043
FM2FM,1.956444006
FM2FM,2.268749765
FM2FM,1.874533324
FM2FM,1.668539095
FM2FM,1.965632802
FM2FM,2.191810127
FM2FM,2.607974405
FM2FM,1.895600737
FM2FM,3.154420449
FM2FM,2.755045805
FM2FM,2.240534517
FM2FM,0.777299216
FM2FM,0.328439717
FM2FM,2.718506769
FM2FM,1.998704826
FM2FM,1.847779199
FM2FM,1.364574372
FM2FM,1.921770725
FM2FM,1.866083194
FM2FM,3.76537542
FM2FM,3.080336652
FM2FM,1.781764891
FM2FM,1.283478921
FM2FM,2.659744476
FM2FM,2.905888481
FM2FM,2.048805975
FM2FM,2.186648336
FM2FM,3.030738254
FM2FM,3.158175624
FM2FM,2.642547149
FM2FM,2.39680561
FM2FM,2.978283758
FM2FM,4.300029399
FM2FM,2.227777042
FM2FM,3.140449003
FM2FM,3.023240692
FM2FM,2.988105225
FM2FM,4.259787369
FM2FM,4.137920775
FM2FM,3.253793012
FM2FM,3.05097618
FM2FM,3.759506301
FM2FM,4.608857918
FM2FM,1.143300127
FM2FM,1.723175247
FM2FM,0.665870694
FM2FM,1.882229614
FM2FM,1.351124278
FM2FM,2.640384712
FM2FM,2.888608122
FM2FM,2.477950423
FM2FM,2.530058486
FM2FM,2.608723287
FM2FM,2.896663763
FM2FM,2.759757582
FM2FM,3.324748635
FM2FM,3.036546428
FM2FM,1.819662669
FM2FM,2.547700792
FM2FM,2.43945729
FM2FM,2.529273122
FM2FM,2.632082096
FM2FM,1.960845658
FM2FM,3.016810013
FM2FM,2.485777085
FM2FM,2.342838082
FM2FM,2.681697462
FM2FM,3.085984623
FM2FM,2.435742101
FM2FM,2.055336794
FM2FM,3.003092243
FM2FM,2.591916775
FM2FM,2.489328546
FM2FM,2.097613397
FM2FM,3.648083937
FM2FM,2.63922148
FM2FM,2.61848125
FM2FM,2.773866027
FM2FM,3.447177799
FM2FM,3.525551316
FM2FM,2.430617641
FM2FM,2.62893222
FM2FM,2.905670296
FM2FM,3.159517944
FM2FM,3.034269242
FM2FM,2.214086495
FM2FM,2.964186311
FM2FM,4.114286728
FM2FM,3.285041759
FM2FM,2.187078349
FM2FM,2.432571198
FM2FM,2.850296287
FM2FM,2.763201864
FM2FM,4.601684755
FM2FM,3.498802423
FM2FM,3.31738309
FM2FM,2.973314195
FM2FM,2.397720296
FM2FM,3.177037434
FM2FM,3.167415291
FM2FM,3.190937298
FM2FM,3.778739874
FM2FM,2.196681041
FM2FM,2.639562636
FM2FM,2.405815054
FM2FM,2.939982615
FM2FM,2.534259319
FM2FM,2.479263874
FM2FM,2.146585177
FM2FM,2.599172726
FM2FM,3.541294301
FM2FM,2.801404106
FM2FM,2.838332187
FM2FM,2.255045874
FM2FM,2.675842326
FM2FM,3.635954552
FM2FM,3.227788556
FM2FM,2.391703035
FM2FM,2.653412277
FM2FM,2.932636584
FM2FM,2.695211611
FM2FM,3.121337889
FM2FM,3.657791165
FM2FM,3.035857372
FM2FM,2.497963216
FM2FM,2.623630093
FM2FM,3.006386761
FM2FM,2.702811271
FM2FM,2.845600605
FM2FM,2.090170906
FM2FM,2.96924249
FM2FM,3.05669741
FM2FM,2.025141497
FM2FM,3.339497152
FM2FM,3.552061181
FM2FM,2.836933626
FM2FM,2.980478443
FM2FM,2.503662201
FM2FM,2.867800159
FM2FM,2.805107923
FM2FM,2.918289888
FM2FM,2.82509499
FM2FM,2.842134437
FM2FM,3.044454957
FM2FM,2.776146487
FM2FM,2.594899721
FM2FM,0.419601425
FM2FM,2.383563902
FM2FM,3.963666232
FM2FM,2.144058653
FM2FM,3.216853487
FM2FM,2.391152682
FM2FM,3.08004576
FM2FM,1.880055919
FM2FM,0.662992839
FM2FM,0.982636266
FM2FM,1.752107827
FM2FM,2.270461564
FM2FM,3.261519058
FM2FM,2.338333708
FM2FM,2.73653836
FM2FM,2.033277571
FM2FM,2.504775804
FM2FM,3.067343831
FM2FM,1.820085346
FM2FM,1.803793213
FM2FM,3.346590205
FM2FM,2.296631552
FM2FM,2.261389292
FM2FM,3.967711862
FM2FM,2.030749481
FM2FM,1.62612337
FM2FM,4.013051125
FM2FM,1.91414006
FM2FM,2.229941936
FM2FM,1.786484426
FM2FM,2.756878431
FM2FM,3.904212942
FM2FM,2.425024623
FM2FM,1.738589439
FM2FM,4.050713877
FM2FM,3.213763599
FM2FM,4.704281113
FM2FM,1.743799997
FM2FM,3.713624409
FM2FM,3.26722976
FM2FM,1.778962332
FM2FM,3.397496398
FM2FM,0.828089773
FM2FM,1.906800292
FM2FM,2.562989275
FM2FM,1.512094225
FM2FM,2.183663823
FM2FM,1.18146051
FM2FM,2.247667946
FM2FM,2.241970521
FM2FM,2.382460601
FM2FM,3.434840662
FM2FM,2.987962792
FM2FM,2.333775823
FM2FM,2.55336044
FM2FM,2.261277781
FM2FM,1.842415475
FM2FM,3.456181953
FM2FM,3.510881073
FM2FM,2.77585199
FM2FM,3.223504923
FM2FM,1.838954553
FM2FM,2.736860575
FM2FM,1.830187711
FM2FM,3.097991534
FM2FM,1.866618163
FM2FM,1.90222561
FM2FM,3.768538803
FM2FM,1.807599802
FM2FM,1.476966087
FM2FM,1.307584088
FM2FM,1.746962003
FM2FM,1.468670907
FM2FM,1.73641935
FM2FM,2.008634091
FM2FM,1.568640423
FM2FM,1.896960584
FM2FM,3.240978606
FM2FM,1.817791759
FM2FM,2.496367921
FM2FM,1.921973047
FM2FM,1.878746807
FM2FM,1.592229992
FM2FM,1.845928039
FM2FM,1.554965829
FM2FM,1.463493806
FM2FM,1.815645536
FM2FM,2.0012187
FM2FM,1.537501115
FM2FM,1.788201999
FM2FM,1.795366248
FM2FM,1.622787536
FM2FM,2.049017898
FM2FM,1.658916718
FM2FM,1.721034997
FM2FM,2.403210663
FM2FM,1.509237273
FM2FM,3.022862868
FM2FM,2.23548833
FM2FM,3.082117426
FM2FM,3.271443243
FM2FM,3.814982493
FM2FM,1.086281193
FM2FM,1.234582256
FM2FM,2.700624625
FM2FM,2.804525859
FM2FM,2.219116599
FM2FM,3.582854679
FM2FM,2.842622739
FM2FM,2.475280556
FM2FM,4.088970881
FM2FM,1.993977509
FM2FM,2.164716039
FM2FM,2.65638681
FM2FM,2.785848994
FM2FM,2.716770067
FM2FM,1.758353226
FM2FM,2.996347899
FM2FM,4.37106681
FM2FM,4.098344033
FM2FM,1.660388508
FM2FM,2.986787346
FM2FM,1.723033469
FM2FM,3.694464158
FM2FM,1.838111857
FM2FM,0.284613724
FM2FM,0.46141019
FM2FM,0.286527677
FM2FM,1.709057503
FM2FM,0.603675167
FM2FM,0.257832953
FM2FM,0.582022391
FM2FM,4.016594363
FM2FM,1.66642749
FM2FM,3.541744315
FM2FM,0.848415804
FM2FM,0.820658145
FM2FM,3.971479549
FM2FM,1.914068244
FM2FM,4.798240446
FM2FM,3.417437142
FM2FM,2.882894764
FM2FM,3.029139567
FM2FM,2.60425498
FM2FM,2.816640925
FM2FM,3.208735239
FM2FM,2.777876885
FM2FM,2.567955855
FM2FM,2.133944729
FM2FM,2.424989671
FM2FM,0.218539296
FM2FM,2.90632115
FM2FM,2.658148356
FM2FM,1.484674071
FM2FM,3.805859804
FM2FM,1.751036364
FM2FM,1.82190986
FM2FM,2.901780373
FM2FM,1.69067239
FM2FM,2.192194517
FM2FM,2.175798894
FM2FM,2.075452384
FM2FM,2.487468803
FM2FM,2.429917448
FM2FM,2.192176386
FM2FM,3.717977013
FM2FM,2.263766388
FM2FM,2.863721904
FM2FM,2.022708789
FM2FM,3.026672239
FM2FM,1.760243901
FM2FM,1.65153605
FM2FM,2.402099866
FM2FM,1.796067167
FM2FM,1.865263662
FM2FM,1.887553199
FM2FM,2.286192137
FM2FM,2.175603354
FM2FM,2.260628929
FM2FM,2.158568445
FM2FM,1.847794411
FM2FM,2.19669211
FM2FM,2.22991675
FM2FM,0.603160693
FM2FM,2.442060997
FM2FM,4.689848446
FM2FM,2.358148397
FM2FM,2.495366151
FM2FM,2.097322505
FM2FM,2.064410945
FM2FM,1.628326821
FM2FM,0.274157265
FM2FM,1.952808718
FM2FM,0.266080175
FM2FM,3.995028655
FM2FM,0.153555275
FM2FM,2.064467334
FM2FM,0.131179757
FM2FM,1.077318624
FM2FM,1.777087154
FM2FM,3.399854216
FM2FM,1.087741613
FM2FM,0.210674128
FM2FM,2.094772228
FM2FM,0.217062985
FM2FM,0.057865161
FM2FM,0.323945335
FM2FM,2.192169479
FM2FM,0.163130408
FM2FM,1.036050294
FM2FM,0.86315672
FM2FM,1.164887479
FM2FM,0.305240647
FM2FM,1.196899954
FM2FM,2.78848276
FM2FM,2.989286884
FM2FM,2.720871529
FM2FM,2.961584725
FM2FM,2.882052067
FM2FM,3.113261805
FM2FM,4.89160235
FM2FM,3.383135606
FM2FM,2.856140835
FM2FM,3.634632705
FM2FM,2.642741651
FM2FM,1.976175454
FM2FM,2.804450492
FM2FM,2.816602638
FM2FM,2.846067021
FM2FM,2.859550165
FM2FM,1.830141315
FM2FM,2.075412396
FM2FM,1.757664135
FM2FM,2.029203209
FM2FM,1.879524077
FM2FM,1.754731298
FM2FM,2.134294326
FM2FM,1.820797127
FM2FM,2.164044644
FM2FM,1.688519707
FM2FM,2.928974036
FM2FM,3.280830883
FM2FM,3.008749588
FM2FM,2.69937029
FM2FM,2.383988434
FM2FM,1.364034762
FM2FM,2.249191943
FM2FM,1.810142103
FM2FM,1.846564597
FM2FM,2.046045768
FM2FM,2.137936835
FM2FM,3.443680626
FM2FM,2.991040816
FM2FM,2.775598208
FM2FM,2.805573849
FM2FM,2.889748119
FM2FM,2.543538973
FM2FM,2.48313573
FM2FM,2.024187018
FM2FM,2.313905502
FM2FM,1.657794793
FM2FM,2.026986013
FM2FM,2.517838058
FM2FM,2.215691485
FM2FM,1.825024706
FM2FM,2.090924716
FM2FM,1.958575774
FM2FM,1.994871727
FM2FM,1.719959365
FM2FM,1.776561809
FM2FM,2.886096434
FM2FM,2.612103248
FM2FM,2.698033334
FM2FM,3.542979694
FM2FM,2.214866016
FM2FM,2.502350546
FM2FM,3.534410951
FM2FM,3.575280403
FM2FM,3.398170477
FM2FM,2.817450291
FM2FM,3.8383335
FM2FM,3.480681631
FM2FM,2.702766441
FM2FM,2.484574055
FM2FM,3.116486371
FM2FM,1.990273293
FM2FM,2.701611523
FM2FM,2.391572702
FM2FM,2.996208778
FM2FM,2.478373338
FM2FM,2.872471512
FM2FM,1.984651601
FM2FM,2.489186377
FM2FM,2.478016048
FM2FM,3.12731666
FM2FM,2.905950606
FM2FM,2.690739642
FM2FM,2.494242556
FM2FM,3.339532783
FM2FM,2.804073973
FM2FM,3.276740101
FM2FM,3.022894168
FM2FM,3.260741987
FM2FM,2.588731506
FM2FM,2.635422888
FM2FM,3.259831009
FM2FM,3.139034516
FM2FM,3.151780338
FM2FM,3.107899689
FM2FM,1.623601071
FM2FM,2.047534828
FM2FM,3.045473016
FM2FM,2.230264953
FM2FM,3.100548634
FM2FM,3.622188596
FM2FM,1.912287469
FM2FM,2.653660995
FM2FM,1.993326432
FM2FM,1.782618974
FM2FM,1.727562802
FM2FM,2.735319383
FM2FM,2.042415447
FM2FM,1.878728235
FM2FM,1.716795982
FM2FM,2.321102045
FM2FM,2.687210064
FM2FM,2.602166224
FM2FM,1.552358141
FM2FM,2.50804155
FM2FM,1.656460445
FM2FM,2.128693248
FM2FM,2.931179369
FM2FM,1.312735649
FM2FM,1.711733155
FM2FM,2.046489809
FM2FM,2.126652918
FM2FM,3.046066993
FM2FM,1.691575456
FM2FM,2.236443048
FM2FM,1.658394556
FM2FM,1.883568483
FM2FM,2.403326952
FM2FM,2.136040149
FM2FM,1.730937041
FM2FM,2.729272088
FM2FM,1.942557239
FM2FM,1.046629068
FM2FM,1.465029215
FM2FM,1.888122342
FM2FM,1.863052875
FM2FM,2.370584722
FM2FM,2.04552722
FM2FM,2.662379183
FM2FM,2.790407307
FM2FM,2.957759082
FM2FM,2.845192144
FM2FM,2.822005103
FM2FM,1.257864994
FM2FM,2.246939796
FM2FM,2.742696249
FM2FM,2.27260338
FM2FM,2.601049739
FM2FM,2.219940672
FM2FM,2.755958484
FM2FM,2.190168236
FM2FM,2.188659572
FM2FM,2.860881164
FM2FM,2.452950427
FM2FM,2.48890018
FM2FM,3.366853466
FM2FM,3.122768159
FM2FM,2.76495911
FM2FM,2.497471564
FM2FM,1.450842496
FM2FM,1.523467036
FM2FM,1.21874991
FM2FM,3.466614411
FM2FM,1.205432293
FM2FM,2.400296349
FM2FM,3.079582535
FM2FM,3.473875923
FM2FM,2.960424713
FM2FM,3.089887212
FM2FM,3.320500637
FM2FM,2.863772414
FM2FM,2.965339901
FM2FM,2.924700271
FM2FM,3.022474262
FM2FM,1.132821272
FM2FM,3.473028706
FM2FM,2.812621635
FM2FM,2.358598412
FM2FM,3.045505196
FM2FM,1.89999474
FM2FM,1.499645397
FM2FM,2.861419194
FM2FM,2.843108919
FM2FM,2.151820681
FM2FM,1.299298901
FM2FM,2.810954667
FM2FM,2.448449854
FM2FM,0.307512411
FM2FM,1.751218734
FM2FM,1.638139387
FM2FM,1.499989799
FM2FM,2.125270611
FM2FM,2.00382318
FM2FM,2.949718692
FM2FM,2.920166601
FM2FM,2.881667678
FM2FM,2.202076691
FM2FM,2.00925665
FM2FM,1.96535903
FM2FM,3.407232753
FM2FM,3.889074399
FM2FM,2.526665057
FM2FM,3.123850503
FM2FM,2.414357373
FM2FM,1.973075292
FM2FM,3.280966703
FM2FM,1.478057502
FM2FM,3.26765576
FM2FM,2.690190052
FM2FM,2.20575945
FM2FM,2.099533293
FM2FM,0.920821341
FM2FM,0.507374883
FM2FM,1.875376021
FM2FM,2.321479778
FM2FM,2.512189317
FM2FM,2.022005214
FM2FM,2.492955865
FM2FM,1.64604587
FM2FM,2.378750326
FM2FM,1.944772249
FM2FM,2.781592074
FM2FM,2.608792892
FM2FM,2.943799831
FM2FM,1.954079827
FM2FM,4.586581164
FM2FM,2.77419187
FM2FM,2.588335795
FM2FM,2.861222824
FM2FM,2.393118974
FM2FM,0.826685279
FM2FM,1.294620569
FM2FM,3.261431851
FM2FM,1.278512387
FM2FM,1.460360876
FM2FM,2.616387154
FM2FM,3.944578886
FM2FM,3.60686177
FM2FM,0.211618139
FM2FM,2.263659562
FM2FM,3.191840756
FM2FM,1.902589416
FM2FM,2.384757634
FM2FM,3.540198043
FM2FM,1.881872621
FM2FM,3.607222815
FM2FM,1.879838222
FM2FM,2.89719061
FM2FM,2.108383173
FM2FM,3.453512086
FM2FM,2.231811225
FM2FM,3.895226836
FM2FM,1.642838179
FM2FM,0.089606729
FM2FM,1.526420066
FM2FM,3.911587894
FM2FM,4.091010669
FM2FM,3.676953048
FM2FM,2.142993014
FM2FM,1.779691545
FM2FM,3.608287345
FM2FM,2.497020931
FM2FM,1.861707359
FM2FM,3.762058145
FM2FM,2.000141501
FM2FM,1.809620272
FM2FM,1.751362079
FM2FM,1.438528335
FM2FM,3.337266298
FM2FM,1.686972741
FM2FM,1.981767944
FM2FM,2.130293282
FM2FM,2.197752504
FM2FM,3.811282627
FM2FM,1.858467566
FM2FM,1.729420646
FM2FM,1.096915751
FM2FM,2.551466098
FM2FM,2.483577313
FM2FM,3.134787525
FM2FM,3.292343457
FM2FM,1.933006678
FM2FM,1.974999726
FM2FM,2.609076919
FM2FM,3.28167358
FM2FM,3.401425908
FM2FM,2.349645279
FM2FM,2.455617637
FM2FM,2.600591432
FM2FM,1.91437771
FM2FM,2.643879848
FM2FM,1.776819054
FM2FM,1.853368344
FM2FM,2.310524723
FM2FM,1.932005807
FM2FM,2.422177941
FM2FM,2.555315407
FM2FM,1.197824226
FM2FM,2.775068591
FM2FM,1.683944791
FM2FM,2.455151221
FM2FM,2.009575242
FM2FM,2.196178276
FM2FM,2.777422029
FM2FM,2.090697867
FM2FM,1.432844984
FM2FM,2.044276063
FM2FM,1.223647468
FM2FM,3.10272507
FM2FM,2.165305479
FM2FM,1.751265131
FM2FM,0.086235943
FM2FM,2.459841983
FM2FM,2.172471609
FM2FM,3.241218189
FM2FM,2.906836552
FM2FM,3.074427783
FM2FM,3.438524809
FM2FM,3.034787301
FM2FM,2.553858734
FM2FM,2.491995365
FM2FM,2.192590649
FM2FM,2.753266235
FM2FM,2.371337993
FM2FM,2.403693492
FM2FM,1.575624781
FM2FM,2.450019662
FM2FM,2.835319369
FM2FM,4.332048597
FM2FM,3.450314561
FM2FM,2.826714996
FM2FM,2.961584725
FM2FM,3.006261486
FM2FM,3.39971863
FM2FM,2.868953734
FM2FM,2.736126449
FM2FM,0.582653165
FM2FM,2.763158363
FM2FM,1.886162198
FM2FM,2.114683258
FM2FM,2.253673259
FM2FM,2.388461498
FM2FM,1.497332581
FM2FM,1.678416332
FM2FM,2.452711386
FM2FM,0.618186525
FM2FM,1.835504169
FM2FM,2.751113221
FM2FM,2.222085027
FM2FM,3.037389124
FM2FM,2.782886668
FM2FM,2.82358238
FM2FM,1.953157532
FM2FM,2.595699541
FM2FM,3.162374895
FM2FM,1.950561527
FM2FM,3.178465728
FM2FM,3.401264902
FM2FM,2.87047304
FM2FM,2.645150856
FM2FM,3.03148214
FM2FM,3.07699586
FM2FM,2.068328102
FM2FM,2.465029077
FM2FM,2.322648317
FM2FM,4.853370114
FM2FM,2.828079503
FM2FM,2.213592437
FM2FM,2.556179421
FM2FM,2.087359261
FM2FM,4.141291561
FM2FM,4.595927658
FM2FM,3.6735215
FM2FM,4.952246505
FM2FM,2.520399592
FM2FM,2.999285931
FM2FM,2.033584245
FM2FM,1.002367749
FM2FM,2.687775663
FM2FM,2.49328304
FM2FM,2.692415357
FM2FM,3.06629171
FM2FM,2.094772228
FM2FM,3.634476562
FM2FM,3.095525191
FM2FM,2.980928458
FM2FM,3.691779925
FM2FM,3.031824869
FM2FM,2.461303529
FM2FM,1.909972974
SoftWorx,1.191393284
SoftWorx,1.414325647
SoftWorx,1.262141678
SoftWorx,1.461903795
SoftWorx,1.789328251
SoftWorx,1.840310062
SoftWorx,3.155826622
SoftWorx,2.37995168
SoftWorx,1.984926567
SoftWorx,3.935741893
SoftWorx,2.644804333
SoftWorx,1.09690996
SoftWorx,1.596067194
SoftWorx,1.689888276
