,Day,Strain,Stage,Length_mu,Length_sigma,Width_mu,Width_sigma,SurfaceArea_mu,SurfaceArea_sigma,Volume_mu,Volume_sigma
4999,Day1,QMB1551,Stationary,2.0002165426908105,0.020035253245825436,1.2751977178013671,0.002887450301892637,7.223323934298619,0.00936094552644061,1.768256173512413,0.003065408121801138
5000,Day1,QMB1551,Stationary,3.0332789161575464,0.01276551330895246,1.163527252542225,0.0025490975812157536,9.369421336168442,0.013581274817721978,2.475520757995119,0.004778647267294479
5001,Day1,QMB1551,Stationary,3.6742342567624418,0.014407399833743768,1.308756170379239,0.0030961389427857904,13.011184645139895,0.022126178347932658,3.7446501517137065,0.009953233195723448
5002,Day1,QMB1551,Stationary,2.404011630122758,0.016698023645316747,1.0803550750706303,0.0019396370962290698,6.811085154375084,0.009020670198125719,1.616313688889257,0.0027187628445946815
5003,Day1,QMB1551,Stationary,3.1002457853580254,0.012137474840369929,1.1771535165682034,0.0023895490792816172,10.154893265185825,0.015860185512780497,2.7574398394136868,0.005971261814572937
5004,Day1,QMB1551,Stationary,3.2191811366671694,0.01359464460642057,1.2793155414173567,0.002988033455400172,11.845075578010837,0.020684546790881816,3.2470334021136806,0.008222163969865309
5005,Day1,QMB1551,Stationary,3.4609623625601467,0.013819173759053146,1.193724004045466,0.0026409907109844117,11.311913007813805,0.018250175453091013,3.181518647461131,0.007537157715520722
5006,Day1,QMB1551,Stationary,2.9091501995810316,0.012816734862140215,1.2810447286882771,0.0030397763759236382,10.482709522659965,0.015854566634081746,3.003658330974031,0.006365243018316959
5007,Day1,QMB1551,Stationary,3.1589639438009605,0.013840385861250377,1.364975576209023,0.003508793832726305,12.620869130673446,0.022350583729989028,3.643601628994788,0.008913681535691803
5008,Day1,QMB1551,Stationary,2.0929331251748162,0.01857405731258358,1.3819409031820875,0.003666738110916479,8.941074880640972,0.012515238791449144,2.3887877778012334,0.005002220148090533
5009,Day1,QMB1551,Stationary,2.1381488082337974,0.019372641063518162,1.3252053485070232,0.003389785698238181,7.9210420648974385,0.010163445035598058,2.0219321505867898,0.0038589862257712108
5010,Day1,QMB1551,Stationary,2.73907396063722,0.014723175064347836,1.2994193998825345,0.003109509014418174,10.432367493056292,0.016651387398194297,2.830035191678541,0.006330961342690608
5011,Day1,QMB1551,Stationary,1.9249662394111797,0.021828419174049166,1.1350183168665888,0.002247381894675511,5.537278259715631,0.009428367966901094,1.2710334701341066,0.002397674765085517
5012,Day1,QMB1551,Stationary,2.2744167138518425,0.01822097764653574,1.2053307660277954,0.002429878779818638,7.7802252638506015,0.009688129391461821,2.0138839022662895,0.003516187186326506
5013,Day1,QMB1551,Stationary,3.3743060102968885,0.01421000937092939,1.2601058036702308,0.002986502720699066,12.805223792279689,0.022234133424342464,3.568910637723944,0.009095795573866526
5014,Day1,QMB1551,Stationary,2.555806082474628,0.015607311937372758,1.2235330911381679,0.0026775144612631264,9.32993806418268,0.012918223109128983,2.3910206382421855,0.005196258473380282
5015,Day1,QMB1551,Stationary,5.854370516426862,0.04159889652496451,1.3843247032875448,0.003841972931263307,14.88477528808125,0.03180432249398634,4.536943873787686,0.012716435779707906
5016,Day1,QMB1551,Stationary,3.476250678149104,0.014369103957730276,1.0580906304071747,0.0017787963633280042,9.508689787994442,0.013396019889088433,2.4803079501705976,0.005370633918115435
5017,Day1,QMB1551,Stationary,3.4671910767748124,0.015743477721789908,1.1676017212294878,0.002661690707291948,11.772002339431713,0.01866108667161836,3.391043053455255,0.008191135362616519
5018,Day1,QMB1551,Stationary,2.5717583693369757,0.014804073461694729,1.161233049746834,0.002487643297493727,8.413584537875876,0.01035496672470205,2.206144329750974,0.004662026935275977
5019,Day1,QMB1551,Stationary,2.356216510155043,0.01611454472976034,1.0885438882110883,0.002089664129872933,6.373604207936293,0.009472251555314963,1.4839450057611994,0.002442175370744018
5020,Day1,QMB1551,Stationary,2.78421239997737,0.014852478647281826,1.0885193387223193,0.0019407418992856413,7.446831253937428,0.009784590445016537,1.75908435218509,0.002913953018413277
5021,Day1,QMB1551,Stationary,3.492096538340409,0.01508593937399171,1.3908384112605952,0.003817528894690018,13.566097556717596,0.024015176608861672,4.031333671393711,0.010264727699277765
5022,Day1,QMB1551,Stationary,2.5762822040405555,0.014940870931487318,1.3371021751162826,0.0036624924209910357,9.04816219524532,0.013654587707888154,2.4363598649910054,0.00502549771231904
5023,Day1,QMB1551,Stationary,2.7267238976776875,0.014055869209135421,1.2188608519268287,0.0027258317958630397,8.576989448292583,0.011037851123997537,2.304552454202355,0.004839623769719752
5024,Day1,QMB1551,Stationary,2.2390324717684154,0.017351777344319606,1.4072783789135888,0.0033491545657112188,8.935373353677267,0.012450867426092051,2.4333004333364703,0.005208202814999375
5025,Day1,QMB1551,Stationary,2.170817594624768,0.018173833099166082,0.9473192412073518,0.0013248047360739426,6.040178971846002,0.008365327988066983,1.5393066789606809,0.002519461087325229
5026,Day1,QMB1551,Stationary,2.392193265523685,0.015918441438876933,1.211657553392346,0.0024956022255710614,7.473471959192791,0.008703355129479375,1.9127366881196834,0.0031886309547415133
5027,Day1,QMB1551,Stationary,2.4348966744410605,0.016155902597275135,1.303422742721062,0.0032147615476102636,9.125966767820405,0.012931824350832483,2.4169015809824224,0.004973349162748093
5028,Day1,QMB1551,Stationary,2.782576264284411,0.013776103346873389,1.3839473451004087,0.003234464001959326,10.578140839700703,0.01552287977462527,2.9718565393494174,0.006892943024291573
5029,Day1,QMB1551,Stationary,2.772984129685089,0.012895947074751366,1.2996057035996873,0.0031004101172030685,10.107758816977952,0.014515942853617398,2.7325445242314483,0.006043543280619645
5030,Day1,QMB1551,Stationary,1.9133466062114928,0.021658739679594242,1.1263673523355138,0.0022445045008195755,6.8500299569215715,0.008851591124027192,1.7265231491146351,0.0028641791604236155
5031,Day1,QMB1551,Stationary,3.5003223872344447,0.015590332048076298,1.3860633198594183,0.003909206468969805,12.807679428670017,0.024481611578874365,3.792892012393823,0.009375026699935706
5032,Day1,QMB1551,Stationary,2.5730948698969858,0.014904363375992664,1.2408874870992885,0.002732291271444485,8.383671290897043,0.010805562178769493,2.116490470055718,0.003866294658844958
5033,Day1,QMB1551,Stationary,1.6192851098467531,0.02310731899994587,1.2505118507166653,0.002864579356827211,6.689339380332555,0.009231948451641252,1.6171981438379677,0.0025891762203608054
