,Metric,Chain,Slope,Intercept,Sigma
0,Width,0,0.9845089040805569,-0.02788615980987216,0.02319742405865329
1,Width,0,0.9918190494458842,-0.033506629672987266,0.02312264293437882
2,Width,0,1.0002891051348868,-0.0404152162795179,0.02426382084113263
3,Width,0,0.9911080803256159,-0.03617299182008519,0.023549836967824075
4,Width,0,0.9937052969309286,-0.035169040315988075,0.023566707684270074
5,Width,0,0.9926307445472202,-0.03563323241012713,0.024408469973467437
6,Width,0,0.9804115073331517,-0.025381324345628866,0.023564183298550118
7,Width,0,0.9820318330216681,-0.026610698925893423,0.023213098260355274
8,Width,0,0.9846385158771124,-0.03008866547201611,0.023481159278390003
9,Width,0,0.9921492532191621,-0.03455204947339136,0.023866366714649836
10,Width,0,0.9918081673880197,-0.03447685832688032,0.023848752413817235
11,Width,0,0.986898630606737,-0.030656498734121736,0.023912301405666657
12,Width,0,0.9848285895286115,-0.0296422762634802,0.02424696446127919
13,Width,0,0.9837060269555816,-0.028235901049538836,0.02378802830177979
14,Width,0,0.9983005215709603,-0.04013324717551802,0.023278913132796876
15,Width,0,0.9962170336608324,-0.03881605980385546,0.02489956931451825
16,Width,0,0.9944979832278258,-0.03795061974905544,0.023088285708562455
17,Width,0,0.9948924201572483,-0.037493370567702765,0.023029408929157436
18,Width,0,0.9942867465171616,-0.03729611260185574,0.023030429890049983
19,Width,0,0.9885798544427558,-0.0323715294127966,0.02325776612975528
20,Width,0,0.993201174149475,-0.03641041409260152,0.024015938984100482
21,Width,0,0.9888062679340787,-0.03249038035050227,0.02357514978776599
22,Width,0,0.9923131245283083,-0.03802321347239305,0.022826067084949858
23,Width,0,0.9858951170252178,-0.02918691770803607,0.025181871768574674
24,Width,0,0.983843532639613,-0.029509557744719604,0.025084911026164957
25,Width,0,0.9836847933233012,-0.02987633209816201,0.02511464217288788
26,Width,0,0.9780339348963838,-0.02566479437560214,0.023535183466103855
27,Width,0,0.9780339348963838,-0.02566479437560214,0.023535183466103855
28,Width,0,0.980861821915791,-0.025069489119438827,0.02342725172308014
29,Width,0,0.9783957708628513,-0.023117441835692167,0.02374437550269344
30,Width,0,0.9923636101524731,-0.036847614714716495,0.0231816167586392
31,Width,0,0.9965342032600998,-0.04019995490869508,0.023736401329775385
32,Width,0,0.996887607646079,-0.0405513349392984,0.023635622606613366
33,Width,0,0.9971431932032319,-0.0414368648651076,0.023750809278283127
34,Width,0,0.9958905312685089,-0.03671641786790928,0.024323337784713177
35,Width,0,0.9893031219790901,-0.03352327296068178,0.023599514130129295
36,Width,0,0.9810005854179178,-0.027180304894303318,0.024868523178856496
37,Width,0,0.98190922431499,-0.02674738116212406,0.02463268487062336
38,Width,0,0.9816164042292836,-0.026340607119436282,0.024231626768832042
39,Width,0,0.9754666645221235,-0.02123524852928203,0.023989512078717346
40,Width,0,0.975573922524963,-0.02160760415743157,0.024330570042338694
41,Width,0,0.9758425277405932,-0.022433668907606806,0.024341513821798305
42,Width,0,0.9887310509606515,-0.0327404093361905,0.02381556825857889
43,Width,0,0.9925023333593501,-0.03591571198868376,0.02393813778083717
44,Width,0,0.9900809461058887,-0.03433146462939026,0.02433742835350308
45,Width,0,0.9906001474490626,-0.033253422090511846,0.02344890168144007
46,Width,0,0.9853441184328992,-0.030853351266098367,0.023992836356367005
47,Width,0,0.989797616037848,-0.033233934107650666,0.02379446041086984
48,Width,0,0.9888099235311106,-0.032483855062121085,0.023963695628822067
49,Width,0,0.9944439547987469,-0.036997991464040904,0.024059141566047784
50,Width,0,0.9867494730966082,-0.029875216104687692,0.024247596773735645
51,Width,0,0.9867494730966082,-0.029875216104687692,0.024247596773735645
52,Width,0,0.9792400666073174,-0.024933726731816448,0.023780034766174678
53,Width,0,0.978640046037368,-0.02599386896566748,0.023837904860142832
54,Width,0,0.9784037010399731,-0.02641015589625428,0.023865523760295836
55,Width,0,0.9810510563767296,-0.026123764578907124,0.02433751644559983
56,Width,0,0.978706376403818,-0.0246112829309685,0.024055844435665732
57,Width,0,0.9935914487589688,-0.036593064966802126,0.023386377344820044
58,Width,0,0.98738257436551,-0.03163335446229185,0.023611594962061253
59,Width,0,0.9925150900076108,-0.036004566867829456,0.02333760430047663
60,Width,0,0.9916594074429707,-0.03467845920894849,0.023088472991940247
61,Width,0,0.9913585025219207,-0.03534242456004344,0.023077355505596114
62,Width,0,0.9901033321056024,-0.03289430582662245,0.022640935246640643
63,Width,0,0.9825479679899084,-0.02825583766955081,0.024306242748504864
64,Width,0,0.980756074530924,-0.027035553386327366,0.02322204392877675
65,Width,0,0.97953568349476,-0.02655215903027776,0.02451091539012245
66,Width,0,0.9813513088777978,-0.025422652925256552,0.02454985495799314
67,Width,0,0.9726206010086154,-0.018289761377354555,0.02294831819217408
68,Width,0,0.9719173699340835,-0.018988533198523852,0.02286652862685735
69,Width,0,0.971815115314807,-0.018664589338741655,0.02295557814521055
70,Width,0,0.9897323039775154,-0.032468264134500574,0.02442754893994199
71,Width,0,0.9886017285263289,-0.0338688598038323,0.024166455256700494
72,Width,0,0.9888740245524263,-0.0336261971316762,0.02405875316930596
73,Width,0,0.9823054583787116,-0.02646266688139704,0.0237601389236426
74,Width,0,0.9902402228219519,-0.03365775328729822,0.02276682445908095
75,Width,0,0.9875995410471688,-0.03133822377622154,0.0224695135616046
76,Width,0,0.9794347725101047,-0.02573289745557741,0.023551983564206794
77,Width,0,0.9770911294040955,-0.024366148295664705,0.024582215205007574
78,Width,0,0.9805934042490267,-0.025312937980128368,0.024486404244900287
79,Width,0,0.9814223001897979,-0.025647336295808097,0.02439504833194058
80,Width,0,0.9877796321664215,-0.031126784122531607,0.02323478341031938
81,Width,0,0.9998892575933634,-0.04130463143261804,0.023046790610920118
82,Width,0,0.996188266963186,-0.038446048490367486,0.023122602542191083
83,Width,0,0.9860002601583429,-0.030785215131103053,0.024326986623261146
84,Width,0,0.9814855808802786,-0.027183965737375106,0.02388558597681116
85,Width,0,0.9807262677399653,-0.026560390043233316,0.02344010668169694
86,Width,0,0.9901426520249823,-0.03373335012546523,0.022635852319981626
87,Width,0,0.9964029006462217,-0.03908293869329015,0.022519809286471633
88,Width,0,0.9930322512373534,-0.0357911122096674,0.023160032339039294
89,Width,0,0.9804374449980402,-0.025132915950885865,0.023771865677092913
90,Width,0,0.9886773946981654,-0.032115322479492614,0.02470808167416268
91,Width,0,0.9817775725830453,-0.027055176686419973,0.02332815811037464
92,Width,0,0.9918936316221338,-0.035237924217598596,0.02405836220912597
93,Width,0,0.9920183260001805,-0.03567250581969064,0.023629353310522818
94,Width,0,0.9925165844148613,-0.03547361991285492,0.023692042738989342
95,Width,0,0.9927132645742077,-0.03612729509311975,0.02368674813132347
96,Width,0,0.9793833751523413,-0.02569498346750099,0.024110626250172178
97,Width,0,0.9841102918704681,-0.027375524337797538,0.023784966933431836
98,Width,0,0.9919827111583192,-0.03611074999033635,0.02398818142491202
99,Width,0,0.9900894687509955,-0.03438328738640341,0.023889535392458024
100,Width,0,0.9947808657155455,-0.03758225582679623,0.024039583627764906
101,Width,0,0.9840825444909412,-0.02932941132518879,0.023616367247463202
102,Width,0,0.9843657150202445,-0.029631041585656815,0.023042641259081936
103,Width,0,0.9843657150202445,-0.029631041585656815,0.023042641259081936
104,Width,0,0.9831948272856881,-0.028506076487833265,0.02442494745348482
105,Width,0,0.9803197834362603,-0.026392979737328123,0.023608813933209388
106,Width,0,0.9849104334822881,-0.03037970876172118,0.024175863666062575
107,Width,0,0.9867174672335327,-0.030201368951538854,0.02405019511225548
108,Width,0,0.9928919332059956,-0.03483542045252496,0.023920958688673166
109,Width,0,0.9924374328693858,-0.035011206956155144,0.024076330414489238
110,Width,0,0.9926061626112533,-0.03633657390110172,0.023764954808051107
111,Width,0,0.9788916416087371,-0.02501891112801918,0.024188672529415776
112,Width,0,0.9788916416087371,-0.02501891112801918,0.024188672529415776
113,Width,0,0.9785046695222114,-0.023870525606019554,0.02396985506599184
114,Width,0,0.977950604532763,-0.02447842027027665,0.024003388615203403
115,Width,0,0.9881476079096085,-0.032247857358003326,0.024343241525991783
116,Width,0,0.9870174185916385,-0.03159157968016196,0.023780534707006307
117,Width,0,0.9873269499078406,-0.03197511142016175,0.02399820885490276
118,Width,0,0.9867923464760108,-0.0318232636825594,0.023914712028743606
119,Width,0,0.9973965837019121,-0.040128990098182396,0.025172876913386148
120,Width,0,0.9942511299530642,-0.03668834269708032,0.02421697701925431
121,Width,0,0.9885887376810836,-0.03223821249087155,0.023846108586960423
122,Width,0,0.9892095708572772,-0.03329428965928665,0.02418027810666804
123,Width,0,0.983993395232482,-0.02973672110289403,0.024477455507408687
124,Width,0,0.9844653066251666,-0.02953524870015933,0.02437034933681998
125,Width,0,0.9853936300906238,-0.030682865670901744,0.023817483032643878
126,Width,0,0.9942268345041062,-0.0379210840210162,0.024215135650664316
127,Width,0,0.9947982037704091,-0.036757738241725714,0.024205486049242875
128,Width,0,0.9917969832179794,-0.034912852583349197,0.024135341818825207
129,Width,0,0.9910313545992602,-0.03482586733596527,0.02344633365518859
130,Width,0,0.9950769097461089,-0.038282888147678565,0.02226124042351839
131,Width,0,0.9919554350455675,-0.03531626294333988,0.022194810820321986
132,Width,0,0.9917266078532722,-0.03611211437192587,0.022206555506494446
133,Width,0,0.990234255031197,-0.03459771054315443,0.023120976060382346
134,Width,0,0.9913003509307939,-0.03417965911640425,0.022999713086739492
135,Width,0,0.9924545169950578,-0.035415893509027456,0.023074436732568874
136,Width,0,0.9866105939691473,-0.03207588157374358,0.02326990619391596
137,Width,0,0.9829876519342907,-0.027853241472096366,0.02363183595086686
138,Width,0,0.9927396759334114,-0.03558944689047428,0.02456803944622658
139,Width,0,0.9899650225057458,-0.03263657306839643,0.024989383184851378
140,Width,0,0.9903286099607839,-0.03501192265688562,0.0251030965432928
141,Width,0,0.9829293721768578,-0.028703061765757376,0.023401680785891967
142,Width,0,0.9807857241526947,-0.026964165968486473,0.023628778997977527
143,Width,0,0.9951273263158048,-0.036966544402294216,0.024082919848432742
144,Width,0,0.9972598560716568,-0.04057006899886639,0.024204614227839556
145,Width,0,0.9835305788173208,-0.0290764018018273,0.023221765968625352
146,Width,0,0.9862839121447241,-0.03041897936177667,0.022960572086185547
147,Width,0,0.980290590591471,-0.024850510699848064,0.025168497348781276
148,Width,0,0.9780188952727823,-0.023467120780762886,0.025553258525676602
149,Width,0,0.9760291129273343,-0.022264331306051443,0.025430509951116755
150,Width,0,0.9755793689084186,-0.022195089426158013,0.025449085278536943
151,Width,0,0.9757394393813036,-0.02246557606844425,0.02579806061179183
152,Width,0,0.970851193275989,-0.017901987053287213,0.02384690056102294
153,Width,0,0.9720290551378613,-0.018915526747797215,0.024018455806787048
154,Width,0,0.9830431676549386,-0.028961276875281678,0.024218437442591
155,Width,0,0.9812942107330427,-0.02660413787025333,0.02412325573090244
156,Width,0,0.9828132506895274,-0.02549054712992751,0.024484263286207116
157,Width,0,0.9790577111465208,-0.023955913530714495,0.024091436109551292
158,Width,0,0.9798079833081667,-0.02379359086043074,0.024101598007450244
159,Width,0,0.9849300543702391,-0.029922978277313925,0.025285236336369747
160,Width,0,0.9858567106718301,-0.029866713836459176,0.025026576543679024
161,Width,0,0.9916817848496974,-0.033982397278771496,0.024496862349472206
162,Width,0,0.9912327296163828,-0.035103055913675706,0.024370748852732077
163,Width,0,0.9862233756812899,-0.030506727995487242,0.024518683991230247
164,Width,0,0.9947170376835127,-0.036823202044494456,0.02361199023440455
165,Width,0,0.9908775397393265,-0.034097385764306036,0.023805878254717493
166,Width,0,0.9889526709567134,-0.033116366715647286,0.02369663621594538
167,Width,0,0.9895080858236623,-0.033073133745611855,0.02353409003507173
168,Width,0,0.9915370693554467,-0.03478477289292739,0.023861451387219602
169,Width,0,0.9877997583308743,-0.031968988589523184,0.02322997099030393
170,Width,0,0.9830395848602217,-0.027980590046984548,0.02395693688891636
171,Width,0,0.9827850379958628,-0.028147955604275538,0.02442083237737222
172,Width,0,0.9837422904659547,-0.02910086993184436,0.023611147519123476
173,Width,0,0.9836341028261127,-0.029089026976409048,0.02359071215822886
174,Width,0,0.9792488068953088,-0.025508140370726767,0.02333490026405294
175,Width,0,0.9874816601632121,-0.03330022151602836,0.024439835381904244
176,Width,0,0.9936257286643285,-0.03515460058230668,0.02445281178527337
177,Width,0,0.9835625605663163,-0.02928498268542101,0.023725463951565377
178,Width,0,0.9896558785644899,-0.03443292301205961,0.024130105883089288
179,Width,0,0.9890664952747282,-0.03385937314482043,0.02346658838836544
180,Width,0,0.9793997380064913,-0.02429488120371326,0.02396843524979057
181,Width,0,0.982710563069387,-0.028893906331827063,0.023931482303642223
182,Width,0,0.9851753299268725,-0.03130975107543979,0.023402053582374526
183,Width,0,0.9937926909087604,-0.0371792064398591,0.02355909774641206
184,Width,0,0.9948278448850444,-0.037622974036021044,0.024393413302000705
185,Width,0,0.9867914236729466,-0.03091459258547927,0.023696858423480884
186,Width,0,0.9880762503132308,-0.03234674182697396,0.023395738831186775
187,Width,0,0.9900892768128027,-0.03396220478854785,0.02359677442879682
188,Width,0,0.9940308213328295,-0.03674549955087594,0.023699485624759733
189,Width,0,0.9939557883313035,-0.03711384605521912,0.023651700824248063
190,Width,0,0.9977081117150827,-0.03967192688373807,0.024078271585165532
191,Width,0,0.9931058729593101,-0.035578115108322,0.024042868811064776
192,Width,0,0.9996661788497111,-0.041561773187484836,0.025061503831248954
193,Width,0,1.002532253470092,-0.04334141366520063,0.02360277386672386
194,Width,0,0.9980268282560439,-0.039687643602074614,0.02348830612438554
195,Width,0,0.9848256128640187,-0.028739473607103272,0.02402396408666652
196,Width,0,0.984258357601036,-0.02999845300940364,0.024001221187806274
197,Width,0,0.9906706389609705,-0.03512150761569895,0.0230584186012635
198,Width,0,0.9805336738480454,-0.027161374949225367,0.024054506043367962
199,Width,0,0.9814179065719423,-0.02804055648668321,0.023524615000156426
200,Width,0,0.9955185188783147,-0.03870424978390782,0.02455509731007577
201,Width,0,0.998058986665663,-0.04018442452724393,0.023190195071783645
202,Width,0,0.9980236796010636,-0.04025451622414822,0.023135675067790174
203,Width,0,0.9896507860095446,-0.03345540095017172,0.023957138559180212
204,Width,0,0.990854444967763,-0.03342442832922551,0.02386694780777324
205,Width,0,0.9919501807940264,-0.03618797362181323,0.02404511861018338
206,Width,0,0.9943392535965462,-0.03554805508444683,0.024069669737660726
207,Width,0,0.9933940464621283,-0.035794734723055985,0.023955329048828966
208,Width,0,0.991070247219714,-0.034390487627590685,0.025224972414107937
209,Width,0,0.9870395187508828,-0.03252619034887917,0.024238597002130165
210,Width,0,0.9892778532613052,-0.031810838143567804,0.024276498673187912
211,Width,0,0.9920403300048944,-0.035664707897174824,0.023762424667932325
212,Width,0,0.997624430005384,-0.03960879394711988,0.02396679069532565
213,Width,0,0.997674797528795,-0.039910834144415756,0.02430210570740011
214,Width,0,0.9803620191355605,-0.025925891654271626,0.023926964181619003
215,Width,0,0.9991403279726265,-0.04035044815706626,0.023082034653464718
216,Width,0,0.992928725626451,-0.034774783324347615,0.02366843540893553
217,Width,0,0.9914047568441792,-0.03351451321064312,0.02325676495166573
218,Width,0,0.9914047568441792,-0.03351451321064312,0.02325676495166573
219,Width,0,0.9912613987584349,-0.03354300189818008,0.02308458398780407
220,Width,0,0.9888476876834505,-0.03407302475039552,0.023055424793424404
221,Width,0,0.9903686781678519,-0.033346484346603415,0.022968453287121837
222,Width,0,0.9913899839909924,-0.03519023421749578,0.0221030998433028
223,Width,0,0.9924086037866371,-0.03533396210749452,0.02296523960603728
224,Width,0,0.991815977448251,-0.034436827729583425,0.0230382300386399
225,Width,0,0.9967185013613713,-0.03672209427525337,0.02342418564106561
226,Width,0,0.9951045156929273,-0.038001566132475496,0.023310847001184007
227,Width,0,0.9991260182464412,-0.040744674484874455,0.023311958175095505
228,Width,0,0.9938183659234181,-0.03698971504555889,0.02557578479052822
229,Width,0,0.9878987484948036,-0.030647103847464285,0.02438902818382872
230,Width,0,0.9861371635979815,-0.0318694078677749,0.023426109776112168
231,Width,0,0.9954075690059105,-0.038450320620205924,0.02412688496574009
232,Width,0,0.999843631241975,-0.04184478069721103,0.024186118101029188
233,Width,0,1.0014169695286883,-0.04345720116296688,0.024383455277224776
234,Width,0,1.004481365749723,-0.04694317893467624,0.02445024378886026
235,Width,0,1.0051564995853934,-0.04459145352941254,0.02431888962249324
236,Width,0,1.0051564995853934,-0.04459145352941254,0.02431888962249324
237,Width,0,1.0039413978804388,-0.046070674683987234,0.02346866600347939
238,Width,0,1.0047178016223015,-0.04461748123218197,0.02342389053444169
239,Width,0,1.0005133733406089,-0.04139916855600788,0.023146778629475038
240,Width,0,1.000245724295686,-0.04118180076352651,0.02343715183439137
241,Width,0,0.996618400999687,-0.03950594762178073,0.023419739427009492
242,Width,0,0.9872008575380727,-0.031319696470329915,0.023040825667309014
243,Width,0,0.9870318842348234,-0.031366176058430874,0.023206983831639605
244,Width,0,0.9874600617830087,-0.030852523870564814,0.02334734690603321
245,Width,0,0.9825838142671234,-0.02843710623274937,0.02341621061974015
246,Width,0,0.9820368026535754,-0.026545136806771837,0.023202853531866786
247,Width,0,0.981801143372633,-0.02534943775111675,0.02323011216327006
248,Width,0,0.9833729938894212,-0.029953472580372682,0.024097038293380647
249,Width,0,0.9937759278234696,-0.03608023743775485,0.02331703574468743
250,Width,0,0.9910981914920917,-0.03363296548741862,0.02410960206452996
251,Width,0,0.9815463685081938,-0.026869676821239925,0.024446436628317657
252,Width,0,0.9877610211138091,-0.03071499114530327,0.024639408305918858
253,Width,0,0.9992143342146967,-0.04007428069659611,0.02440855489856166
254,Width,0,0.9958210637898758,-0.03980169911643588,0.02422502978680606
255,Width,0,0.9970463783379765,-0.03843914523758996,0.024717842500401932
256,Width,0,0.9966910522713036,-0.040519016635866933,0.025040909794100563
257,Width,0,0.9894085096092633,-0.033744330168909695,0.024527103156447377
258,Width,0,0.9973569118624727,-0.040549191863418294,0.023200282084810418
259,Width,0,0.9869236852107361,-0.03034616180001063,0.02431454414752526
260,Width,0,0.9857344324288051,-0.029955331424717027,0.024745540193622535
261,Width,0,0.986435509380249,-0.030464986392665174,0.024289239823909486
262,Width,0,0.9839193254672304,-0.028527715347053388,0.023911333717421813
263,Width,0,0.9836731412300079,-0.028762538234399313,0.023863042687793826
264,Width,0,0.9757122761645514,-0.021981557221288934,0.02381029923520845
265,Width,0,0.9897468478967468,-0.03317666843508151,0.02368489764298539
266,Width,0,0.9813782398143678,-0.027212776954187366,0.024339890953449538
267,Width,0,0.9813782398143678,-0.027212776954187366,0.024339890953449538
268,Width,0,0.9826813270431128,-0.026998187868718236,0.02425323791326943
269,Width,0,0.9860764988827352,-0.030970600640841034,0.02425030105164165
270,Width,0,0.9763983798361383,-0.022572555156235814,0.023937410113420092
271,Width,0,0.9795714485738083,-0.024239524239132195,0.024425028891305586
272,Width,0,0.9784615358207247,-0.025595283044195415,0.02443257565460847
273,Width,0,0.9779765578408919,-0.024739601976459025,0.02303898869250359
274,Width,0,0.9904784619351312,-0.03436003967022157,0.024568426411788875
275,Width,0,0.9897212335201332,-0.03417320793213361,0.024661880610998815
276,Width,0,0.984234675098873,-0.02949072646431765,0.023556315114736014
277,Width,0,0.9868419611269679,-0.03068439978850101,0.02355912630903046
278,Width,0,0.9861471874120197,-0.031059851799078816,0.023756815255465618
279,Width,0,0.9861471874120197,-0.031059851799078816,0.023756815255465618
280,Width,0,0.9878798130818893,-0.0315472170066867,0.023799171578386406
281,Width,0,0.9867577045536652,-0.0315708157745514,0.023777522702052637
282,Width,0,0.9864466974016627,-0.030291751775372352,0.023718101558847873
283,Width,0,0.9923663386338938,-0.034775708241065614,0.023993244971361245
284,Width,0,1.0002929013225834,-0.04313097777934814,0.02400823543023065
285,Width,0,1.0015413943367744,-0.04190600002424177,0.02401426794162634
286,Width,0,0.9937132792059061,-0.03815198887018926,0.0229909404333847
287,Width,0,0.9883952181054173,-0.03148977468769217,0.02301274663414616
288,Width,0,0.9868859821459829,-0.030207271748692945,0.023140647180660043
289,Width,0,0.9903319316871955,-0.03457746809643027,0.023913154094503505
290,Width,0,0.9945220930331264,-0.03652210303502904,0.023575698045710313
291,Width,0,0.9871940294836651,-0.03387494798275004,0.023972785680466152
292,Width,0,0.9890714146425129,-0.03278155109518533,0.02380568254532162
293,Width,0,0.9850244629710556,-0.030107584290576972,0.023836969082435766
294,Width,0,0.9849059723803477,-0.030473911692782872,0.02384875524304023
295,Width,0,0.9837164333125641,-0.028987558371226806,0.02350229774823274
296,Width,0,0.987514650820889,-0.03134942081514535,0.02377052588952301
297,Width,0,0.9854662104013496,-0.03160444779881141,0.023008916393868303
298,Width,0,0.9828298706338771,-0.02634915538862665,0.023970231804327113
299,Width,0,0.9805894478792676,-0.02751222471023555,0.024102463459233576
300,Width,0,0.9861541360178041,-0.030144531873581397,0.024336792217947264
301,Width,0,0.99015281641457,-0.03320875976455339,0.02501529483769685
302,Width,0,0.9847166643555987,-0.029964109461328343,0.02399079409986115
303,Width,0,0.9896667371857257,-0.03272827148832778,0.023454526400816057
304,Width,0,0.9898575641517069,-0.03430351752550821,0.02351135926508924
305,Width,0,0.9917057883219579,-0.03529307854265396,0.02357773051491969
306,Width,0,0.9933447798912317,-0.03621581134659858,0.02353956423536114
307,Width,0,0.9975347419271201,-0.04004482687180106,0.02458184338117113
308,Width,0,0.9979133408019606,-0.040590565244334166,0.024605855603501443
309,Width,0,0.9937374817147342,-0.03654034589433496,0.02313531376600838
310,Width,0,0.997754343865605,-0.039602483261231516,0.023604861824623777
311,Width,0,0.994429019153428,-0.03756983594919038,0.024106077694104645
312,Width,0,0.9871646321366274,-0.03047446938234692,0.025203463489071216
313,Width,0,0.9880293707394141,-0.03205735916305708,0.023895903186914938
314,Width,0,0.9894499864036085,-0.033742693279755896,0.023853939664494186
315,Width,0,0.9950046252803131,-0.03827835832296216,0.02312851703885258
316,Width,0,0.9965261786290233,-0.03889384698769605,0.02299560323731974
317,Width,0,0.9971599727318198,-0.040020331322009474,0.023074583707710206
318,Width,0,0.9975242987622907,-0.039238206562445484,0.023547876522612383
319,Width,0,0.9989571528868862,-0.040723793489488166,0.02294156952428936
320,Width,0,0.9995739509641415,-0.04028223825896055,0.022922528105732875
321,Width,0,0.9828323903412073,-0.026670014079566873,0.024106219859102204
322,Width,0,0.9877577749631443,-0.033499211418854834,0.024254800938601478
323,Width,0,0.9891617027810758,-0.032195037831440905,0.02419155867972759
324,Width,0,0.9852324075248691,-0.02879842851753013,0.024246839101394798
325,Width,0,0.9812574969609537,-0.02714680066853031,0.024039667888626205
326,Width,0,0.9833553903570932,-0.0280152632759853,0.024086837187939494
327,Width,0,0.9756504925197054,-0.022570115454932663,0.023703318532795614
328,Width,0,0.9765519927185949,-0.02307742214074866,0.0242058759063619
329,Width,0,0.9850913917399418,-0.02997320318603963,0.025503937670040517
330,Width,0,0.9930840592786099,-0.036396749147912036,0.02498314359397913
331,Width,0,0.9937273218779423,-0.03698879265132338,0.023128986753938645
332,Width,0,0.9935795933478565,-0.03643446754572479,0.023499555482162423
333,Width,0,0.9903717666920482,-0.033820815354531325,0.023449695704529754
334,Width,0,0.9925037837928204,-0.035518732732451284,0.023607325982763053
335,Width,0,0.9916027697383805,-0.03559766143215312,0.024261224416472327
336,Width,0,0.9922841488238631,-0.03642290752386414,0.02396183116482588
337,Width,0,0.9829389116255803,-0.029297387583610574,0.023802001076891982
338,Width,0,0.9847411633645924,-0.030764020261366907,0.0232523151329557
339,Width,0,0.9854946829947205,-0.028995867093755068,0.02304529487157709
340,Width,0,0.988766003643373,-0.032972475534988714,0.023841460990448038
341,Width,0,0.9915200412049774,-0.035423762466931526,0.023730141231836987
342,Width,0,0.9939050370193055,-0.03751204371191869,0.022919166600759894
343,Width,0,0.9797368889717066,-0.026654451492124896,0.02518607809649282
344,Width,0,0.9767675860395549,-0.023560883932398947,0.025762263157660597
345,Width,0,0.9756150764181634,-0.02278569629698104,0.02298338666468863
346,Width,0,0.9917004428365945,-0.0342432178576404,0.024420358339160664
347,Width,0,0.9959060685418474,-0.03841789510425788,0.02336286469576212
348,Width,0,0.9994424569823405,-0.040856277864659625,0.02337334665157767
349,Width,0,0.9819855101446627,-0.026525499323110973,0.024268392324105527
350,Width,0,0.9819190328270444,-0.027243302887959675,0.0241870939095239
351,Width,0,0.9887529048383348,-0.03268358809340385,0.024092297773782162
352,Width,0,0.9883788369039502,-0.03286759938026018,0.023812671222112305
353,Width,0,0.9889096372538823,-0.033447038630830636,0.024131825858058068
354,Width,0,0.9870348534474283,-0.030750653724091175,0.02408503129449376
355,Width,0,0.985986886093258,-0.0304885823257369,0.024070362391807803
356,Width,0,0.9887336983311299,-0.03171160122391588,0.023839489649648576
357,Width,0,0.9868163917808668,-0.03137825173885227,0.023344223349392262
358,Width,0,0.9924316674162339,-0.03660110360917522,0.02431337759319898
359,Width,0,0.9918850518275476,-0.03663909442134587,0.024333816991370136
360,Width,0,0.9981101454826178,-0.03926470098826497,0.02383343520848083
361,Width,0,0.9915322566833017,-0.03526697729139759,0.024575453965095015
362,Width,0,0.9912702816837318,-0.03445003129476287,0.02458149578627737
363,Width,0,0.9863663509903183,-0.030919406551265575,0.024586210982988382
364,Width,0,0.983913958059004,-0.02886811176794336,0.023613845536950135
